,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,swell_direction3,surf_min,swell_direction1,periodSchedule,dateStamp,modelRun,modelCode,swell_period3,swell_period2,swell_direction2,swell_height3,swell_height2,swell_period1,surf_max
2016-06-01T20:00:00+00:00,1200,NE,13.0,90.6,1026,8,14.4,14.5,0.7,5.0,,,,,,,,,,,,,,,
2016-06-01T21:00:00+00:00,1260,NE,13.0,92.3,1026,8,14.3,14.2,0.7,4.0,,,,,,,,,,,,,,,
2016-06-01T22:00:00+00:00,1320,ENE,13.1,93.6,1026,8,14.3,14.1,0.7,4.0,,,,,,,,,,,,,,,
2016-06-01T23:00:00+00:00,1380,NE,13.3,94.3,1026,6,14.2,14.2,0.7,5.0,,,,,,,,,,,,,,,
2016-06-02T00:00:00+00:00,0,NE,13.1,94.2,1025,7,14.3,14.0,0.9,6.0,,,,,,,,,,,,,,,
2016-06-02T01:00:00+00:00,60,NNE,13.1,94.2,1025,5,14.2,14.0,0.9,5.0,2.4,313.0,2.93,344.0,0100,"June 02, 2016 01:00:00",2016060112.0,undefined,9.3,16.3,280.0,1.3,1.4,4.7,3.5
2016-06-02T02:00:00+00:00,120,NNE,13.0,94.9,1024,7,14.2,13.8,1.0,6.0,,,,,,,,,,,,,,,
2016-06-02T03:00:00+00:00,180,NE,13.0,94.9,1024,9,14.1,13.8,1.3,7.0,,,,,,,,,,,,,,,
2016-06-02T04:00:00+00:00,240,NE,12.9,94.2,1023,9,14.1,13.8,1.4,7.0,,,,,,,,,,,,,,,
2016-06-02T05:00:00+00:00,300,ENE,12.8,93.7,1023,9,14.0,13.8,1.2,7.0,,,,,,,,,,,,,,,
2016-06-02T06:00:00+00:00,360,NE,12.8,93.7,1023,7,14.0,13.8,1.3,7.0,,,,,,,,,,,,,,,
2016-06-02T07:00:00+00:00,420,NNE,11.4,92.3,1023,10,14.0,12.6,1.3,7.0,4.6,349.0,7.03,280.0,0700,"June 02, 2016 07:00:00",2016060200.0,undefined,5.2,10.2,266.0,1.7,1.9,14.9,8.4
2016-06-02T08:00:00+00:00,480,NNE,12.5,96.1,1022,9,13.8,13.1,1.3,6.0,,,,,,,,,,,,,,,
2016-06-02T09:00:00+00:00,540,NNE,12.3,96.8,1022,10,14.1,12.8,1.3,6.0,,,,,,,,,,,,,,,
2016-06-02T10:00:00+00:00,600,NE,13.7,95.6,1022,9,14.2,14.4,1.4,7.0,,,,,,,,,,,,,,,
2016-06-02T11:00:00+00:00,660,NNE,12.9,91.2,1022,9,14.2,14.3,1.5,7.0,,,,,,,,,,,,,,,
2016-06-02T12:00:00+00:00,720,NE,12.7,89.4,1022,8,14.3,14.4,1.7,7.0,,,,,,,,,,,,,,,
2016-06-02T13:00:00+00:00,780,NE,12.8,90.0,1022,9,14.3,14.4,1.7,7.0,7.0,17.0,7.68,278.0,1300,"June 02, 2016 13:00:00",2016060200.0,undefined,5.7,6.9,355.0,0.8,1.4,12.3,8.51
2016-06-02T14:00:00+00:00,840,NE,13.3,90.6,1021,10,14.3,14.8,1.9,7.0,,,,,,,,,,,,,,,
2016-06-02T15:00:00+00:00,900,ENE,12.8,88.3,1021,10,14.5,14.7,1.7,6.0,,,,,,,,,,,,,,,
2016-06-02T16:00:00+00:00,960,NE,12.3,86.5,1021,11,14.6,14.5,1.6,6.0,,,,,,,,,,,,,,,
2016-06-02T17:00:00+00:00,1020,NE,11.8,86.0,1020,11,14.6,14.1,1.6,6.0,,,,,,,,,,,,,,,
2016-06-02T18:00:00+00:00,1080,NE,12.0,87.1,1020,11,14.7,14.1,1.5,6.0,,,,,,,,,,,,,,,
2016-06-02T19:00:00+00:00,1140,NE,12.3,88.2,1020,10,14.6,14.2,1.5,6.0,7.0,327.0,7.21,278.0,1900,"June 02, 2016 19:00:00",2016060200.0,undefined,2.9,6.9,356.0,1.3,1.4,12.3,8.18
