,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,surf_max,surf_min,swell_period2,swell_height1,dateStamp,periodSchedule,swell_height2,swell_direction3,swell_height3,modelRun,swell_direction1,swell_period1,modelCode,swell_period3
2016-06-02T20:00:00+00:00,1200,NE,12.3,89.4,1020,10,14.6,14.0,1.3,5.0,,,,,,,,,,,,,,,
2016-06-02T21:00:00+00:00,1260,ENE,12.7,91.8,1020,10,14.6,14.0,1.3,6.0,,,,,,,,,,,,,,,
2016-06-02T22:00:00+00:00,1320,NE,12.9,93.0,1020,9,14.4,14.0,1.3,5.0,,,,,,,,,,,,,,,
2016-06-02T23:00:00+00:00,1380,ENE,12.9,93.0,1019,11,14.6,14.0,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T00:00:00+00:00,0,NE,12.8,92.4,1019,9,14.6,14.0,1.4,6.0,,,,,,,,,,,,,,,
2016-06-03T01:00:00+00:00,60,NE,12.5,92.4,1018,7,14.5,13.7,1.4,6.0,313.0,6.36,5.36,3.6,6.1,"June 03, 2016 01:00:00",0100,1.6,357.0,1.5,2016060212.0,278.0,11.2,undefined,6.9
2016-06-03T02:00:00+00:00,120,NE,13.0,93.6,1018,9,14.6,14.0,1.4,5.0,,,,,,,,,,,,,,,
2016-06-03T03:00:00+00:00,180,NE,13.0,93.6,1017,10,14.3,14.0,1.4,6.0,,,,,,,,,,,,,,,
2016-06-03T04:00:00+00:00,240,NE,12.7,92.4,1017,12,14.3,13.9,1.4,6.0,,,,,,,,,,,,,,,
2016-06-03T05:00:00+00:00,300,ENE,12.0,88.8,1016,12,14.3,13.8,1.3,5.0,,,,,,,,,,,,,,,
2016-06-03T06:00:00+00:00,360,ENE,11.2,85.3,1016,13,14.2,13.6,1.3,5.0,,,,,,,,,,,,,,,
2016-06-03T07:00:00+00:00,420,ENE,11.6,88.2,1016,10,14.3,13.5,1.3,5.0,313.0,4.96,4.01,3.6,5.2,"June 03, 2016 07:00:00",0700,1.7,357.0,1.4,2016060300.0,277.0,11.2,undefined,6.3
2016-06-03T08:00:00+00:00,480,E,11.5,87.0,1016,10,14.4,13.6,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T09:00:00+00:00,540,ENE,11.1,85.3,1016,11,14.3,13.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T10:00:00+00:00,600,E,11.1,85.3,1016,10,14.3,13.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T11:00:00+00:00,660,E,11.2,84.2,1016,10,14.4,13.8,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T12:00:00+00:00,720,E,11.1,83.1,1015,11,14.4,13.9,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T13:00:00+00:00,780,E,11.7,85.9,1015,10,14.4,14.0,1.2,5.0,349.0,4.22,3.22,6.3,4.6,"June 03, 2016 13:00:00",1300,1.7,295.0,1.2,2016060300.0,276.0,10.2,undefined,3.9
2016-06-03T14:00:00+00:00,840,E,12.4,90.0,1015,10,14.5,14.0,1.3,5.0,,,,,,,,,,,,,,,
2016-06-03T15:00:00+00:00,900,E,13.0,93.1,1015,12,14.5,14.1,1.3,5.0,,,,,,,,,,,,,,,
2016-06-03T16:00:00+00:00,960,E,12.8,91.2,1014,12,14.6,14.2,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T17:00:00+00:00,1020,E,12.7,90.1,1014,10,14.5,14.3,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T18:00:00+00:00,1080,E,12.6,89.4,1014,11,14.4,14.3,1.1,5.0,,,,,,,,,,,,,,,
2016-06-03T19:00:00+00:00,1140,E,12.2,87.7,1014,11,14.6,14.2,1.2,5.0,353.0,3.75,2.75,6.3,4.3,"June 03, 2016 19:00:00",1900,1.4,304.0,1.3,2016060300.0,276.0,10.2,undefined,3.6
