,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_direction3,swell_direction1,swell_period2,swell_height1,swell_height3,periodSchedule,surf_min,swell_height2,swell_direction2,modelRun,dateStamp,modelCode,surf_max,swell_period1
2016-06-03T20:00:00+00:00,1200,E,12.0,86.0,1014,11,14.6,14.3,1.1,5.0,,,,,,,,,,,,,,,
2016-06-03T21:00:00+00:00,1260,E,11.6,83.1,1014,12,14.6,14.4,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T22:00:00+00:00,1320,E,11.9,84.3,1015,12,14.6,14.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-03T23:00:00+00:00,1380,E,12.8,91.9,1015,11,14.5,14.1,1.2,5.0,,,,,,,,,,,,,,,
2016-06-04T00:00:00+00:00,0,E,13.2,94.3,1014,12,14.5,14.1,1.3,5.0,,,,,,,,,,,,,,,
2016-06-04T01:00:00+00:00,60,E,13.4,95.5,1014,12,14.5,14.1,1.2,5.0,3.2,299.0,276.0,5.7,3.9,1.0,0100,2.36,1.4,350.0,2016060312.0,"June 04, 2016 01:00:00",undefined,3.36,9.3
2016-06-04T02:00:00+00:00,120,E,13.6,95.5,1014,13,14.5,14.3,1.3,5.0,,,,,,,,,,,,,,,
2016-06-04T03:00:00+00:00,180,ESE,13.6,95.5,1013,15,14.6,14.3,1.4,5.0,,,,,,,,,,,,,,,
2016-06-04T04:00:00+00:00,240,ESE,13.7,96.8,1013,14,14.6,14.2,1.4,5.0,,,,,,,,,,,,,,,
2016-06-04T05:00:00+00:00,300,ESE,13.8,96.2,1013,13,14.5,14.4,1.5,5.0,,,,,,,,,,,,,,,
2016-06-04T06:00:00+00:00,360,ESE,13.8,96.8,1014,13,14.5,14.3,1.4,5.0,,,,,,,,,,,,,,,
2016-06-04T07:00:00+00:00,420,ESE,13.9,96.8,1014,12,14.4,14.4,1.4,5.0,12.3,208.0,276.0,5.7,3.7,0.9,0700,1.95,1.2,351.0,2016060400.0,"June 04, 2016 07:00:00",undefined,2.92,9.3
2016-06-04T08:00:00+00:00,480,SE,14.0,96.8,1014,9,14.4,14.5,1.3,5.0,,,,,,,,,,,,,,,
2016-06-04T09:00:00+00:00,540,ESE,14.0,96.1,1015,9,14.5,14.6,1.3,5.0,,,,,,,,,,,,,,,
2016-06-04T10:00:00+00:00,600,ESE,14.0,94.9,1015,9,14.7,14.8,1.2,5.0,,,,,,,,,,,,,,,
2016-06-04T11:00:00+00:00,660,ESE,14.2,94.3,1015,11,14.8,15.1,1.2,5.0,,,,,,,,,,,,,,,
2016-06-04T12:00:00+00:00,720,SE,13.9,93.0,1015,10,14.7,15.0,1.2,5.0,,,,,,,,,,,,,,,
2016-06-04T13:00:00+00:00,780,ESE,13.8,91.8,1015,9,14.7,15.1,1.2,5.0,12.3,208.0,276.0,5.7,3.4,0.8,1300,1.66,1.0,354.0,2016060400.0,"June 04, 2016 13:00:00",undefined,2.66,9.3
2016-06-04T14:00:00+00:00,840,ESE,14.2,93.1,1015,11,14.7,15.3,1.1,5.0,,,,,,,,,,,,,,,
2016-06-04T15:00:00+00:00,900,SE,13.8,92.5,1015,13,14.8,15.0,1.2,5.0,,,,,,,,,,,,,,,
2016-06-04T16:00:00+00:00,960,SE,14.0,92.5,1015,11,14.7,15.2,1.1,4.0,,,,,,,,,,,,,,,
2016-06-04T17:00:00+00:00,1020,SE,13.8,91.3,1015,12,14.9,15.2,1.2,4.0,,,,,,,,,,,,,,,
2016-06-04T18:00:00+00:00,1080,SE,13.5,90.1,1014,11,14.8,15.1,1.1,4.0,,,,,,,,,,,,,,,
2016-06-04T19:00:00+00:00,1140,SE,13.5,89.0,1014,11,14.8,15.3,1.0,4.0,5.2,353.0,275.0,12.3,3.3,0.8,1900,1.44,0.8,208.0,2016060400.0,"June 04, 2016 19:00:00",undefined,2.44,8.4
