,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_period2,swell_direction3,swell_height2,swell_height3,swell_height1,surf_max,periodSchedule,swell_direction1,modelCode,swell_direction2,dateStamp,modelRun,swell_period3,swell_period1
2016-06-04T20:00:00+00:00,1200,ESE,13.6,90.7,1015,11,14.9,15.1,1.0,4.0,,,,,,,,,,,,,,,
2016-06-04T21:00:00+00:00,1260,ESE,13.8,92.5,1015,12,14.9,15.0,1.0,4.0,,,,,,,,,,,,,,,
2016-06-04T22:00:00+00:00,1320,SE,14.2,93.7,1015,14,14.7,15.2,1.0,4.0,,,,,,,,,,,,,,,
2016-06-04T23:00:00+00:00,1380,SE,13.9,93.0,1015,13,14.7,15.0,1.1,4.0,,,,,,,,,,,,,,,
2016-06-05T00:00:00+00:00,0,SE,13.9,93.0,1015,13,14.7,15.0,1.1,4.0,,,,,,,,,,,,,,,
2016-06-05T01:00:00+00:00,60,ESE,13.9,93.0,1014,14,14.7,15.0,1.1,5.0,1.41,12.3,208.0,0.9,0.7,3.3,2.41,0100,276.0,undefined,208.0,"June 05, 2016 01:00:00",2016060412.0,14.9,8.4
2016-06-05T02:00:00+00:00,120,SE,14.1,93.7,1014,13,14.6,15.1,1.1,4.0,,,,,,,,,,,,,,,
2016-06-05T03:00:00+00:00,180,SE,13.8,92.5,1014,14,14.6,15.0,1.2,4.0,,,,,,,,,,,,,,,
2016-06-05T04:00:00+00:00,240,SE,13.8,92.5,1013,13,14.6,15.0,1.3,4.0,,,,,,,,,,,,,,,
2016-06-05T05:00:00+00:00,300,SE,13.9,93.7,1013,14,14.6,14.9,1.3,4.0,,,,,,,,,,,,,,,
2016-06-05T06:00:00+00:00,360,SE,13.8,93.1,1013,16,14.6,14.9,1.3,4.0,,,,,,,,,,,,,,,
2016-06-05T07:00:00+00:00,420,SE,13.9,92.5,1013,16,14.5,15.1,1.4,5.0,1.48,14.9,358.0,1.1,0.4,3.2,2.48,0700,276.0,undefined,208.0,"June 05, 2016 07:00:00",2016060500.0,5.7,8.4
2016-06-05T08:00:00+00:00,480,SE,14.0,92.5,1013,18,14.6,15.2,1.5,5.0,,,,,,,,,,,,,,,
2016-06-05T09:00:00+00:00,540,SE,13.8,91.8,1013,17,14.6,15.1,1.8,5.0,,,,,,,,,,,,,,,
2016-06-05T10:00:00+00:00,600,SE,13.7,91.9,1014,17,14.6,15.0,1.7,5.0,,,,,,,,,,,,,,,
2016-06-05T11:00:00+00:00,660,SE,14.2,91.9,1013,17,14.5,15.5,1.9,5.0,,,,,,,,,,,,,,,
2016-06-05T12:00:00+00:00,720,SE,14.0,92.5,1014,16,14.6,15.2,1.8,5.0,,,,,,,,,,,,,,,
2016-06-05T13:00:00+00:00,780,SE,13.9,91.9,1014,17,14.6,15.2,2.0,5.0,1.77,13.5,212.0,0.9,0.6,3.2,2.77,1300,276.0,undefined,206.0,"June 05, 2016 13:00:00",2016060500.0,11.2,7.6
2016-06-05T14:00:00+00:00,840,SE,14.2,91.9,1013,17,14.5,15.5,2.2,6.0,,,,,,,,,,,,,,,
2016-06-05T15:00:00+00:00,900,SE,14.2,92.6,1013,16,14.6,15.4,2.0,6.0,,,,,,,,,,,,,,,
2016-06-05T16:00:00+00:00,960,SE,14.2,92.6,1013,17,14.5,15.4,2.4,6.0,,,,,,,,,,,,,,,
2016-06-05T17:00:00+00:00,1020,SE,14.2,92.6,1012,18,14.6,15.4,2.3,6.0,,,,,,,,,,,,,,,
2016-06-05T18:00:00+00:00,1080,SE,14.1,93.1,1012,17,14.6,15.2,2.1,6.0,,,,,,,,,,,,,,,
2016-06-05T19:00:00+00:00,1140,SE,14.3,94.3,1012,19,14.6,15.2,2.4,6.0,3.24,11.2,208.0,2.3,1.1,3.2,4.24,1900,277.0,undefined,290.0,"June 05, 2016 19:00:00",2016060500.0,13.5,7.6
