,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_period3,modelCode,swell_direction1,swell_height1,swell_direction2,modelRun,swell_height2,swell_period1,dateStamp,swell_height3,swell_direction3,swell_period2,periodSchedule,surf_max
2016-06-05T20:00:00+00:00,1200,SSE,14.7,95.5,1012,22,14.6,15.4,2.3,5.0,,,,,,,,,,,,,,,
2016-06-05T21:00:00+00:00,1260,SE,14.3,94.9,1013,18,14.5,15.1,2.4,5.0,,,,,,,,,,,,,,,
2016-06-05T22:00:00+00:00,1320,SE,14.5,96.2,1013,18,14.6,15.1,2.5,6.0,,,,,,,,,,,,,,,
2016-06-05T23:00:00+00:00,1380,SE,14.7,96.2,1013,18,14.6,15.3,2.3,6.0,,,,,,,,,,,,,,,
2016-06-06T00:00:00+00:00,0,SSE,14.5,96.2,1013,14,14.6,15.1,2.3,6.0,,,,,,,,,,,,,,,
2016-06-06T01:00:00+00:00,60,SE,14.5,96.8,1012,13,14.6,15.0,2.2,6.0,6.15,5.2,undefined,287.0,5.9,208.0,2016060512.0,1.0,11.2,"June 06, 2016 01:00:00",0.2,360.0,13.5,0100,7.35
2016-06-06T02:00:00+00:00,120,SE,14.5,96.8,1012,14,14.5,15.0,2.6,7.0,,,,,,,,,,,,,,,
2016-06-06T03:00:00+00:00,180,SE,14.5,97.4,1012,13,14.6,14.9,2.6,7.0,,,,,,,,,,,,,,,
2016-06-06T04:00:00+00:00,240,SE,14.6,97.4,1012,13,14.5,15.0,2.7,7.0,,,,,,,,,,,,,,,
2016-06-06T05:00:00+00:00,300,SE,14.6,97.4,1012,13,14.6,15.0,2.7,7.0,,,,,,,,,,,,,,,
2016-06-06T06:00:00+00:00,360,SE,14.5,97.4,1012,12,14.5,14.9,2.5,6.0,,,,,,,,,,,,,,,
2016-06-06T07:00:00+00:00,420,SE,14.7,97.4,1012,13,14.5,15.1,2.6,7.0,7.82,5.2,undefined,290.0,8.7,208.0,2016060600.0,1.0,13.5,"June 06, 2016 07:00:00",0.2,360.0,13.5,0700,9.34
2016-06-06T08:00:00+00:00,480,SE,14.6,97.4,1012,14,14.6,15.0,2.7,7.0,,,,,,,,,,,,,,,
2016-06-06T09:00:00+00:00,540,SSE,14.5,97.4,1013,13,14.6,14.9,2.6,7.0,,,,,,,,,,,,,,,
2016-06-06T10:00:00+00:00,600,SSE,14.5,97.4,1013,11,14.6,14.9,2.7,7.0,,,,,,,,,,,,,,,
2016-06-06T11:00:00+00:00,660,SSE,14.6,97.4,1013,7,14.6,15.0,2.2,7.0,,,,,,,,,,,,,,,
2016-06-06T12:00:00+00:00,720,SSW,14.5,96.8,1014,8,14.7,15.0,2.4,7.0,,,,,,,,,,,,,,,
2016-06-06T13:00:00+00:00,780,S,13.9,93.7,1014,9,14.8,14.9,2.1,6.0,7.76,6.9,undefined,290.0,9.7,208.0,2016060600.0,1.0,12.3,"June 06, 2016 13:00:00",0.2,360.0,13.5,1300,8.62
2016-06-06T14:00:00+00:00,840,SSE,14.3,93.7,1015,8,14.8,15.3,2.1,7.0,,,,,,,,,,,,,,,
2016-06-06T15:00:00+00:00,900,SSE,14.1,93.7,1015,8,14.9,15.1,2.1,6.0,,,,,,,,,,,,,,,
2016-06-06T16:00:00+00:00,960,SSE,14.7,93.7,1015,8,15.0,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-06-06T17:00:00+00:00,1020,SSE,14.4,93.7,1015,8,15.4,15.4,2.1,7.0,,,,,,,,,,,,,,,
2016-06-06T18:00:00+00:00,1080,S,15.0,94.4,1016,6,15.4,15.9,2.2,7.0,,,,,,,,,,,,,,,
2016-06-06T19:00:00+00:00,1140,SSW,14.9,93.1,1016,7,15.4,16.0,2.0,7.0,6.26,6.9,undefined,290.0,9.1,208.0,2016060600.0,0.9,12.3,"June 06, 2016 19:00:00",0.2,360.0,12.3,1900,7.25
