,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,surf_max,modelCode,swell_direction1,swell_height1,modelRun,dateStamp,swell_period3,surf_min,swell_direction3,swell_height3,periodSchedule,swell_period2,swell_direction2,swell_period1
2016-06-06T20:00:00+00:00,1200,S,14.8,93.1,1017,6,15.1,15.9,2.0,7.0,,,,,,,,,,,,,,,
2016-06-06T21:00:00+00:00,1260,S,14.9,94.4,1018,5,15.3,15.8,2.0,6.0,,,,,,,,,,,,,,,
2016-06-06T22:00:00+00:00,1320,S,14.7,94.9,1018,5,15.2,15.5,1.9,7.0,,,,,,,,,,,,,,,
2016-06-06T23:00:00+00:00,1380,S,14.8,95.6,1019,5,15.2,15.5,1.8,6.0,,,,,,,,,,,,,,,
2016-06-07T00:00:00+00:00,0,S,14.6,94.9,1019,5,15.2,15.4,1.8,6.0,,,,,,,,,,,,,,,
2016-06-07T01:00:00+00:00,60,SW,14.6,95.5,1019,4,15.2,15.3,1.8,6.0,0.8,5.96,undefined,290.0,8.0,2016060612.0,"June 07, 2016 01:00:00",7.6,5.18,360.0,0.2,0100,12.3,208.0,11.2
2016-06-07T02:00:00+00:00,120,SSW,14.4,95.5,1019,4,15.2,15.1,1.6,6.0,,,,,,,,,,,,,,,
2016-06-07T03:00:00+00:00,180,S,14.4,95.5,1019,5,15.1,15.1,1.8,7.0,,,,,,,,,,,,,,,
2016-06-07T04:00:00+00:00,240,S,14.5,95.5,1020,4,15.2,15.2,1.7,7.0,,,,,,,,,,,,,,,
2016-06-07T05:00:00+00:00,300,SSE,14.6,95.5,1020,6,15.1,15.3,1.7,6.0,,,,,,,,,,,,,,,
2016-06-07T06:00:00+00:00,360,S,14.5,94.3,1020,4,15.1,15.4,1.7,7.0,,,,,,,,,,,,,,,
2016-06-07T07:00:00+00:00,420,S,14.2,93.1,1021,5,15.1,15.3,1.8,7.0,0.8,4.59,undefined,291.0,7.0,2016060700.0,"June 07, 2016 07:00:00",2.4,4.25,22.0,0.2,0700,12.3,208.0,11.2
2016-06-07T08:00:00+00:00,480,SSE,14.3,93.7,1021,6,15.1,15.3,1.5,6.0,,,,,,,,,,,,,,,
2016-06-07T09:00:00+00:00,540,SSE,14.6,93.1,1022,8,15.1,15.7,1.5,6.0,,,,,,,,,,,,,,,
2016-06-07T10:00:00+00:00,600,SSE,14.1,92.5,1022,8,15.2,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-06-07T11:00:00+00:00,660,SSE,14.8,93.7,1022,8,15.2,15.8,1.5,7.0,,,,,,,,,,,,,,,
2016-06-07T12:00:00+00:00,720,SSE,14.7,93.1,1023,9,15.4,15.8,1.4,6.0,,,,,,,,,,,,,,,
2016-06-07T13:00:00+00:00,780,SSE,14.5,91.9,1023,9,15.5,15.8,1.4,6.0,1.9,4.1,undefined,290.0,6.1,2016060700.0,"June 07, 2016 13:00:00",3.6,3.1,347.0,1.2,1300,3.6,45.0,10.2
2016-06-07T14:00:00+00:00,840,S,14.9,90.8,1023,10,15.6,16.4,1.3,6.0,,,,,,,,,,,,,,,
2016-06-07T15:00:00+00:00,900,SSE,14.8,91.9,1023,9,15.8,16.1,1.4,6.0,,,,,,,,,,,,,,,
2016-06-07T16:00:00+00:00,960,SSE,14.8,90.8,1023,10,16.1,16.3,1.3,6.0,,,,,,,,,,,,,,,
2016-06-07T17:00:00+00:00,1020,SSE,14.7,91.4,1023,9,16.1,16.1,1.3,6.0,,,,,,,,,,,,,,,
2016-06-07T18:00:00+00:00,1080,SSE,14.2,89.5,1023,10,15.7,15.9,1.5,6.0,,,,,,,,,,,,,,,
2016-06-07T19:00:00+00:00,1140,SSE,14.6,91.3,1023,9,15.8,16.0,1.4,6.0,1.8,3.53,undefined,290.0,5.2,2016060700.0,"June 07, 2016 19:00:00",3.9,3.39,28.0,1.5,1900,3.9,344.0,10.2
