,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period2,swell_period3,surf_min,swell_height3,swell_height2,surf_max,dateStamp,swell_direction1,modelCode,modelRun,swell_period1,swell_direction2,periodSchedule,swell_height1,swell_direction3
2016-06-07T20:00:00+00:00,1200,SE,14.4,94.3,1023,11,15.7,15.3,1.4,6.0,,,,,,,,,,,,,,,
2016-06-07T21:00:00+00:00,1260,SSE,14.1,93.1,1023,11,15.9,15.2,1.2,5.0,,,,,,,,,,,,,,,
2016-06-07T22:00:00+00:00,1320,ESE,14.1,93.1,1024,12,16.0,15.2,1.2,5.0,,,,,,,,,,,,,,,
2016-06-07T23:00:00+00:00,1380,SE,13.8,91.8,1024,13,16.0,15.1,1.2,5.0,,,,,,,,,,,,,,,
2016-06-08T00:00:00+00:00,0,SE,14.1,93.1,1024,12,15.9,15.2,1.3,5.0,,,,,,,,,,,,,,,
2016-06-08T01:00:00+00:00,60,SE,14.4,93.7,1024,10,15.9,15.4,1.2,5.0,4.3,4.3,2.0,1.9,2.3,3.0,"June 08, 2016 01:00:00",290.0,undefined,2016060712.0,9.3,343.0,0100,4.5,26.0
2016-06-08T02:00:00+00:00,120,ESE,14.9,95.0,1023,11,15.9,15.7,1.2,5.0,,,,,,,,,,,,,,,
2016-06-08T03:00:00+00:00,180,SE,15.1,95.5,1023,9,15.9,15.8,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T04:00:00+00:00,240,SE,15.1,93.7,1023,11,15.8,16.1,1.2,5.0,,,,,,,,,,,,,,,
2016-06-08T05:00:00+00:00,300,SE,14.2,87.8,1022,11,15.7,16.2,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T06:00:00+00:00,360,SE,13.8,84.5,1022,11,15.6,16.4,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T07:00:00+00:00,420,SE,14.2,88.9,1023,9,15.6,16.0,1.1,5.0,4.3,4.3,1.49,1.7,2.0,2.46,"June 08, 2016 07:00:00",289.0,undefined,2016060800.0,9.3,342.0,0700,3.9,28.0
2016-06-08T08:00:00+00:00,480,SE,13.7,85.0,1023,11,15.7,16.2,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T09:00:00+00:00,540,SE,13.6,84.4,1023,12,15.9,16.2,1.0,5.0,,,,,,,,,,,,,,,
2016-06-08T10:00:00+00:00,600,SE,13.9,86.7,1023,11,16.0,16.1,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T11:00:00+00:00,660,ESE,14.2,88.4,1023,14,16.0,16.1,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T12:00:00+00:00,720,SE,13.6,86.1,1023,13,15.9,15.9,1.1,5.0,,,,,,,,,,,,,,,
2016-06-08T13:00:00+00:00,780,ESE,13.2,84.9,1022,16,15.7,15.7,1.2,4.0,3.9,3.9,1.13,1.3,1.5,2.13,"June 08, 2016 13:00:00",289.0,undefined,2016060800.0,9.3,347.0,1300,3.4,27.0
2016-06-08T14:00:00+00:00,840,ESE,13.0,83.9,1022,17,15.7,15.7,1.3,4.0,,,,,,,,,,,,,,,
2016-06-08T15:00:00+00:00,900,ESE,13.6,88.4,1021,17,15.8,15.5,1.5,4.0,,,,,,,,,,,,,,,
2016-06-08T16:00:00+00:00,960,SE,13.6,87.8,1021,17,15.8,15.6,1.6,5.0,,,,,,,,,,,,,,,
2016-06-08T17:00:00+00:00,1020,SE,13.5,87.2,1020,17,15.9,15.6,1.9,5.0,,,,,,,,,,,,,,,
2016-06-08T18:00:00+00:00,1080,SE,13.8,88.9,1020,16,15.9,15.6,2.2,6.0,,,,,,,,,,,,,,,
2016-06-08T19:00:00+00:00,1140,SE,13.8,89.5,1020,17,15.9,15.5,2.1,6.0,8.4,3.9,0.81,1.9,2.7,1.81,"June 08, 2016 19:00:00",339.0,undefined,2016060800.0,4.3,288.0,1900,2.8,25.0
