,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_height3,swell_height1,modelCode,swell_period2,swell_direction1,periodSchedule,dateStamp,swell_direction2,swell_direction3,swell_period3,modelRun,surf_min,surf_max,swell_period1
2016-06-08T20:00:00+00:00,1200,SE,13.9,89.5,1019,17,15.9,15.6,2.2,6.0,,,,,,,,,,,,,,,
2016-06-08T21:00:00+00:00,1260,SE,14.2,90.8,1019,16,15.8,15.7,2.4,6.0,,,,,,,,,,,,,,,
2016-06-08T22:00:00+00:00,1320,SE,14.2,90.8,1019,16,15.9,15.7,2.0,6.0,,,,,,,,,,,,,,,
2016-06-08T23:00:00+00:00,1380,SE,14.3,91.3,1019,16,15.8,15.7,2.0,6.0,,,,,,,,,,,,,,,
2016-06-09T00:00:00+00:00,0,SE,14.2,93.6,1019,15,15.9,15.2,2.0,6.0,,,,,,,,,,,,,,,
2016-06-09T01:00:00+00:00,60,SE,14.5,93.8,1018,14,15.7,15.5,1.7,6.0,2.2,2.0,2.4,undefined,8.4,345.0,0100,"June 09, 2016 01:00:00",285.0,26.0,4.3,2016060812.0,0.84,1.84,4.3
2016-06-09T02:00:00+00:00,120,SE,14.5,94.3,1018,13,15.8,15.4,1.8,6.0,,,,,,,,,,,,,,,
2016-06-09T03:00:00+00:00,180,SSE,14.9,95.0,1017,11,15.8,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-06-09T04:00:00+00:00,240,SSE,15.0,95.6,1017,12,15.8,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-06-09T05:00:00+00:00,300,SSE,14.9,95.5,1017,9,15.8,15.6,2.0,6.0,,,,,,,,,,,,,,,
2016-06-09T06:00:00+00:00,360,SE,14.9,95.5,1016,9,15.8,15.6,2.1,7.0,,,,,,,,,,,,,,,
2016-06-09T07:00:00+00:00,420,SSE,14.8,95.6,1016,9,15.8,15.5,2.0,6.0,2.4,1.5,2.6,undefined,10.2,336.0,0700,"June 09, 2016 07:00:00",278.0,23.0,4.3,2016060900.0,1.59,2.59,4.3
2016-06-09T08:00:00+00:00,480,SSE,15.0,95.6,1016,8,15.9,15.7,2.1,7.0,,,,,,,,,,,,,,,
2016-06-09T09:00:00+00:00,540,SSE,15.1,95.5,1016,8,15.8,15.8,2.2,7.0,,,,,,,,,,,,,,,
2016-06-09T10:00:00+00:00,600,S,15.0,94.9,1016,7,15.8,15.8,2.0,7.0,,,,,,,,,,,,,,,
2016-06-09T11:00:00+00:00,660,SSE,14.8,93.7,1016,8,15.8,15.8,2.0,7.0,,,,,,,,,,,,,,,
2016-06-09T12:00:00+00:00,720,S,14.8,92.6,1016,8,15.8,16.0,1.8,7.0,,,,,,,,,,,,,,,
2016-06-09T13:00:00+00:00,,,,,,,,,,,2.3,1.2,3.3,undefined,4.3,274.0,1300,"June 09, 2016 13:00:00",337.0,24.0,3.9,2016060900.0,2.61,3.57,10.2
2016-06-09T19:00:00+00:00,,,,,,,,,,,2.0,0.8,4.3,undefined,3.9,272.0,1900,"June 09, 2016 19:00:00",334.0,21.0,3.9,2016060900.0,3.33,4.27,9.3
