,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_period1,swell_direction3,swell_direction2,swell_height3,swell_height1,swell_height2,dateStamp,modelCode,swell_period2,swell_direction1,swell_period3,surf_max,periodSchedule,surf_min
2016-06-10T20:00:00+00:00,1200,SW,11.7,78.0,1013,8,16.2,15.5,1.3,6.0,,,,,,,,,,,,,,,
2016-06-10T21:00:00+00:00,1260,SSW,11.9,79.5,1013,9,16.4,15.4,1.2,6.0,,,,,,,,,,,,,,,
2016-06-10T22:00:00+00:00,1320,S,11.8,78.5,1013,8,16.6,15.5,1.1,6.0,,,,,,,,,,,,,,,
2016-06-10T23:00:00+00:00,1380,S,12.4,81.7,1012,8,16.5,15.5,1.0,6.0,,,,,,,,,,,,,,,
2016-06-11T00:00:00+00:00,0,SSE,13.0,82.8,1012,12,16.3,15.9,1.0,6.0,,,,,,,,,,,,,,,
2016-06-11T01:00:00+00:00,60,S,13.2,85.0,1011,13,16.2,15.7,1.0,5.0,2016061012.0,5.2,21.0,275.0,2.3,4.2,3.6,"June 11, 2016 01:00:00",undefined,8.4,335.0,5.2,3.13,0100,2.15
2016-06-11T02:00:00+00:00,120,SSE,11.4,76.9,1010,12,15.9,15.4,1.1,5.0,,,,,,,,,,,,,,,
2016-06-11T03:00:00+00:00,180,S,12.6,86.1,1010,18,15.5,14.9,1.1,4.0,,,,,,,,,,,,,,,
2016-06-11T04:00:00+00:00,240,SSE,13.8,94.9,1009,17,15.5,14.6,1.3,4.0,,,,,,,,,,,,,,,
2016-06-11T05:00:00+00:00,300,SSE,13.8,94.9,1008,18,15.5,14.6,1.4,4.0,,,,,,,,,,,,,,,
2016-06-11T06:00:00+00:00,360,SSE,14.3,95.5,1008,20,15.5,15.0,1.4,5.0,,,,,,,,,,,,,,,
2016-06-11T07:00:00+00:00,420,S,15.0,96.2,1008,13,15.5,15.6,1.5,5.0,2016061100.0,5.2,23.0,275.0,2.1,3.8,3.2,"June 11, 2016 07:00:00",undefined,8.4,334.0,5.2,2.68,0700,1.73
2016-06-11T08:00:00+00:00,480,SSW,15.1,96.2,1008,12,15.5,15.7,1.5,5.0,,,,,,,,,,,,,,,
2016-06-11T09:00:00+00:00,540,SW,15.3,96.8,1008,12,15.5,15.8,1.5,5.0,,,,,,,,,,,,,,,
2016-06-11T10:00:00+00:00,600,WSW,15.1,94.4,1008,14,15.5,16.0,1.6,5.0,,,,,,,,,,,,,,,
2016-06-11T11:00:00+00:00,660,WSW,15.0,94.4,1008,12,15.6,15.9,1.5,5.0,,,,,,,,,,,,,,,
2016-06-11T12:00:00+00:00,720,WSW,14.7,92.6,1008,13,15.8,15.9,1.5,5.0,,,,,,,,,,,,,,,
2016-06-11T13:00:00+00:00,780,WSW,14.3,89.6,1008,13,15.6,16.0,1.5,5.0,2016061100.0,8.4,22.0,336.0,1.7,3.2,2.9,"June 11, 2016 13:00:00",undefined,5.2,278.0,5.2,2.44,1300,1.46
2016-06-11T14:00:00+00:00,840,W,14.4,90.8,1009,14,15.7,15.9,1.7,6.0,,,,,,,,,,,,,,,
2016-06-11T15:00:00+00:00,900,WSW,14.3,89.1,1009,14,15.6,16.1,1.8,5.0,,,,,,,,,,,,,,,
2016-06-11T16:00:00+00:00,960,WSW,14.2,89.0,1009,16,15.6,16.0,1.7,5.0,,,,,,,,,,,,,,,
2016-06-11T17:00:00+00:00,1020,WSW,14.6,89.6,1009,16,15.7,16.3,1.7,5.0,,,,,,,,,,,,,,,
2016-06-11T18:00:00+00:00,1080,WSW,14.8,92.6,1009,15,15.8,16.0,2.0,5.0,,,,,,,,,,,,,,,
2016-06-11T19:00:00+00:00,1140,WSW,15.1,95.0,1009,15,15.8,15.9,2.0,5.0,2016061100.0,8.4,19.0,337.0,1.1,2.9,2.2,"June 11, 2016 19:00:00",undefined,5.2,279.0,4.7,2.25,1900,1.25
