,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,modelCode,swell_period2,swell_height3,swell_period1,swell_height2,dateStamp,swell_direction1,modelRun,swell_direction3,swell_direction2,periodSchedule,surf_min,surf_max,swell_period3
2016-06-11T20:00:00+00:00,1200,W,15.2,95.6,1009,15,15.7,15.9,2.0,6.0,,,,,,,,,,,,,,,
2016-06-11T21:00:00+00:00,1260,W,15.1,93.8,1009,14,15.8,16.1,2.2,6.0,,,,,,,,,,,,,,,
2016-06-11T22:00:00+00:00,1320,W,14.7,90.8,1010,12,15.9,16.2,2.3,6.0,,,,,,,,,,,,,,,
2016-06-11T23:00:00+00:00,1380,W,14.8,92.0,1010,12,15.8,16.1,2.2,6.0,,,,,,,,,,,,,,,
2016-06-12T00:00:00+00:00,0,W,14.6,91.4,1011,14,15.8,16.0,2.2,5.0,,,,,,,,,,,,,,,
2016-06-12T01:00:00+00:00,60,W,14.0,88.4,1011,15,15.7,15.9,2.0,6.0,2.7,undefined,3.9,0.6,7.6,1.6,"June 12, 2016 01:00:00",279.0,2016061112.0,18.0,332.0,0100,1.3,2.3,4.7
2016-06-12T02:00:00+00:00,120,W,13.7,87.8,1011,13,15.7,15.7,2.1,6.0,,,,,,,,,,,,,,,
2016-06-12T03:00:00+00:00,180,W,13.8,88.9,1011,14,15.7,15.6,2.0,6.0,,,,,,,,,,,,,,,
2016-06-12T04:00:00+00:00,240,WNW,13.0,85.0,1011,14,15.7,15.5,2.0,6.0,,,,,,,,,,,,,,,
2016-06-12T05:00:00+00:00,300,W,12.7,83.9,1011,13,15.7,15.4,1.9,6.0,,,,,,,,,,,,,,,
2016-06-12T06:00:00+00:00,360,W,12.5,82.7,1012,10,15.7,15.4,1.9,6.0,,,,,,,,,,,,,,,
2016-06-12T07:00:00+00:00,420,W,12.6,83.4,1012,11,15.7,15.4,1.9,6.0,2.5,undefined,10.2,1.5,7.6,1.8,"June 12, 2016 07:00:00",280.0,2016061200.0,336.0,294.0,0700,1.91,2.91,3.6
2016-06-12T08:00:00+00:00,480,W,12.7,83.3,1012,10,15.8,15.5,1.8,6.0,,,,,,,,,,,,,,,
2016-06-12T09:00:00+00:00,540,W,12.4,82.7,1012,10,15.8,15.3,2.0,6.0,,,,,,,,,,,,,,,
2016-06-12T10:00:00+00:00,600,WSW,12.5,81.2,1012,10,15.9,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-06-12T11:00:00+00:00,660,WSW,12.7,83.9,1012,12,15.8,15.4,2.3,7.0,,,,,,,,,,,,,,,
2016-06-12T12:00:00+00:00,720,WSW,13.2,86.1,1012,11,15.8,15.5,2.2,7.0,,,,,,,,,,,,,,,
2016-06-12T13:00:00+00:00,780,SW,13.0,85.0,1012,9,15.7,15.5,2.2,7.0,4.2,undefined,3.2,0.5,10.2,1.1,"June 12, 2016 13:00:00",289.0,2016061200.0,15.0,344.0,1300,3.32,3.51,3.2
2016-06-12T14:00:00+00:00,840,SSW,13.1,84.5,1011,9,15.9,15.7,1.9,7.0,,,,,,,,,,,,,,,
2016-06-12T15:00:00+00:00,900,SSW,13.5,87.3,1010,12,15.7,15.6,1.8,6.0,,,,,,,,,,,,,,,
2016-06-12T16:00:00+00:00,960,S,14.0,89.0,1010,14,16.0,15.8,2.1,7.0,,,,,,,,,,,,,,,
2016-06-12T17:00:00+00:00,1020,SSW,13.9,87.9,1010,15,15.9,15.9,1.8,6.0,,,,,,,,,,,,,,,
2016-06-12T18:00:00+00:00,1080,S,14.1,87.9,1009,13,15.9,16.1,1.7,6.0,,,,,,,,,,,,,,,
2016-06-12T19:00:00+00:00,1140,S,14.5,90.2,1008,13,15.7,16.1,1.8,6.0,4.9,undefined,3.6,1.0,10.2,1.1,"June 12, 2016 19:00:00",290.0,2016061200.0,333.0,335.0,1900,2.61,3.57,3.2
