,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_direction1,modelCode,swell_period1,swell_height1,swell_height2,swell_period3,dateStamp,periodSchedule,swell_height3,surf_max,surf_min,modelRun,swell_direction3,swell_period2
2016-06-12T20:00:00+00:00,1200,SSW,14.8,91.4,1008,15,15.6,16.2,1.9,6.0,,,,,,,,,,,,,,,
2016-06-12T21:00:00+00:00,1260,SSW,14.8,94.4,1008,16,15.7,15.7,2.0,6.0,,,,,,,,,,,,,,,
2016-06-12T22:00:00+00:00,1320,SSW,15.3,96.2,1007,15,15.7,15.9,2.0,6.0,,,,,,,,,,,,,,,
2016-06-12T23:00:00+00:00,1380,W,15.5,96.3,1007,17,15.7,16.1,2.1,6.0,,,,,,,,,,,,,,,
2016-06-13T00:00:00+00:00,0,W,15.5,95.0,1007,17,15.9,16.3,2.0,6.0,,,,,,,,,,,,,,,
2016-06-13T01:00:00+00:00,60,W,15.2,93.8,1007,17,15.9,16.2,2.0,6.0,329.0,290.0,undefined,10.2,5.0,2.0,3.2,"June 13, 2016 01:00:00",0100,0.6,3.57,2.59,2016061212.0,18.0,3.6
2016-06-13T02:00:00+00:00,120,WNW,14.6,92.5,1008,21,15.9,15.8,2.1,6.0,,,,,,,,,,,,,,,
2016-06-13T03:00:00+00:00,180,WNW,13.3,87.3,1008,19,15.8,15.4,2.1,5.0,,,,,,,,,,,,,,,
2016-06-13T04:00:00+00:00,240,WNW,12.6,81.7,1009,20,15.9,15.7,2.1,5.0,,,,,,,,,,,,,,,
2016-06-13T05:00:00+00:00,300,WNW,12.5,82.3,1009,19,15.8,15.5,2.2,5.0,,,,,,,,,,,,,,,
2016-06-13T06:00:00+00:00,360,WNW,11.3,82.7,1009,20,15.8,14.2,2.4,5.0,,,,,,,,,,,,,,,
2016-06-13T07:00:00+00:00,420,WNW,12.0,79.6,1009,22,15.7,15.5,2.4,5.0,328.0,289.0,undefined,10.2,4.9,2.3,3.6,"June 13, 2016 07:00:00",0700,0.6,3.54,2.55,2016061300.0,19.0,3.9
2016-06-13T08:00:00+00:00,480,WNW,10.6,73.4,1010,23,15.6,15.3,2.5,6.0,,,,,,,,,,,,,,,
2016-06-13T09:00:00+00:00,540,W,11.3,76.9,1010,20,15.6,15.3,2.5,6.0,,,,,,,,,,,,,,,
2016-06-13T10:00:00+00:00,600,W,12.0,84.9,1011,20,15.7,14.5,2.6,6.0,,,,,,,,,,,,,,,
2016-06-13T11:00:00+00:00,660,WNW,11.7,78.0,1011,20,15.7,15.5,2.8,6.0,,,,,,,,,,,,,,,
2016-06-13T12:00:00+00:00,720,WNW,11.2,77.3,1011,18,15.9,15.1,3.0,6.0,,,,,,,,,,,,,,,
2016-06-13T13:00:00+00:00,780,W,12.0,79.6,1011,17,15.7,15.5,3.1,6.0,325.0,289.0,undefined,10.2,4.9,2.1,3.6,"June 13, 2016 13:00:00",1300,0.5,3.49,3.21,2016061300.0,19.0,4.7
2016-06-13T14:00:00+00:00,840,W,12.1,79.0,1011,14,15.9,15.7,2.9,6.0,,,,,,,,,,,,,,,
2016-06-13T15:00:00+00:00,900,WSW,12.8,83.3,1011,14,15.9,15.6,3.0,7.0,,,,,,,,,,,,,,,
2016-06-13T16:00:00+00:00,960,WSW,13.5,88.3,1010,15,15.6,15.4,2.7,7.0,,,,,,,,,,,,,,,
2016-06-13T17:00:00+00:00,1020,W,12.1,89.4,1011,20,15.8,13.8,2.8,7.0,,,,,,,,,,,,,,,
2016-06-13T18:00:00+00:00,1080,W,12.3,84.4,1010,19,15.8,14.9,2.7,6.0,,,,,,,,,,,,,,,
2016-06-13T19:00:00+00:00,1140,WNW,12.5,83.9,1010,20,15.8,15.2,2.5,6.0,326.0,289.0,undefined,10.2,4.8,2.7,3.6,"June 13, 2016 19:00:00",1900,0.5,3.75,3.14,2016061300.0,17.0,4.3
