,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_height2,periodSchedule,surf_max,swell_direction1,swell_period2,swell_period1,swell_direction3,swell_period3,surf_min,dateStamp,modelRun,swell_height1,swell_height3,modelCode
2016-06-13T20:00:00+00:00,1200,WNW,10.7,74.4,1010,20,15.7,15.2,2.5,6.0,,,,,,,,,,,,,,,
2016-06-13T21:00:00+00:00,1260,W,11.5,78.0,1010,20,15.7,15.3,2.6,6.0,,,,,,,,,,,,,,,
2016-06-13T22:00:00+00:00,1320,W,11.7,79.0,1010,16,15.7,15.3,2.8,6.0,,,,,,,,,,,,,,,
2016-06-13T23:00:00+00:00,1380,W,11.1,77.4,1009,15,15.7,15.0,2.6,6.0,,,,,,,,,,,,,,,
2016-06-14T00:00:00+00:00,0,W,11.2,78.9,1008,15,15.6,14.8,2.6,6.0,,,,,,,,,,,,,,,
2016-06-14T01:00:00+00:00,60,W,10.7,76.3,1007,14,15.5,14.8,2.6,6.0,342.0,2.0,0100,3.7,289.0,4.3,10.2,307.0,5.2,3.1,"June 14, 2016 01:00:00",2016061312.0,4.7,1.8,undefined
2016-06-14T02:00:00+00:00,120,W,11.1,77.9,1007,11,15.5,14.9,2.4,6.0,,,,,,,,,,,,,,,
2016-06-14T03:00:00+00:00,180,W,11.8,83.3,1006,12,15.6,14.6,2.5,6.0,,,,,,,,,,,,,,,
2016-06-14T04:00:00+00:00,240,NW,10.5,76.4,1005,12,15.6,14.6,2.3,6.0,,,,,,,,,,,,,,,
2016-06-14T05:00:00+00:00,300,NW,10.4,76.3,1005,13,15.6,14.5,2.2,6.0,,,,,,,,,,,,,,,
2016-06-14T06:00:00+00:00,360,WNW,10.6,76.9,1005,11,15.6,14.6,2.3,6.0,,,,,,,,,,,,,,,
2016-06-14T07:00:00+00:00,420,WNW,10.4,75.4,1004,11,15.6,14.7,2.2,6.0,21.0,0.7,0700,3.88,297.0,3.6,10.2,206.0,14.9,2.88,"June 14, 2016 07:00:00",2016061400.0,5.4,0.1,undefined
2016-06-14T08:00:00+00:00,480,WNW,10.5,75.4,1004,11,15.5,14.8,2.4,6.0,,,,,,,,,,,,,,,
2016-06-14T09:00:00+00:00,540,W,10.3,73.9,1004,10,15.5,14.9,2.1,6.0,,,,,,,,,,,,,,,
2016-06-14T10:00:00+00:00,600,NW,10.1,79.8,1004,10,15.6,13.5,2.2,7.0,,,,,,,,,,,,,,,
2016-06-14T11:00:00+00:00,660,W,10.9,77.4,1003,11,15.5,14.8,2.2,6.0,,,,,,,,,,,,,,,
2016-06-14T12:00:00+00:00,720,W,10.2,75.8,1003,8,15.7,14.4,2.3,6.0,,,,,,,,,,,,,,,
2016-06-14T13:00:00+00:00,780,WSW,10.8,79.4,1003,10,15.6,14.3,2.3,6.0,18.0,0.4,1300,3.9,296.0,3.6,10.2,308.0,2.4,2.9,"June 14, 2016 13:00:00",2016061400.0,5.5,0.4,undefined
2016-06-14T14:00:00+00:00,840,WSW,10.7,77.4,1002,10,15.7,14.6,2.1,6.0,,,,,,,,,,,,,,,
2016-06-14T15:00:00+00:00,900,WSW,10.6,78.4,1002,10,15.9,14.3,2.0,6.0,,,,,,,,,,,,,,,
2016-06-14T16:00:00+00:00,960,W,10.6,78.4,1002,11,15.8,14.3,2.0,6.0,,,,,,,,,,,,,,,
2016-06-14T17:00:00+00:00,1020,W,11.3,79.0,1001,8,15.6,14.9,1.7,6.0,,,,,,,,,,,,,,,
2016-06-14T18:00:00+00:00,1080,W,10.7,75.9,1001,7,15.9,14.9,1.9,6.0,,,,,,,,,,,,,,,
2016-06-14T19:00:00+00:00,1140,WNW,10.9,83.8,1001,13,15.8,13.6,1.8,6.0,285.0,1.7,1900,3.93,295.0,3.9,10.2,207.0,13.5,2.93,"June 14, 2016 19:00:00",2016061400.0,5.4,0.1,undefined
