,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_max,periodSchedule,swell_height1,swell_height3,swell_direction1,modelCode,surf_min,swell_height2,modelRun,swell_direction3,swell_direction2,swell_period1,swell_period2,dateStamp,swell_period3
2016-06-14T20:00:00+00:00,1200,NNW,11.1,83.8,1001,6,15.8,13.8,1.8,6.0,,,,,,,,,,,,,,,
2016-06-14T21:00:00+00:00,1260,N,11.4,82.7,1001,5,15.7,14.3,1.6,6.0,,,,,,,,,,,,,,,
2016-06-14T22:00:00+00:00,1320,N,10.9,80.6,1001,4,15.7,14.2,1.7,7.0,,,,,,,,,,,,,,,
2016-06-14T23:00:00+00:00,1380,NNE,11.4,81.7,1001,8,15.6,14.5,2.0,6.0,,,,,,,,,,,,,,,
2016-06-15T00:00:00+00:00,0,NNE,11.2,80.6,1001,7,15.6,14.5,1.9,6.0,,,,,,,,,,,,,,,
2016-06-15T01:00:00+00:00,60,N,11.0,80.0,1001,9,15.6,14.4,1.9,7.0,4.4,0100,6.0,0.0,296.0,undefined,3.4,0.2,2016061412.0,0.0,208.0,10.2,13.5,"June 15, 2016 01:00:00",0.0
2016-06-15T02:00:00+00:00,120,N,10.7,79.4,1001,11,15.5,14.2,2.1,7.0,,,,,,,,,,,,,,,
2016-06-15T03:00:00+00:00,180,N,10.6,77.9,1001,11,15.5,14.4,2.0,7.0,,,,,,,,,,,,,,,
2016-06-15T04:00:00+00:00,240,N,10.8,82.6,1002,11,15.5,13.7,2.1,7.0,,,,,,,,,,,,,,,
2016-06-15T05:00:00+00:00,300,N,11.2,80.5,1002,14,15.6,14.5,1.9,6.0,,,,,,,,,,,,,,,
2016-06-15T06:00:00+00:00,360,NNW,10.6,77.4,1002,17,15.6,14.5,2.3,6.0,,,,,,,,,,,,,,,
2016-06-15T07:00:00+00:00,420,NNW,10.8,78.4,1003,18,15.5,14.5,2.3,6.0,5.41,0700,5.7,0.2,302.0,undefined,4.41,4.3,2016061500.0,15.0,287.0,6.3,10.2,"June 15, 2016 07:00:00",3.2
2016-06-15T08:00:00+00:00,480,NNW,12.5,87.2,1003,19,15.5,14.6,2.2,6.0,,,,,,,,,,,,,,,
2016-06-15T09:00:00+00:00,540,NNW,11.2,82.7,1003,23,15.5,14.1,2.5,6.0,,,,,,,,,,,,,,,
2016-06-15T10:00:00+00:00,600,NW,11.9,84.9,1003,25,15.5,14.4,2.8,6.0,,,,,,,,,,,,,,,
2016-06-15T11:00:00+00:00,660,NNW,12.3,88.3,1004,22,15.4,14.2,3.1,6.0,,,,,,,,,,,,,,,
2016-06-15T12:00:00+00:00,720,N,12.4,85.5,1004,24,15.6,14.8,3.5,7.0,,,,,,,,,,,,,,,
2016-06-15T13:00:00+00:00,780,NNW,12.7,86.6,1004,21,15.5,14.9,3.9,7.0,6.53,1300,8.9,0.2,299.0,undefined,5.55,0.3,2016061500.0,15.0,15.0,10.2,3.6,"June 15, 2016 13:00:00",2.7
2016-06-15T14:00:00+00:00,840,NNW,12.8,86.1,1005,21,15.6,15.1,3.7,7.0,,,,,,,,,,,,,,,
2016-06-15T15:00:00+00:00,900,NNW,13.0,85.5,1005,21,15.7,15.4,4.1,7.0,,,,,,,,,,,,,,,
2016-06-15T16:00:00+00:00,960,NNW,12.8,86.6,1006,20,15.6,15.0,3.7,7.0,,,,,,,,,,,,,,,
2016-06-15T17:00:00+00:00,1020,NNW,12.1,82.2,1006,22,15.5,15.1,3.7,7.0,,,,,,,,,,,,,,,
2016-06-15T18:00:00+00:00,1080,NNW,12.3,82.8,1007,21,15.5,15.2,3.7,7.0,,,,,,,,,,,,,,,
2016-06-15T19:00:00+00:00,1140,NNW,12.2,82.2,1007,21,15.6,15.2,3.6,7.0,7.13,1900,10.9,0.2,305.0,undefined,6.17,0.6,2016061500.0,15.0,15.0,9.3,4.3,"June 15, 2016 19:00:00",2.4
