,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,surf_min,swell_height2,swell_direction1,surf_max,swell_direction2,modelRun,swell_period2,swell_period3,swell_direction3,modelCode,periodSchedule,swell_height1,dateStamp,swell_period1
2016-06-15T20:00:00+00:00,1200,NNW,12.1,83.3,1007,19,15.5,14.9,3.5,7.0,,,,,,,,,,,,,,,
2016-06-15T21:00:00+00:00,1260,NNW,11.9,82.7,1008,20,15.4,14.8,3.6,7.0,,,,,,,,,,,,,,,
2016-06-15T22:00:00+00:00,1320,NNW,12.5,83.9,1008,20,15.4,15.2,3.2,7.0,,,,,,,,,,,,,,,
2016-06-15T23:00:00+00:00,1380,NNW,12.6,86.6,1008,18,15.4,14.8,3.3,6.0,,,,,,,,,,,,,,,
2016-06-16T00:00:00+00:00,0,NNW,12.1,82.7,1008,20,15.4,15.0,3.3,6.0,,,,,,,,,,,,,,,
2016-06-16T01:00:00+00:00,60,NNW,12.1,82.2,1008,21,15.4,15.1,3.2,6.0,0.2,5.96,1.0,310.0,6.93,17.0,2016061512.0,4.3,12.3,207.0,undefined,0100,13.1,"June 16, 2016 01:00:00",11.2
2016-06-16T02:00:00+00:00,120,NNW,11.3,80.0,1009,21,15.5,14.7,3.5,7.0,,,,,,,,,,,,,,,
2016-06-16T03:00:00+00:00,180,NNW,11.6,81.6,1008,21,15.5,14.7,3.4,7.0,,,,,,,,,,,,,,,
2016-06-16T04:00:00+00:00,240,NNW,10.8,77.9,1008,21,15.5,14.6,3.4,7.0,,,,,,,,,,,,,,,
2016-06-16T05:00:00+00:00,300,NNW,10.8,78.3,1008,23,15.5,14.5,3.2,6.0,,,,,,,,,,,,,,,
2016-06-16T06:00:00+00:00,360,NNW,11.0,78.9,1009,22,15.4,14.6,3.1,6.0,,,,,,,,,,,,,,,
2016-06-16T07:00:00+00:00,420,NNW,11.1,79.9,1010,22,15.4,14.5,3.2,7.0,0.2,5.13,1.6,311.0,6.08,19.0,2016061600.0,5.2,12.3,206.0,undefined,0700,13.5,"June 16, 2016 07:00:00",11.2
2016-06-16T08:00:00+00:00,480,NNW,11.8,84.3,1010,21,15.4,14.4,3.3,6.0,,,,,,,,,,,,,,,
2016-06-16T09:00:00+00:00,540,NNW,11.8,84.3,1011,22,15.4,14.4,3.2,6.0,,,,,,,,,,,,,,,
2016-06-16T10:00:00+00:00,600,NNW,11.7,81.6,1011,22,15.5,14.8,3.2,7.0,,,,,,,,,,,,,,,
2016-06-16T11:00:00+00:00,660,NNW,11.9,83.8,1011,20,15.4,14.6,3.2,6.0,,,,,,,,,,,,,,,
2016-06-16T12:00:00+00:00,720,NNW,11.4,80.0,1012,19,15.4,14.8,3.2,6.0,,,,,,,,,,,,,,,
2016-06-16T13:00:00+00:00,780,NNW,11.0,77.9,1012,20,15.5,14.8,3.1,7.0,0.2,4.45,1.8,311.0,5.45,21.0,2016061600.0,5.7,12.3,206.0,undefined,1300,12.2,"June 16, 2016 13:00:00",11.2
2016-06-16T14:00:00+00:00,840,NNW,10.8,76.3,1013,20,15.6,14.9,3.2,7.0,,,,,,,,,,,,,,,
2016-06-16T15:00:00+00:00,900,NNW,10.2,73.8,1013,20,15.5,14.8,3.2,6.0,,,,,,,,,,,,,,,
2016-06-16T16:00:00+00:00,960,NNW,10.5,76.8,1013,18,15.6,14.5,3.3,7.0,,,,,,,,,,,,,,,
2016-06-16T17:00:00+00:00,1020,NNW,10.9,78.3,1014,19,15.5,14.6,3.2,7.0,,,,,,,,,,,,,,,
2016-06-16T18:00:00+00:00,1080,NNW,10.5,75.8,1014,20,15.5,14.7,3.1,6.0,,,,,,,,,,,,,,,
2016-06-16T19:00:00+00:00,1140,NNW,10.1,72.7,1014,21,15.6,14.9,3.3,7.0,0.3,3.5,1.6,310.0,4.5,19.0,2016061600.0,5.7,12.3,208.0,undefined,1900,10.8,"June 16, 2016 19:00:00",10.2
