,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_period1,swell_direction3,modelCode,dateStamp,swell_height3,surf_max,surf_min,swell_period3,swell_period2,swell_height2,swell_direction1,swell_height1,modelRun,periodSchedule
2016-06-16T20:00:00+00:00,1200,NNW,10.4,75.3,1015,19,15.5,14.7,3.0,6.0,,,,,,,,,,,,,,,
2016-06-16T21:00:00+00:00,1260,NNW,11.0,80.4,1015,17,15.5,14.3,2.9,6.0,,,,,,,,,,,,,,,
2016-06-16T22:00:00+00:00,1320,NNW,11.3,80.9,1016,17,15.4,14.5,3.0,7.0,,,,,,,,,,,,,,,
2016-06-16T23:00:00+00:00,1380,NNW,10.9,78.8,1016,18,15.4,14.5,2.5,6.0,,,,,,,,,,,,,,,
2016-06-17T00:00:00+00:00,0,NNW,11.1,80.4,1016,19,15.4,14.4,2.9,7.0,,,,,,,,,,,,,,,
2016-06-17T01:00:00+00:00,60,NNW,11.0,79.9,1016,18,15.5,14.4,2.6,6.0,19.0,10.2,209.0,undefined,"June 17, 2016 01:00:00",0.3,3.82,2.82,12.3,5.7,1.6,311.0,9.7,2016061612.0,0100
2016-06-17T02:00:00+00:00,120,NNW,10.3,76.2,1016,19,15.5,14.4,2.6,6.0,,,,,,,,,,,,,,,
2016-06-17T03:00:00+00:00,180,NNW,10.0,75.7,1016,19,15.5,14.2,2.6,6.0,,,,,,,,,,,,,,,
2016-06-17T04:00:00+00:00,240,NNW,10.4,78.2,1016,17,15.4,14.1,2.5,6.0,,,,,,,,,,,,,,,
2016-06-17T05:00:00+00:00,300,NNW,10.4,77.7,1016,17,15.4,14.2,2.5,6.0,,,,,,,,,,,,,,,
2016-06-17T06:00:00+00:00,360,NNW,10.6,79.3,1017,16,15.4,14.1,2.3,6.0,,,,,,,,,,,,,,,
2016-06-17T07:00:00+00:00,420,NNW,10.8,79.8,1017,16,15.4,14.2,2.4,6.0,20.0,10.2,207.0,undefined,"June 17, 2016 07:00:00",0.3,2.94,2.01,12.3,5.7,1.5,312.0,8.7,2016061700.0,0700
2016-06-17T08:00:00+00:00,480,NNW,10.6,78.3,1018,17,15.4,14.3,2.3,6.0,,,,,,,,,,,,,,,
2016-06-17T09:00:00+00:00,540,NW,10.7,80.4,1018,17,15.3,14.0,2.3,6.0,,,,,,,,,,,,,,,
2016-06-17T10:00:00+00:00,600,NW,10.8,79.3,1019,16,15.3,14.3,2.2,6.0,,,,,,,,,,,,,,,
2016-06-17T11:00:00+00:00,660,NW,10.9,80.9,1019,15,15.5,14.1,2.0,5.0,,,,,,,,,,,,,,,
2016-06-17T12:00:00+00:00,720,NW,11.7,83.2,1019,13,15.2,14.5,1.9,5.0,,,,,,,,,,,,,,,
2016-06-17T13:00:00+00:00,780,NW,11.5,79.9,1020,15,15.5,14.9,2.0,5.0,19.0,9.3,209.0,undefined,"June 17, 2016 13:00:00",0.3,2.61,1.61,14.9,5.7,1.4,313.0,7.8,2016061700.0,1300
2016-06-17T14:00:00+00:00,840,NW,11.1,76.8,1020,17,15.5,15.1,1.9,5.0,,,,,,,,,,,,,,,
2016-06-17T15:00:00+00:00,900,NW,11.1,76.8,1020,15,15.7,15.1,1.9,5.0,,,,,,,,,,,,,,,
2016-06-17T16:00:00+00:00,960,WNW,11.7,79.5,1021,15,15.4,15.2,2.0,6.0,,,,,,,,,,,,,,,
2016-06-17T17:00:00+00:00,1020,WNW,12.1,83.2,1021,14,15.6,14.9,1.9,5.0,,,,,,,,,,,,,,,
2016-06-17T18:00:00+00:00,1080,NW,12.3,83.2,1021,15,15.4,15.1,1.7,5.0,,,,,,,,,,,,,,,
2016-06-17T19:00:00+00:00,1140,NW,12.0,82.6,1022,13,15.5,14.9,1.8,5.0,19.0,9.3,209.0,undefined,"June 17, 2016 19:00:00",0.4,2.12,1.12,14.9,4.7,1.5,317.0,7.2,2016061700.0,1900
