,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,surf_max,swell_height1,swell_period1,modelCode,swell_height3,swell_direction1,swell_direction3,swell_period3,periodSchedule,swell_period2,swell_height2,dateStamp,swell_direction2,surf_min
2016-06-17T20:00:00+00:00,1200,NW,11.8,80.4,1022,12,15.5,15.1,1.7,5.0,,,,,,,,,,,,,,,
2016-06-17T21:00:00+00:00,60,WNW,11.5,79.9,1024,10,15.5,14.9,1.4,5.0,,,,,,,,,,,,,,,
2016-06-17T22:00:00+00:00,120,WNW,12.1,82.6,1023,9,15.4,15.0,1.3,5.0,,,,,,,,,,,,,,,
2016-06-17T23:00:00+00:00,180,W,12.4,84.8,1023,10,15.4,14.9,1.3,6.0,,,,,,,,,,,,,,,
2016-06-18T00:00:00+00:00,240,W,12.6,85.4,1023,9,15.4,15.0,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T01:00:00+00:00,300,W,12.7,85.4,1024,9,15.4,15.1,1.4,6.0,2016061712.0,1.7,6.0,9.3,undefined,2.3,316.0,23.0,4.7,0100,5.2,3.4,"June 18, 2016 01:00:00",346.0,0.7
2016-06-18T02:00:00+00:00,360,W,12.8,86.0,1024,10,15.4,15.1,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T03:00:00+00:00,420,W,12.8,86.0,1024,10,15.4,15.1,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T04:00:00+00:00,480,W,13.2,87.2,1025,11,15.4,15.3,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T05:00:00+00:00,540,W,13.2,87.2,1025,10,15.5,15.3,1.2,5.0,,,,,,,,,,,,,,,
2016-06-18T06:00:00+00:00,600,W,13.4,88.3,1026,11,15.4,15.3,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T07:00:00+00:00,660,W,13.1,88.3,1026,10,15.4,15.0,1.2,5.0,2016061800.0,1.41,5.7,8.4,undefined,2.7,322.0,25.0,5.2,0700,5.2,3.0,"June 18, 2016 07:00:00",352.0,0.44
2016-06-18T08:00:00+00:00,720,WSW,13.1,85.5,1026,11,15.5,15.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-18T09:00:00+00:00,780,WSW,12.7,84.3,1026,12,15.6,15.3,1.2,5.0,,,,,,,,,,,,,,,
2016-06-18T10:00:00+00:00,840,WSW,13.3,84.9,1026,11,15.7,15.8,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T11:00:00+00:00,900,WSW,13.7,88.9,1026,13,15.6,15.5,1.3,5.0,,,,,,,,,,,,,,,
2016-06-18T12:00:00+00:00,960,WSW,14.4,91.9,1026,13,15.5,15.7,1.4,5.0,,,,,,,,,,,,,,,
2016-06-18T13:00:00+00:00,1020,WSW,14.3,92.5,1026,14,15.7,15.5,1.4,5.0,2016061800.0,1.4,5.4,8.4,undefined,3.1,326.0,26.0,5.2,1300,5.7,3.3,"June 18, 2016 13:00:00",352.0,0.4
2016-06-18T14:00:00+00:00,1080,WSW,14.5,93.1,1027,14,15.5,15.6,1.4,5.0,,,,,,,,,,,,,,,
2016-06-18T15:00:00+00:00,1140,WSW,14.7,95.5,1027,13,15.5,15.4,1.5,5.0,,,,,,,,,,,,,,,
2016-06-18T19:00:00+00:00,,,,,,,,,,,2016061812.0,1.46,5.3,6.9,undefined,3.4,344.0,25.0,6.3,1900,8.4,4.0,"June 18, 2016 19:00:00",325.0,0.48
