,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,modelCode,swell_height2,surf_min,swell_direction2,dateStamp,swell_height3,swell_period3,swell_height1,periodSchedule,surf_max,swell_period1,swell_period2,swell_direction3,modelRun
2016-06-18T20:00:00+00:00,1200,WSW,14.9,96.3,1027,12,15.5,15.5,1.5,5.0,,,,,,,,,,,,,,,
2016-06-18T21:00:00+00:00,1260,SW,15.0,96.2,1027,12,15.6,15.6,1.5,5.0,,,,,,,,,,,,,,,
2016-06-18T22:00:00+00:00,1320,SW,15.1,96.2,1027,13,15.6,15.7,1.5,5.0,,,,,,,,,,,,,,,
2016-06-18T23:00:00+00:00,1380,WSW,15.1,96.2,1027,12,15.6,15.7,1.3,5.0,,,,,,,,,,,,,,,
2016-06-19T00:00:00+00:00,0,WSW,15.0,96.8,1027,13,15.5,15.5,1.4,5.0,,,,,,,,,,,,,,,
2016-06-19T01:00:00+00:00,60,WSW,15.1,97.4,1026,14,15.6,15.5,1.4,5.0,341.0,undefined,4.2,0.55,27.0,"June 19, 2016 01:00:00",1.5,11.2,7.1,0100,1.52,6.9,6.9,289.0,2016061812.0
2016-06-19T02:00:00+00:00,120,SW,15.1,97.4,1026,15,15.6,15.5,1.5,5.0,,,,,,,,,,,,,,,
2016-06-19T03:00:00+00:00,180,SW,14.9,97.4,1025,16,15.5,15.3,1.6,5.0,,,,,,,,,,,,,,,
2016-06-19T04:00:00+00:00,240,SW,14.9,97.4,1025,17,15.5,15.3,1.5,5.0,,,,,,,,,,,,,,,
2016-06-19T05:00:00+00:00,300,SW,15.1,97.4,1025,16,15.5,15.5,1.6,5.0,,,,,,,,,,,,,,,
2016-06-19T06:00:00+00:00,360,SW,15.2,97.4,1024,16,15.5,15.6,1.7,5.0,,,,,,,,,,,,,,,
2016-06-19T07:00:00+00:00,420,SW,15.3,96.2,1024,17,15.5,15.9,1.9,5.0,341.0,undefined,3.9,0.62,29.0,"June 19, 2016 07:00:00",1.6,11.2,6.0,0700,1.61,6.9,6.9,288.0,2016061900.0
2016-06-19T08:00:00+00:00,480,SSW,15.2,94.4,1024,18,15.5,16.1,1.9,5.0,,,,,,,,,,,,,,,
2016-06-19T09:00:00+00:00,540,SW,14.8,92.5,1023,21,15.5,16.0,1.8,5.0,,,,,,,,,,,,,,,
2016-06-19T10:00:00+00:00,600,SSW,14.9,93.1,1023,22,15.5,16.0,2.1,5.0,,,,,,,,,,,,,,,
2016-06-19T11:00:00+00:00,660,SSW,15.0,92.6,1022,23,15.5,16.2,2.3,5.0,,,,,,,,,,,,,,,
2016-06-19T12:00:00+00:00,720,SSW,14.9,92.6,1021,22,15.5,16.1,2.3,5.0,,,,,,,,,,,,,,,
2016-06-19T13:00:00+00:00,780,SW,15.1,93.7,1021,24,15.4,16.1,2.5,5.0,341.0,undefined,3.1,0.6,28.0,"June 19, 2016 13:00:00",1.8,11.2,5.2,1300,1.54,6.9,6.3,288.0,2016061900.0
2016-06-19T14:00:00+00:00,840,SW,15.2,94.4,1021,24,15.4,16.1,2.9,6.0,,,,,,,,,,,,,,,
2016-06-19T15:00:00+00:00,900,SW,15.3,95.6,1020,23,15.4,16.0,2.8,6.0,,,,,,,,,,,,,,,
2016-06-19T16:00:00+00:00,960,SW,15.2,95.6,1020,21,15.5,15.9,3.0,6.0,,,,,,,,,,,,,,,
2016-06-19T17:00:00+00:00,1020,SW,15.2,96.2,1019,21,15.4,15.8,2.9,6.0,,,,,,,,,,,,,,,
2016-06-19T18:00:00+00:00,1080,SW,15.4,96.8,1019,20,15.4,15.9,3.2,6.0,,,,,,,,,,,,,,,
2016-06-19T19:00:00+00:00,1140,SW,15.5,97.5,1018,19,15.4,15.9,2.9,6.0,342.0,undefined,3.0,0.59,24.0,"June 19, 2016 19:00:00",1.8,10.2,5.7,1900,1.54,6.3,6.3,288.0,2016061900.0
