,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,swell_height1,swell_direction3,dateStamp,surf_min,swell_period3,swell_height2,swell_period1,swell_direction2,swell_height3,surf_max,swell_period2,periodSchedule,modelRun,modelCode
2016-06-19T20:00:00+00:00,1200,SW,15.6,97.5,1018,20,15.4,16.0,3.3,7.0,,,,,,,,,,,,,,,
2016-06-19T21:00:00+00:00,1260,SW,15.6,96.8,1018,20,15.3,16.1,3.1,6.0,,,,,,,,,,,,,,,
2016-06-19T22:00:00+00:00,1320,SW,15.5,97.5,1018,19,15.4,15.9,3.4,7.0,,,,,,,,,,,,,,,
2016-06-19T23:00:00+00:00,1380,SW,15.6,97.5,1017,19,15.4,16.0,3.2,7.0,,,,,,,,,,,,,,,
2016-06-20T00:00:00+00:00,0,SW,15.6,97.5,1017,20,15.3,16.0,3.2,7.0,,,,,,,,,,,,,,,
2016-06-20T01:00:00+00:00,60,WSW,15.5,97.5,1016,20,15.3,15.9,3.1,7.0,343.0,5.9,288.0,"June 20, 2016 01:00:00",0.56,10.2,3.7,6.3,25.0,1.9,1.53,6.3,0100,2016061912.0,undefined
2016-06-20T02:00:00+00:00,120,WSW,15.5,97.5,1016,18,15.3,15.9,3.0,6.0,,,,,,,,,,,,,,,
2016-06-20T03:00:00+00:00,180,WSW,15.4,97.4,1015,18,15.4,15.8,3.3,7.0,,,,,,,,,,,,,,,
2016-06-20T04:00:00+00:00,240,WSW,15.4,97.4,1015,17,15.3,15.8,3.1,6.0,,,,,,,,,,,,,,,
2016-06-20T05:00:00+00:00,300,WSW,15.3,97.5,1015,16,15.3,15.7,3.3,7.0,,,,,,,,,,,,,,,
2016-06-20T06:00:00+00:00,360,W,15.2,97.4,1015,14,15.3,15.6,3.1,7.0,,,,,,,,,,,,,,,
2016-06-20T07:00:00+00:00,420,W,14.6,95.0,1016,14,15.2,15.4,3.1,7.0,341.0,5.2,288.0,"June 20, 2016 07:00:00",0.55,10.2,3.4,6.3,25.0,1.9,1.55,6.3,0700,2016062000.0,undefined
2016-06-20T08:00:00+00:00,480,W,15.1,97.4,1016,12,15.3,15.5,3.5,7.0,,,,,,,,,,,,,,,
2016-06-20T09:00:00+00:00,540,WNW,14.8,96.8,1017,9,15.3,15.3,2.9,7.0,,,,,,,,,,,,,,,
2016-06-20T10:00:00+00:00,600,WNW,14.2,96.1,1017,12,15.4,14.8,3.1,8.0,,,,,,,,,,,,,,,
2016-06-20T11:00:00+00:00,660,W,14.6,95.5,1017,8,15.4,15.3,2.7,7.0,,,,,,,,,,,,,,,
2016-06-20T12:00:00+00:00,720,NW,13.8,93.6,1018,9,15.4,14.8,2.7,7.0,,,,,,,,,,,,,,,
2016-06-20T13:00:00+00:00,780,W,13.7,92.4,1018,9,15.6,14.9,2.6,8.0,340.0,4.5,289.0,"June 20, 2016 13:00:00",0.58,10.2,2.8,6.3,25.0,1.9,1.58,6.3,1300,2016062000.0,undefined
2016-06-20T14:00:00+00:00,840,NW,12.9,87.2,1017,9,15.7,15.0,2.6,8.0,,,,,,,,,,,,,,,
2016-06-20T15:00:00+00:00,900,W,12.5,85.4,1017,7,15.6,14.9,2.6,7.0,,,,,,,,,,,,,,,
2016-06-20T16:00:00+00:00,960,W,12.4,84.3,1018,8,15.6,15.0,2.6,7.0,,,,,,,,,,,,,,,
2016-06-20T17:00:00+00:00,1020,W,11.9,82.1,1018,7,15.7,14.9,2.5,7.0,,,,,,,,,,,,,,,
2016-06-20T18:00:00+00:00,1080,W,12.1,82.6,1018,9,15.6,15.0,2.6,7.0,,,,,,,,,,,,,,,
2016-06-20T19:00:00+00:00,1140,WSW,12.1,82.1,1017,9,15.6,15.1,2.5,7.0,341.0,4.7,289.0,"June 20, 2016 19:00:00",0.68,9.3,2.7,6.3,23.0,2.1,1.68,5.7,1900,2016062000.0,undefined
