,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,swell_direction2,swell_direction1,modelRun,periodSchedule,modelCode,surf_max,surf_min,swell_height2,swell_height1,swell_period2,swell_period3,dateStamp,swell_period1,swell_direction3
2016-06-20T20:00:00+00:00,1200,SW,12.0,80.5,1017,10,15.5,15.3,2.5,7.0,,,,,,,,,,,,,,,
2016-06-20T21:00:00+00:00,1260,WSW,12.3,82.2,1018,11,15.5,15.3,2.7,7.0,,,,,,,,,,,,,,,
2016-06-20T22:00:00+00:00,1320,WSW,12.2,81.1,1018,10,15.4,15.4,2.6,7.0,,,,,,,,,,,,,,,
2016-06-20T23:00:00+00:00,1380,SW,12.4,82.7,1017,9,15.5,15.3,2.6,7.0,,,,,,,,,,,,,,,
2016-06-21T00:00:00+00:00,0,SSW,12.7,85.4,1017,11,15.5,15.1,2.3,7.0,,,,,,,,,,,,,,,
2016-06-21T01:00:00+00:00,60,S,13.6,89.5,1016,12,15.5,15.3,2.3,7.0,2.5,24.0,343.0,2016062012.0,0100,undefined,1.98,0.98,3.5,5.0,5.7,9.3,"June 21, 2016 01:00:00",6.3,293.0
2016-06-21T02:00:00+00:00,120,SSW,14.4,93.7,1016,12,15.5,15.4,2.0,6.0,,,,,,,,,,,,,,,
2016-06-21T03:00:00+00:00,180,SSW,14.6,94.4,1015,12,15.5,15.5,2.2,7.0,,,,,,,,,,,,,,,
2016-06-21T04:00:00+00:00,240,SW,14.7,94.4,1015,11,15.4,15.6,2.3,7.0,,,,,,,,,,,,,,,
2016-06-21T05:00:00+00:00,300,WSW,14.6,93.7,1015,11,15.4,15.6,2.3,7.0,,,,,,,,,,,,,,,
2016-06-21T06:00:00+00:00,360,WSW,14.1,91.9,1015,11,15.5,15.4,2.3,7.0,,,,,,,,,,,,,,,
2016-06-21T07:00:00+00:00,420,WSW,13.7,89.0,1015,10,15.5,15.5,2.1,7.0,2.6,26.0,341.0,2016062100.0,0700,undefined,2.52,1.52,2.7,3.6,5.7,9.3,"June 21, 2016 07:00:00",5.7,289.0
2016-06-21T08:00:00+00:00,480,W,13.2,87.2,1015,12,15.5,15.3,2.4,7.0,,,,,,,,,,,,,,,
2016-06-21T09:00:00+00:00,540,WSW,12.7,84.4,1016,8,15.5,15.3,2.4,7.0,,,,,,,,,,,,,,,
2016-06-21T10:00:00+00:00,600,WSW,11.7,78.5,1016,10,15.4,15.4,2.2,7.0,,,,,,,,,,,,,,,
2016-06-21T11:00:00+00:00,660,SW,11.7,79.0,1016,12,15.4,15.3,2.1,7.0,,,,,,,,,,,,,,,
2016-06-21T12:00:00+00:00,720,WSW,12.3,81.1,1016,12,15.5,15.5,2.2,7.0,,,,,,,,,,,,,,,
2016-06-21T13:00:00+00:00,780,WSW,11.8,80.5,1016,14,15.6,15.1,1.9,6.0,1.9,341.0,300.0,2016062100.0,1300,undefined,3.07,2.1,2.8,4.7,5.7,5.2,"June 21, 2016 13:00:00",11.2,24.0
2016-06-21T14:00:00+00:00,840,SW,11.9,78.0,1016,12,15.8,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-06-21T15:00:00+00:00,900,SW,13.0,83.9,1015,13,15.7,15.7,1.8,6.0,,,,,,,,,,,,,,,
2016-06-21T16:00:00+00:00,960,SW,13.2,85.0,1015,13,15.7,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-06-21T17:00:00+00:00,1020,SW,13.4,86.1,1015,13,15.7,15.7,1.9,7.0,,,,,,,,,,,,,,,
2016-06-21T18:00:00+00:00,1080,SW,13.1,84.5,1015,12,15.7,15.7,2.0,6.0,,,,,,,,,,,,,,,
2016-06-21T19:00:00+00:00,1140,SW,12.8,83.2,1015,12,15.7,15.6,2.2,6.0,1.8,340.0,298.0,2016062100.0,1900,undefined,3.39,2.4,2.3,5.2,5.2,6.9,"June 21, 2016 19:00:00",11.2,122.0
