,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,modelCode,swell_direction3,swell_direction1,modelRun,surf_max,swell_height1,periodSchedule,swell_direction2,swell_height2,swell_period2,swell_height3,surf_min,swell_period3,swell_period1
2016-06-21T20:00:00+00:00,1200,SW,13.2,85.5,1015,12,15.7,15.6,2.2,7.0,,,,,,,,,,,,,,,
2016-06-21T21:00:00+00:00,1260,SW,13.1,84.5,1016,14,15.7,15.7,2.3,7.0,,,,,,,,,,,,,,,
2016-06-21T22:00:00+00:00,1320,WSW,12.6,82.2,1016,13,15.6,15.6,2.3,7.0,,,,,,,,,,,,,,,
2016-06-21T23:00:00+00:00,1380,WSW,12.8,82.8,1016,11,15.6,15.7,2.1,7.0,,,,,,,,,,,,,,,
2016-06-22T00:00:00+00:00,0,WSW,12.8,83.9,1016,11,15.7,15.5,2.4,7.0,,,,,,,,,,,,,,,
2016-06-22T01:00:00+00:00,60,WSW,13.0,86.1,1016,12,15.7,15.3,2.3,7.0,"June 22, 2016 01:00:00",undefined,342.0,295.0,2016062112.0,3.52,5.1,0100,122.0,2.5,7.6,2.5,3.31,4.7,11.2
2016-06-22T02:00:00+00:00,120,WSW,12.9,85.0,1016,12,15.6,15.4,2.2,7.0,,,,,,,,,,,,,,,
2016-06-22T03:00:00+00:00,180,WNW,12.5,84.4,1016,11,15.7,15.1,2.2,6.0,,,,,,,,,,,,,,,
2016-06-22T04:00:00+00:00,240,WNW,12.4,84.3,1016,10,15.7,15.0,2.3,7.0,,,,,,,,,,,,,,,
2016-06-22T05:00:00+00:00,300,WNW,11.4,79.4,1016,9,15.7,14.9,2.4,7.0,,,,,,,,,,,,,,,
2016-06-22T06:00:00+00:00,360,WNW,11.0,77.9,1017,9,15.6,14.8,2.3,7.0,,,,,,,,,,,,,,,
2016-06-22T07:00:00+00:00,420,WNW,10.5,75.7,1017,9,15.6,14.7,2.4,7.0,"June 22, 2016 07:00:00",undefined,340.0,293.0,2016062200.0,3.64,4.9,0700,124.0,2.8,7.6,2.5,3.42,4.7,10.2
2016-06-22T08:00:00+00:00,480,WNW,10.5,75.7,1017,9,15.6,14.7,2.2,7.0,,,,,,,,,,,,,,,
2016-06-22T09:00:00+00:00,540,W,9.8,71.3,1018,6,15.6,14.9,2.2,7.0,,,,,,,,,,,,,,,
2016-06-22T10:00:00+00:00,600,W,10.7,74.3,1018,6,15.7,15.2,2.0,7.0,,,,,,,,,,,,,,,
2016-06-22T11:00:00+00:00,660,WNW,10.4,74.2,1018,5,15.9,14.9,2.1,7.0,,,,,,,,,,,,,,,
2016-06-22T12:00:00+00:00,720,W,11.0,74.9,1018,7,15.8,15.4,2.1,7.0,,,,,,,,,,,,,,,
2016-06-22T13:00:00+00:00,780,W,11.0,74.9,1019,6,16.0,15.4,2.0,7.0,"June 22, 2016 13:00:00",undefined,338.0,290.0,2016062200.0,3.53,4.6,1300,126.0,2.8,7.6,2.7,3.32,4.7,10.2
2016-06-22T14:00:00+00:00,840,WNW,10.4,71.4,1019,7,16.2,15.5,2.0,8.0,,,,,,,,,,,,,,,
2016-06-22T15:00:00+00:00,900,W,10.4,70.9,1019,6,16.4,15.6,2.1,7.0,,,,,,,,,,,,,,,
2016-06-22T16:00:00+00:00,960,W,10.4,72.3,1019,6,16.3,15.3,1.9,7.0,,,,,,,,,,,,,,,
2016-06-22T17:00:00+00:00,1020,W,10.2,70.9,1018,8,16.3,15.4,2.2,7.0,,,,,,,,,,,,,,,
2016-06-22T18:00:00+00:00,1080,W,10.5,72.8,1018,7,16.5,15.3,2.2,7.0,,,,,,,,,,,,,,,
2016-06-22T19:00:00+00:00,1140,W,10.2,69.9,1018,9,16.6,15.6,2.2,7.0,"June 22, 2016 19:00:00",undefined,128.0,289.0,2016062200.0,3.25,4.3,1900,337.0,3.2,5.2,2.7,2.26,7.6,10.2
