,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_height3,swell_direction3,swell_direction2,dateStamp,swell_direction1,swell_height1,modelCode,modelRun,periodSchedule,swell_period2,swell_period3,swell_period1,surf_max,surf_min
2016-06-22T20:00:00+00:00,1200,W,10.8,71.9,1018,9,16.6,15.8,2.3,8.0,,,,,,,,,,,,,,,
2016-06-22T21:00:00+00:00,1260,W,11.0,74.3,1019,10,16.3,15.5,2.2,7.0,,,,,,,,,,,,,,,
2016-06-22T22:00:00+00:00,1320,W,10.9,73.8,1019,11,16.5,15.5,2.1,7.0,,,,,,,,,,,,,,,
2016-06-22T23:00:00+00:00,1380,WSW,10.8,73.4,1019,11,16.5,15.5,2.0,7.0,,,,,,,,,,,,,,,
2016-06-23T00:00:00+00:00,0,WSW,11.2,75.4,1019,10,16.5,15.5,2.3,7.0,,,,,,,,,,,,,,,
2016-06-23T01:00:00+00:00,60,WSW,10.6,72.9,1019,11,16.5,15.4,2.1,7.0,3.0,2.5,130.0,335.0,"June 23, 2016 01:00:00",287.0,4.0,undefined,2016062212.0,0100,4.7,7.6,10.2,3.04,2.05
2016-06-23T02:00:00+00:00,120,SW,11.1,75.8,1019,11,16.6,15.3,2.0,7.0,,,,,,,,,,,,,,,
2016-06-23T03:00:00+00:00,180,WSW,10.8,73.8,1018,12,16.5,15.4,2.0,7.0,,,,,,,,,,,,,,,
2016-06-23T04:00:00+00:00,240,WSW,11.0,74.9,1018,13,16.5,15.4,2.1,7.0,,,,,,,,,,,,,,,
2016-06-23T05:00:00+00:00,300,W,11.3,76.8,1018,14,16.4,15.3,2.2,7.0,,,,,,,,,,,,,,,
2016-06-23T06:00:00+00:00,360,W,11.0,74.3,1018,13,16.3,15.5,2.4,6.0,,,,,,,,,,,,,,,
2016-06-23T07:00:00+00:00,420,WSW,11.5,76.9,1019,14,16.3,15.5,2.5,7.0,2.7,2.0,131.0,335.0,"June 23, 2016 07:00:00",286.0,3.8,undefined,2016062300.0,0700,5.2,6.9,10.2,2.67,1.71
2016-06-23T08:00:00+00:00,480,W,12.5,81.6,1019,15,16.2,15.6,2.4,7.0,,,,,,,,,,,,,,,
2016-06-23T09:00:00+00:00,540,WSW,12.9,82.7,1019,15,16.3,15.8,2.3,6.0,,,,,,,,,,,,,,,
2016-06-23T10:00:00+00:00,600,WSW,12.5,79.5,1019,15,16.1,16.0,2.5,7.0,,,,,,,,,,,,,,,
2016-06-23T11:00:00+00:00,660,WSW,13.1,82.3,1019,14,16.3,16.1,2.3,6.0,,,,,,,,,,,,,,,
2016-06-23T12:00:00+00:00,720,WSW,12.8,82.2,1020,15,16.5,15.8,2.3,6.0,,,,,,,,,,,,,,,
2016-06-23T13:00:00+00:00,780,W,12.7,80.6,1020,16,16.5,16.0,2.3,6.0,2.0,1.6,130.0,342.0,"June 23, 2016 13:00:00",290.0,3.8,undefined,2016062300.0,1300,5.2,6.9,9.3,2.5,1.5
2016-06-23T14:00:00+00:00,840,WSW,13.0,82.2,1020,16,16.6,16.0,2.2,6.0,,,,,,,,,,,,,,,
2016-06-23T15:00:00+00:00,900,WSW,13.0,80.1,1020,17,16.6,16.4,2.2,6.0,,,,,,,,,,,,,,,
2016-06-23T16:00:00+00:00,960,W,13.0,82.2,1020,16,16.4,16.0,2.2,5.0,,,,,,,,,,,,,,,
2016-06-23T17:00:00+00:00,1020,WSW,12.8,80.7,1020,16,16.5,16.1,2.1,6.0,,,,,,,,,,,,,,,
2016-06-23T18:00:00+00:00,1080,WSW,13.2,83.3,1020,16,16.5,16.0,2.1,6.0,,,,,,,,,,,,,,,
2016-06-23T19:00:00+00:00,1140,W,13.7,91.9,1020,13,16.5,15.0,2.1,6.0,2.2,1.1,128.0,342.0,"June 23, 2016 19:00:00",292.0,3.6,undefined,2016062300.0,1900,4.3,6.3,9.3,2.22,1.24
