,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,dateStamp,swell_height3,swell_period1,surf_max,swell_height2,swell_direction2,periodSchedule,swell_height1,swell_period2,surf_min,modelRun,swell_period3,swell_direction1,modelCode
2016-06-23T20:00:00+00:00,1200,WNW,13.3,88.9,1020,9,16.5,15.1,2.1,6.0,,,,,,,,,,,,,,,
2016-06-23T21:00:00+00:00,1260,WNW,12.1,81.1,1021,12,16.5,15.3,2.1,6.0,,,,,,,,,,,,,,,
2016-06-23T22:00:00+00:00,1320,W,12.0,80.0,1021,13,16.5,15.4,2.0,6.0,,,,,,,,,,,,,,,
2016-06-23T23:00:00+00:00,1380,WNW,11.4,77.3,1022,13,16.4,15.3,1.8,6.0,,,,,,,,,,,,,,,
2016-06-24T00:00:00+00:00,0,W,10.0,70.3,1022,11,16.4,15.3,1.8,6.0,,,,,,,,,,,,,,,
2016-06-24T01:00:00+00:00,60,WNW,9.9,71.7,1022,9,16.4,14.9,1.9,6.0,21.0,"June 24, 2016 01:00:00",1.3,9.3,2.02,2.2,345.0,0100,3.6,3.9,1.03,2016062312.0,3.9,297.0,undefined
2016-06-24T02:00:00+00:00,120,WNW,10.1,71.3,1022,11,16.5,15.2,1.8,6.0,,,,,,,,,,,,,,,
2016-06-24T03:00:00+00:00,180,NW,10.1,70.8,1022,12,16.5,15.3,1.9,6.0,,,,,,,,,,,,,,,
2016-06-24T04:00:00+00:00,240,WNW,10.3,72.7,1022,14,16.4,15.1,1.7,6.0,,,,,,,,,,,,,,,
2016-06-24T05:00:00+00:00,300,W,11.1,76.3,1022,11,16.4,15.2,1.7,5.0,,,,,,,,,,,,,,,
2016-06-24T06:00:00+00:00,360,WNW,11.1,75.8,1022,13,16.4,15.3,1.8,6.0,,,,,,,,,,,,,,,
2016-06-24T07:00:00+00:00,420,NW,10.6,74.7,1022,15,16.4,15.0,1.6,5.0,279.0,"June 24, 2016 07:00:00",2.2,4.7,1.77,2.7,315.0,0700,3.2,9.3,0.8,2016062400.0,9.3,339.0,undefined
2016-06-24T08:00:00+00:00,480,WNW,10.0,71.2,1022,13,16.4,15.1,1.8,5.0,,,,,,,,,,,,,,,
2016-06-24T09:00:00+00:00,540,NW,11.2,77.2,1023,15,16.4,15.1,1.6,5.0,,,,,,,,,,,,,,,
2016-06-24T10:00:00+00:00,600,NNW,9.4,67.5,1023,13,16.3,15.3,1.7,5.0,,,,,,,,,,,,,,,
2016-06-24T11:00:00+00:00,660,NW,9.7,68.9,1024,11,16.4,15.3,1.6,5.0,,,,,,,,,,,,,,,
2016-06-24T12:00:00+00:00,720,NNW,10.5,72.3,1024,10,16.4,15.4,1.6,6.0,,,,,,,,,,,,,,,
2016-06-24T13:00:00+00:00,780,N,10.7,75.2,1024,11,16.4,15.0,1.5,6.0,24.0,"June 24, 2016 13:00:00",2.4,5.2,1.62,3.4,305.0,1300,4.3,9.3,0.64,2016062400.0,5.2,335.0,undefined
2016-06-24T14:00:00+00:00,840,NNW,10.7,74.7,1024,11,16.3,15.1,1.5,6.0,,,,,,,,,,,,,,,
2016-06-24T15:00:00+00:00,900,NW,10.8,73.8,1024,11,16.6,15.4,1.6,6.0,,,,,,,,,,,,,,,
2016-06-24T16:00:00+00:00,960,NW,10.5,72.7,1024,11,16.4,15.3,1.5,5.0,,,,,,,,,,,,,,,
2016-06-24T17:00:00+00:00,1020,NNW,10.8,74.8,1025,11,16.4,15.2,1.5,6.0,,,,,,,,,,,,,,,
2016-06-24T18:00:00+00:00,1080,NW,10.8,75.2,1025,11,16.5,15.1,1.4,6.0,,,,,,,,,,,,,,,
2016-06-24T19:00:00+00:00,1140,NW,10.7,74.2,1025,11,16.4,15.2,1.6,6.0,23.0,"June 24, 2016 19:00:00",2.8,5.7,1.49,3.3,307.0,1900,5.5,8.4,0.49,2016062400.0,5.7,334.0,undefined
