,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_max,swell_period2,swell_period3,swell_period1,periodSchedule,swell_height3,swell_height2,swell_direction3,modelCode,swell_height1,swell_direction1,swell_direction2,surf_min,dateStamp,modelRun
2016-06-24T20:00:00+00:00,1200,NNW,10.6,74.2,1025,12,16.4,15.1,1.4,5.0,,,,,,,,,,,,,,,
2016-06-24T21:00:00+00:00,1260,NNW,10.6,73.3,1026,11,16.4,15.3,1.6,5.0,,,,,,,,,,,,,,,
2016-06-24T22:00:00+00:00,1320,N,10.4,72.7,1026,11,16.3,15.2,1.5,6.0,,,,,,,,,,,,,,,
2016-06-24T23:00:00+00:00,1380,NW,10.2,71.2,1026,9,16.3,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-06-25T00:00:00+00:00,0,N,10.7,75.1,1026,10,16.3,15.0,1.6,6.0,,,,,,,,,,,,,,,
2016-06-25T01:00:00+00:00,60,NNW,9.7,70.2,1026,9,16.2,15.0,1.6,6.0,1.31,5.7,13.5,6.9,0100,0.7,3.2,207.0,undefined,6.9,329.0,23.0,0.33,"June 25, 2016 01:00:00",2016062412.0
2016-06-25T02:00:00+00:00,120,NNW,9.1,66.9,1026,9,16.2,15.1,1.5,5.0,,,,,,,,,,,,,,,
2016-06-25T03:00:00+00:00,180,NW,9.2,67.4,1026,10,16.2,15.1,1.5,6.0,,,,,,,,,,,,,,,
2016-06-25T04:00:00+00:00,240,NW,9.4,68.8,1026,13,16.1,15.0,1.4,5.0,,,,,,,,,,,,,,,
2016-06-25T05:00:00+00:00,300,NNW,9.7,70.7,1026,12,16.1,14.9,1.5,6.0,,,,,,,,,,,,,,,
2016-06-25T06:00:00+00:00,360,NNW,9.5,69.7,1026,12,16.2,14.9,1.5,5.0,,,,,,,,,,,,,,,
2016-06-25T07:00:00+00:00,420,NNW,9.0,66.5,1026,10,16.1,15.1,1.4,5.0,1.17,6.3,14.9,6.9,0700,0.9,3.6,207.0,undefined,7.4,331.0,23.0,0.19,"June 25, 2016 07:00:00",2016062500.0
2016-06-25T08:00:00+00:00,480,NW,9.0,66.5,1026,9,16.2,15.1,1.5,6.0,,,,,,,,,,,,,,,
2016-06-25T09:00:00+00:00,540,NW,9.6,69.7,1027,11,16.2,15.0,1.5,6.0,,,,,,,,,,,,,,,
2016-06-25T10:00:00+00:00,600,NW,10.4,74.2,1027,11,16.1,14.9,1.5,6.0,,,,,,,,,,,,,,,
2016-06-25T11:00:00+00:00,660,WNW,11.1,75.7,1027,9,16.0,15.3,1.5,5.0,,,,,,,,,,,,,,,
2016-06-25T12:00:00+00:00,720,WNW,11.0,75.3,1027,10,16.1,15.3,1.5,6.0,,,,,,,,,,,,,,,
2016-06-25T13:00:00+00:00,780,WNW,11.0,75.7,1027,8,16.1,15.2,1.4,5.0,1.07,6.9,14.9,7.6,1300,0.9,3.7,207.0,undefined,7.9,332.0,23.0,0.07,"June 25, 2016 13:00:00",2016062500.0
2016-06-25T14:00:00+00:00,840,WNW,11.6,77.3,1027,10,16.1,15.5,1.4,6.0,,,,,,,,,,,,,,,
2016-06-25T15:00:00+00:00,900,WNW,11.8,79.4,1027,10,16.1,15.3,1.3,5.0,,,,,,,,,,,,,,,
2016-06-25T16:00:00+00:00,960,WNW,12.5,81.6,1027,10,15.9,15.6,1.3,5.0,,,,,,,,,,,,,,,
2016-06-25T17:00:00+00:00,1020,WNW,13.2,86.0,1026,11,16.1,15.5,1.3,5.0,,,,,,,,,,,,,,,
2016-06-25T18:00:00+00:00,1080,W,13.7,88.9,1026,10,16.0,15.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-25T19:00:00+00:00,1140,W,13.8,89.5,1026,11,16.1,15.5,1.2,5.0,0.96,6.9,14.9,7.6,1900,0.9,3.8,207.0,undefined,8.5,333.0,22.0,0.0,"June 25, 2016 19:00:00",2016062500.0
