,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period2,swell_height2,swell_direction3,modelCode,swell_period1,swell_height1,periodSchedule,surf_max,swell_direction1,modelRun,swell_period3,dateStamp,swell_height3,swell_direction2,surf_min
2016-06-25T20:00:00+00:00,1200,WNW,13.7,87.8,1026,12,16.1,15.7,1.2,5.0,,,,,,,,,,,,,,,
2016-06-25T21:00:00+00:00,1260,NW,13.3,86.0,1027,11,16.1,15.6,1.3,5.0,,,,,,,,,,,,,,,
2016-06-25T22:00:00+00:00,1320,NW,13.5,87.7,1027,10,16.1,15.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-25T23:00:00+00:00,1380,WNW,13.5,87.7,1027,11,16.1,15.5,1.2,5.0,,,,,,,,,,,,,,,
2016-06-26T00:00:00+00:00,0,WNW,13.4,86.0,1027,11,16.2,15.7,1.2,5.0,,,,,,,,,,,,,,,
2016-06-26T01:00:00+00:00,60,WNW,13.7,88.3,1027,10,16.1,15.6,1.1,5.0,7.6,4.2,207.0,undefined,7.6,9.1,0100,0.88,334.0,2016062512.0,14.9,"June 26, 2016 01:00:00",0.8,22.0,0.0
2016-06-26T02:00:00+00:00,120,WNW,14.2,91.9,1026,11,16.0,15.5,1.1,5.0,,,,,,,,,,,,,,,
2016-06-26T03:00:00+00:00,180,W,14.3,90.6,1026,11,16.1,15.8,1.1,4.0,,,,,,,,,,,,,,,
2016-06-26T04:00:00+00:00,240,W,14.4,91.9,1025,14,16.1,15.7,1.1,5.0,,,,,,,,,,,,,,,
2016-06-26T05:00:00+00:00,300,W,14.0,93.1,1025,13,16.1,15.1,1.2,4.0,,,,,,,,,,,,,,,
2016-06-26T06:00:00+00:00,360,W,14.6,95.5,1025,13,16.0,15.3,1.2,5.0,,,,,,,,,,,,,,,
2016-06-26T07:00:00+00:00,420,W,14.9,96.3,1025,15,16.0,15.5,1.2,4.0,7.6,4.3,207.0,undefined,7.6,9.1,0700,0.71,335.0,2016062600.0,13.5,"June 26, 2016 07:00:00",0.8,22.0,0.0
2016-06-26T08:00:00+00:00,480,W,14.9,96.8,1025,15,16.1,15.4,1.3,4.0,,,,,,,,,,,,,,,
2016-06-26T09:00:00+00:00,540,W,15.0,96.8,1025,15,16.0,15.5,1.3,4.0,,,,,,,,,,,,,,,
2016-06-26T10:00:00+00:00,600,WNW,14.2,96.1,1025,16,16.0,14.8,1.4,4.0,,,,,,,,,,,,,,,
2016-06-26T11:00:00+00:00,660,WNW,13.3,89.4,1026,15,16.0,15.0,1.4,5.0,,,,,,,,,,,,,,,
2016-06-26T12:00:00+00:00,720,WNW,13.3,88.8,1026,16,16.3,15.1,1.5,5.0,,,,,,,,,,,,,,,
2016-06-26T13:00:00+00:00,780,WNW,14.3,91.3,1025,14,16.1,15.7,1.5,5.0,8.4,4.6,207.0,undefined,8.4,9.2,1300,0.62,336.0,2016062600.0,13.5,"June 26, 2016 13:00:00",0.8,22.0,0.0
2016-06-26T14:00:00+00:00,840,WNW,14.4,91.9,1025,13,16.1,15.7,1.6,5.0,,,,,,,,,,,,,,,
2016-06-26T15:00:00+00:00,900,WNW,14.7,91.9,1025,15,16.2,16.0,1.5,5.0,,,,,,,,,,,,,,,
2016-06-26T16:00:00+00:00,960,WNW,14.5,92.5,1025,18,16.1,15.7,1.7,5.0,,,,,,,,,,,,,,,
2016-06-26T17:00:00+00:00,1020,WNW,14.3,91.3,1025,15,16.1,15.7,1.6,5.0,,,,,,,,,,,,,,,
2016-06-26T18:00:00+00:00,1080,WNW,14.7,92.5,1025,15,16.1,15.9,1.7,5.0,,,,,,,,,,,,,,,
2016-06-26T19:00:00+00:00,1140,WNW,14.8,92.5,1025,15,16.1,16.0,1.8,5.0,8.4,4.5,207.0,undefined,8.4,9.1,1900,0.54,339.0,2016062600.0,13.5,"June 26, 2016 19:00:00",0.7,22.0,0.0
