,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_direction1,periodSchedule,swell_height2,swell_period2,swell_period1,swell_direction3,surf_max,dateStamp,swell_period3,modelRun,surf_min,modelCode,swell_height3,swell_height1
2016-06-26T20:00:00+00:00,1200,W,15.1,93.7,1025,14,16.2,16.1,1.6,5.0,,,,,,,,,,,,,,,
2016-06-26T21:00:00+00:00,1260,WNW,15.1,94.3,1025,14,16.1,16.0,1.7,5.0,,,,,,,,,,,,,,,
2016-06-26T22:00:00+00:00,1320,W,15.3,96.2,1025,13,16.1,15.9,1.8,5.0,,,,,,,,,,,,,,,
2016-06-26T23:00:00+00:00,1380,WNW,15.2,96.2,1025,13,16.1,15.8,1.7,5.0,,,,,,,,,,,,,,,
2016-06-27T00:00:00+00:00,0,WNW,14.8,95.6,1025,14,16.1,15.5,1.7,5.0,,,,,,,,,,,,,,,
2016-06-27T01:00:00+00:00,60,NW,14.3,94.3,1025,15,16.1,15.2,1.8,5.0,22.0,341.0,0100,4.5,8.4,8.4,207.0,0.58,"June 27, 2016 01:00:00",13.5,2016062612.0,0.0,undefined,0.7,8.9
2016-06-27T02:00:00+00:00,120,WNW,13.4,87.8,1025,14,16.1,15.4,1.7,5.0,,,,,,,,,,,,,,,
2016-06-27T03:00:00+00:00,180,NW,12.9,87.7,1025,14,16.0,14.9,1.9,5.0,,,,,,,,,,,,,,,
2016-06-27T04:00:00+00:00,240,NNW,13.4,93.7,1025,13,16.0,14.4,1.8,5.0,,,,,,,,,,,,,,,
2016-06-27T05:00:00+00:00,300,NW,13.3,92.4,1025,13,16.1,14.5,1.7,5.0,,,,,,,,,,,,,,,
2016-06-27T06:00:00+00:00,360,NW,12.8,86.5,1025,11,16.1,15.0,1.7,5.0,,,,,,,,,,,,,,,
2016-06-27T07:00:00+00:00,420,NW,11.1,75.3,1025,8,16.1,15.4,1.8,6.0,22.0,341.0,0700,4.0,8.4,8.4,207.0,0.47,"June 27, 2016 07:00:00",13.5,2016062700.0,0.0,undefined,0.6,7.9
2016-06-27T08:00:00+00:00,480,NW,11.5,78.4,1025,11,16.1,15.2,1.8,6.0,,,,,,,,,,,,,,,
2016-06-27T09:00:00+00:00,540,WNW,10.1,70.3,1025,9,16.0,15.4,1.8,6.0,,,,,,,,,,,,,,,
2016-06-27T10:00:00+00:00,600,WNW,10.5,72.3,1025,8,16.1,15.4,1.8,6.0,,,,,,,,,,,,,,,
2016-06-27T11:00:00+00:00,660,NW,10.5,72.7,1025,7,16.1,15.3,1.7,6.0,,,,,,,,,,,,,,,
2016-06-27T12:00:00+00:00,720,WNW,10.2,71.2,1025,7,16.3,15.3,1.7,6.0,,,,,,,,,,,,,,,
2016-06-27T13:00:00+00:00,780,WNW,10.8,73.3,1025,7,16.3,15.5,1.7,6.0,22.0,341.0,1300,3.5,8.4,8.4,207.0,0.43,"June 27, 2016 13:00:00",12.3,2016062700.0,0.0,undefined,0.6,7.0
2016-06-27T14:00:00+00:00,840,NW,10.4,71.3,1025,5,16.4,15.5,1.8,6.0,,,,,,,,,,,,,,,
2016-06-27T15:00:00+00:00,900,W,10.3,70.8,1025,6,16.3,15.5,2.1,6.0,,,,,,,,,,,,,,,
2016-06-27T16:00:00+00:00,960,WSW,11.1,73.3,1024,6,16.6,15.8,1.9,6.0,,,,,,,,,,,,,,,
2016-06-27T17:00:00+00:00,1020,SW,10.9,71.9,1023,7,16.5,15.9,2.1,7.0,,,,,,,,,,,,,,,
2016-06-27T18:00:00+00:00,1080,WSW,11.5,76.3,1023,7,16.8,15.6,2.0,7.0,,,,,,,,,,,,,,,
2016-06-27T19:00:00+00:00,1140,SW,11.7,75.9,1022,9,16.8,15.9,1.9,6.0,21.0,343.0,1900,3.2,7.6,8.4,207.0,0.46,"June 27, 2016 19:00:00",12.3,2016062700.0,0.0,undefined,0.5,6.5
