,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,surf_min,modelRun,swell_height3,swell_period1,swell_direction1,swell_direction3,dateStamp,swell_period3,periodSchedule,swell_period2,swell_direction2,modelCode,swell_height2,surf_max
2016-06-27T20:00:00+00:00,1200,SW,12.0,77.4,1022,10,16.7,15.9,1.8,6.0,,,,,,,,,,,,,,,
2016-06-27T21:00:00+00:00,1260,SSW,12.5,80.1,1021,12,16.6,15.9,1.8,7.0,,,,,,,,,,,,,,,
2016-06-27T22:00:00+00:00,1320,SSW,13.2,83.3,1021,13,16.6,16.0,1.9,7.0,,,,,,,,,,,,,,,
2016-06-27T23:00:00+00:00,1380,SSW,14.3,91.9,1020,14,16.5,15.6,1.6,6.0,,,,,,,,,,,,,,,
2016-06-28T00:00:00+00:00,0,SSW,15.1,95.5,1019,15,16.5,15.8,1.8,6.0,,,,,,,,,,,,,,,
2016-06-28T01:00:00+00:00,60,WSW,15.5,95.0,1018,17,16.3,16.3,1.7,5.0,7.5,0.0,2016062712.0,0.5,7.6,343.0,207.0,"June 28, 2016 01:00:00",12.3,0100,7.6,23.0,undefined,4.0,0.62
2016-06-28T02:00:00+00:00,120,WSW,15.3,95.0,1017,19,16.4,16.1,2.0,6.0,,,,,,,,,,,,,,,
2016-06-28T03:00:00+00:00,180,SW,15.6,96.2,1016,20,16.2,16.2,2.2,6.0,,,,,,,,,,,,,,,
2016-06-28T04:00:00+00:00,240,WSW,15.3,95.0,1016,20,16.2,16.1,2.3,6.0,,,,,,,,,,,,,,,
2016-06-28T05:00:00+00:00,300,W,15.5,96.2,1015,20,16.1,16.1,2.3,6.0,,,,,,,,,,,,,,,
2016-06-28T06:00:00+00:00,360,WNW,15.2,94.4,1016,20,16.1,16.1,2.6,5.0,,,,,,,,,,,,,,,
2016-06-28T07:00:00+00:00,420,WNW,13.7,89.0,1017,23,16.0,15.5,2.6,6.0,8.2,0.0,2016062800.0,0.4,7.6,340.0,207.0,"June 28, 2016 07:00:00",12.3,0700,7.6,24.0,undefined,4.6,0.81
2016-06-28T08:00:00+00:00,480,NW,11.1,76.3,1017,23,16.1,15.2,2.8,6.0,,,,,,,,,,,,,,,
2016-06-28T09:00:00+00:00,540,WNW,10.9,74.8,1018,22,16.1,15.3,2.7,6.0,,,,,,,,,,,,,,,
2016-06-28T10:00:00+00:00,600,NW,11.0,75.3,1018,20,16.1,15.3,2.6,6.0,,,,,,,,,,,,,,,
2016-06-28T11:00:00+00:00,660,WNW,11.5,78.4,1018,19,16.1,15.2,2.6,6.0,,,,,,,,,,,,,,,
2016-06-28T12:00:00+00:00,720,WNW,11.7,79.5,1018,16,16.1,15.2,2.6,6.0,,,,,,,,,,,,,,,
2016-06-28T13:00:00+00:00,780,W,11.8,76.9,1018,14,16.1,15.8,2.8,6.0,9.2,0.01,2016062800.0,0.6,8.4,340.0,120.0,"June 28, 2016 13:00:00",6.9,1300,7.6,24.0,undefined,5.3,1.01
2016-06-28T14:00:00+00:00,840,W,12.2,77.5,1018,15,16.0,16.1,2.6,7.0,,,,,,,,,,,,,,,
2016-06-28T15:00:00+00:00,900,W,11.7,75.9,1018,14,15.9,15.9,2.9,7.0,,,,,,,,,,,,,,,
2016-06-28T16:00:00+00:00,960,W,11.8,76.9,1018,12,15.9,15.8,2.8,7.0,,,,,,,,,,,,,,,
2016-06-28T17:00:00+00:00,1020,W,12.6,80.6,1018,18,16.1,15.9,2.8,7.0,,,,,,,,,,,,,,,
2016-06-28T18:00:00+00:00,1080,W,12.6,82.7,1017,19,16.0,15.5,2.8,7.0,,,,,,,,,,,,,,,
2016-06-28T19:00:00+00:00,1140,WSW,13.6,85.6,1017,18,16.0,16.0,2.7,6.0,10.7,0.23,2016062800.0,0.4,8.4,339.0,117.0,"June 28, 2016 19:00:00",7.6,1900,7.6,23.0,undefined,5.9,1.21
