,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,surf_min,swell_height1,swell_direction3,swell_period2,periodSchedule,swell_direction1,dateStamp,swell_direction2,swell_height3,modelRun,swell_period1,swell_height2,modelCode,surf_max
2016-06-28T20:00:00+00:00,1200,WSW,13.8,86.6,1017,16,16.1,16.0,2.9,7.0,,,,,,,,,,,,,,,
2016-06-28T21:00:00+00:00,1260,WSW,13.9,87.8,1016,17,16.1,15.9,3.2,7.0,,,,,,,,,,,,,,,
2016-06-28T22:00:00+00:00,1320,WSW,13.8,87.8,1015,19,16.1,15.8,3.1,7.0,,,,,,,,,,,,,,,
2016-06-28T23:00:00+00:00,1380,WSW,13.4,86.1,1014,21,16.1,15.7,3.0,6.0,,,,,,,,,,,,,,,
2016-06-29T00:00:00+00:00,0,WSW,14.0,87.8,1014,22,16.0,16.0,3.1,6.0,,,,,,,,,,,,,,,
2016-06-29T01:00:00+00:00,60,WSW,14.1,87.9,1013,21,16.0,16.1,3.2,6.0,6.9,0.36,9.9,114.0,7.6,0100,338.0,"June 29, 2016 01:00:00",23.0,0.4,2016062812.0,8.4,5.9,undefined,1.32
2016-06-29T02:00:00+00:00,120,WSW,13.8,86.2,1013,22,15.9,16.1,2.9,6.0,,,,,,,,,,,,,,,
2016-06-29T03:00:00+00:00,180,WSW,12.6,85.5,1012,21,15.9,15.0,3.2,6.0,,,,,,,,,,,,,,,
2016-06-29T04:00:00+00:00,240,WSW,12.4,85.5,1011,24,15.9,14.8,3.2,6.0,,,,,,,,,,,,,,,
2016-06-29T05:00:00+00:00,300,WSW,13.0,87.7,1011,21,15.9,15.0,3.1,7.0,,,,,,,,,,,,,,,
2016-06-29T06:00:00+00:00,360,WSW,13.8,90.7,1010,20,15.9,15.3,3.5,7.0,,,,,,,,,,,,,,,
2016-06-29T07:00:00+00:00,420,WSW,13.9,91.9,1010,19,15.8,15.2,3.2,6.0,18.0,0.44,8.1,207.0,7.6,0700,335.0,"June 29, 2016 07:00:00",24.0,0.3,2016062900.0,7.6,4.7,undefined,1.43
2016-06-29T08:00:00+00:00,480,WSW,14.7,93.7,1010,19,15.8,15.7,3.1,7.0,,,,,,,,,,,,,,,
2016-06-29T09:00:00+00:00,540,WSW,14.9,93.7,1010,16,15.8,15.9,3.0,7.0,,,,,,,,,,,,,,,
2016-06-29T10:00:00+00:00,600,WSW,14.8,93.7,1009,17,15.8,15.8,3.0,7.0,,,,,,,,,,,,,,,
2016-06-29T11:00:00+00:00,660,W,14.6,91.9,1009,16,15.8,15.9,3.0,7.0,,,,,,,,,,,,,,,
2016-06-29T12:00:00+00:00,720,W,14.8,93.2,1010,17,15.8,15.9,3.2,7.0,,,,,,,,,,,,,,,
2016-06-29T13:00:00+00:00,780,W,14.8,93.2,1010,18,15.7,15.9,3.1,6.0,12.3,0.48,7.4,337.0,6.9,1300,332.0,"June 29, 2016 13:00:00",23.0,1.1,2016062900.0,7.6,3.9,undefined,1.44
2016-06-29T14:00:00+00:00,840,W,14.9,93.7,1010,17,16.0,15.9,3.0,7.0,,,,,,,,,,,,,,,
2016-06-29T15:00:00+00:00,900,WNW,14.5,94.3,1010,16,16.1,15.4,3.1,6.0,,,,,,,,,,,,,,,
2016-06-29T16:00:00+00:00,960,W,14.9,93.7,1010,18,15.8,15.9,3.4,7.0,,,,,,,,,,,,,,,
2016-06-29T17:00:00+00:00,1020,W,14.6,91.4,1010,17,16.1,16.0,3.2,7.0,,,,,,,,,,,,,,,
2016-06-29T18:00:00+00:00,1080,W,14.6,90.8,1010,18,15.9,16.1,3.1,7.0,,,,,,,,,,,,,,,
2016-06-29T19:00:00+00:00,1140,WNW,14.7,93.7,1011,17,16.0,15.7,2.9,7.0,12.3,0.56,7.1,336.0,6.9,1900,332.0,"June 29, 2016 19:00:00",23.0,1.5,2016062900.0,6.9,3.6,undefined,1.52
