,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_period2,swell_period1,swell_direction2,swell_direction3,modelRun,surf_min,swell_height1,modelCode,periodSchedule,swell_direction1,swell_period3,swell_height2,surf_max,swell_height3
2016-06-29T20:00:00+00:00,1200,W,14.6,91.4,1011,12,15.9,16.0,2.9,7.0,,,,,,,,,,,,,,,
2016-06-29T21:00:00+00:00,1260,W,14.6,91.9,1011,12,15.8,15.9,2.7,7.0,,,,,,,,,,,,,,,
2016-06-29T22:00:00+00:00,1320,W,14.6,93.2,1012,12,15.9,15.7,2.6,6.0,,,,,,,,,,,,,,,
2016-06-29T23:00:00+00:00,1380,W,14.6,93.2,1012,13,15.8,15.7,2.8,7.0,,,,,,,,,,,,,,,
2016-06-30T00:00:00+00:00,0,W,14.5,94.3,1012,13,15.8,15.4,2.7,7.0,,,,,,,,,,,,,,,
2016-06-30T01:00:00+00:00,60,W,14.7,93.7,1011,12,15.9,15.7,2.5,7.0,"June 30, 2016 01:00:00",6.3,6.9,23.0,336.0,2016062912.0,0.61,6.5,undefined,0100,330.0,12.3,3.2,1.6,1.6
2016-06-30T02:00:00+00:00,120,W,14.5,93.8,1011,12,15.9,15.5,2.7,7.0,,,,,,,,,,,,,,,
2016-06-30T03:00:00+00:00,180,W,14.5,91.9,1011,13,15.9,15.8,2.6,7.0,,,,,,,,,,,,,,,
2016-06-30T04:00:00+00:00,240,W,14.5,93.8,1011,13,15.8,15.5,2.5,7.0,,,,,,,,,,,,,,,
2016-06-30T05:00:00+00:00,300,W,14.4,94.3,1011,15,15.8,15.3,2.5,6.0,,,,,,,,,,,,,,,
2016-06-30T06:00:00+00:00,360,W,14.0,91.9,1012,15,15.8,15.3,2.6,6.0,,,,,,,,,,,,,,,
2016-06-30T07:00:00+00:00,420,W,13.8,90.2,1012,14,15.7,15.4,2.5,6.0,"June 30, 2016 07:00:00",9.3,6.9,294.0,23.0,2016063000.0,0.58,4.8,undefined,0700,335.0,6.3,2.7,1.54,2.3
2016-06-30T08:00:00+00:00,480,W,14.0,93.1,1012,13,15.8,15.1,2.7,6.0,,,,,,,,,,,,,,,
2016-06-30T09:00:00+00:00,540,W,13.5,89.5,1012,17,15.8,15.2,2.4,6.0,,,,,,,,,,,,,,,
2016-06-30T10:00:00+00:00,600,W,13.7,87.2,1012,14,15.8,15.8,2.5,6.0,,,,,,,,,,,,,,,
2016-06-30T11:00:00+00:00,660,W,13.8,87.3,1013,16,15.8,15.9,2.4,6.0,,,,,,,,,,,,,,,
2016-06-30T12:00:00+00:00,720,W,13.8,88.9,1013,17,15.8,15.6,2.4,6.0,,,,,,,,,,,,,,,
2016-06-30T13:00:00+00:00,780,W,14.3,91.9,1013,14,16.0,15.6,2.3,6.0,"June 30, 2016 13:00:00",5.7,9.3,342.0,335.0,2016063000.0,0.53,3.6,undefined,1300,305.0,12.3,3.5,1.52,1.9
2016-06-30T14:00:00+00:00,840,W,14.6,91.9,1013,17,15.8,15.9,2.4,6.0,,,,,,,,,,,,,,,
2016-06-30T15:00:00+00:00,900,W,15.1,93.8,1013,15,16.0,16.1,2.4,6.0,,,,,,,,,,,,,,,
2016-06-30T16:00:00+00:00,960,W,14.3,89.6,1013,18,15.9,16.0,2.5,6.0,,,,,,,,,,,,,,,
2016-06-30T17:00:00+00:00,1020,W,14.2,91.3,1013,17,15.9,15.6,2.6,6.0,,,,,,,,,,,,,,,
2016-06-30T18:00:00+00:00,1080,W,14.4,93.8,1013,17,15.9,15.4,2.5,6.0,,,,,,,,,,,,,,,
2016-06-30T19:00:00+00:00,1140,W,14.4,92.5,1013,14,15.9,15.6,2.8,6.0,"June 30, 2016 19:00:00",5.2,9.3,341.0,335.0,2016063000.0,0.48,3.5,undefined,1900,306.0,11.2,3.0,1.44,2.2
