,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_period3,swell_direction3,surf_min,dateStamp,swell_period2,modelRun,swell_height1,swell_direction2,periodSchedule,surf_max,swell_height3,swell_direction1,swell_period1,modelCode
2016-06-30T20:00:00+00:00,1200,WNW,13.4,88.3,1014,16,15.9,15.3,2.8,6.0,,,,,,,,,,,,,,,
2016-06-30T21:00:00+00:00,1260,WNW,12.9,83.3,1014,16,15.9,15.7,2.6,6.0,,,,,,,,,,,,,,,
2016-06-30T22:00:00+00:00,1320,WNW,12.3,83.2,1015,14,15.8,15.1,2.9,7.0,,,,,,,,,,,,,,,
2016-06-30T23:00:00+00:00,1380,WNW,10.9,75.8,1015,16,15.7,15.1,2.7,6.0,,,,,,,,,,,,,,,
2016-07-01T00:00:00+00:00,0,W,9.8,70.4,1015,15,15.7,15.1,2.6,6.0,,,,,,,,,,,,,,,
2016-07-01T01:00:00+00:00,60,WNW,10.9,79.3,1015,20,15.7,14.4,3.0,6.0,1.9,9.3,291.0,0.48,"July 01, 2016 01:00:00",4.3,2016063012.0,4.4,348.0,0100,1.44,1.7,324.0,11.2,undefined
2016-07-01T02:00:00+00:00,120,WNW,10.5,76.2,1015,16,15.7,14.6,3.0,7.0,,,,,,,,,,,,,,,
2016-07-01T03:00:00+00:00,180,WNW,10.4,75.8,1015,17,15.7,14.6,2.9,7.0,,,,,,,,,,,,,,,
2016-07-01T04:00:00+00:00,240,WNW,9.6,70.8,1015,17,15.7,14.8,2.9,7.0,,,,,,,,,,,,,,,
2016-07-01T05:00:00+00:00,300,WNW,9.4,67.6,1015,17,15.7,15.3,3.3,7.0,,,,,,,,,,,,,,,
2016-07-01T06:00:00+00:00,360,WNW,9.9,70.4,1015,16,15.7,15.2,3.1,7.0,,,,,,,,,,,,,,,
2016-07-01T07:00:00+00:00,420,WNW,9.1,67.1,1015,18,15.7,15.1,3.1,7.0,1.7,9.3,284.0,0.57,"July 01, 2016 07:00:00",3.9,2016070100.0,4.9,343.0,0700,1.57,1.5,325.0,11.2,undefined
2016-07-01T08:00:00+00:00,480,WNW,9.6,71.7,1016,20,15.7,14.6,3.0,7.0,,,,,,,,,,,,,,,
2016-07-01T09:00:00+00:00,540,WNW,8.9,67.1,1016,19,15.7,14.9,3.2,6.0,,,,,,,,,,,,,,,
2016-07-01T10:00:00+00:00,600,WNW,7.5,61.3,1016,21,15.6,14.8,3.2,7.0,,,,,,,,,,,,,,,
2016-07-01T11:00:00+00:00,660,W,8.9,68.8,1016,19,15.6,14.5,3.3,7.0,,,,,,,,,,,,,,,
2016-07-01T12:00:00+00:00,720,W,8.2,65.6,1016,20,15.7,14.5,3.3,7.0,,,,,,,,,,,,,,,
2016-07-01T13:00:00+00:00,780,WNW,9.7,71.7,1017,17,15.5,14.7,3.2,7.0,2.2,3.9,21.0,0.6,"July 01, 2016 13:00:00",4.3,2016070100.0,5.5,343.0,1300,1.54,1.2,320.0,10.2,undefined
2016-07-01T14:00:00+00:00,840,W,9.7,73.2,1017,19,15.6,14.4,3.4,7.0,,,,,,,,,,,,,,,
2016-07-01T15:00:00+00:00,900,W,9.7,70.3,1017,17,15.5,15.0,3.5,7.0,,,,,,,,,,,,,,,
2016-07-01T16:00:00+00:00,960,W,9.3,68.9,1017,19,15.5,14.9,3.4,7.0,,,,,,,,,,,,,,,
2016-07-01T17:00:00+00:00,1020,WNW,9.1,68.9,1017,19,15.7,14.7,3.3,7.0,,,,,,,,,,,,,,,
2016-07-01T18:00:00+00:00,1080,WNW,8.4,64.8,1018,18,15.7,14.9,3.1,7.0,,,,,,,,,,,,,,,
2016-07-01T19:00:00+00:00,1140,WNW,8.8,66.6,1018,19,15.6,14.9,3.2,7.0,3.6,4.3,22.0,0.62,"July 01, 2016 19:00:00",4.7,2016070100.0,5.5,337.0,1900,1.55,1.7,318.0,10.2,undefined
