,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_period2,surf_max,periodSchedule,swell_direction3,modelCode,swell_direction2,surf_min,swell_period3,dateStamp,swell_direction1,swell_period1,swell_height3,modelRun,swell_height1
2016-07-01T20:00:00+00:00,1200,WNW,8.3,64.7,1018,19,15.7,14.8,3.5,7.0,,,,,,,,,,,,,,,
2016-07-01T21:00:00+00:00,1260,W,8.7,66.1,1019,18,15.8,14.9,3.0,6.0,,,,,,,,,,,,,,,
2016-07-01T22:00:00+00:00,1320,WNW,9.4,68.9,1019,18,15.8,15.0,3.4,7.0,,,,,,,,,,,,,,,
2016-07-01T23:00:00+00:00,1380,WNW,8.1,63.8,1020,16,15.8,14.8,3.5,7.0,,,,,,,,,,,,,,,
2016-07-02T00:00:00+00:00,0,WNW,10.0,75.6,1020,20,15.7,14.2,3.4,7.0,,,,,,,,,,,,,,,
2016-07-02T01:00:00+00:00,60,WNW,9.3,69.3,1019,18,15.5,14.8,3.3,7.0,4.7,5.7,1.53,0100,24.0,undefined,333.0,0.59,5.2,"July 02, 2016 01:00:00",316.0,10.2,2.3,2016070112.0,5.1
2016-07-02T02:00:00+00:00,120,WNW,10.4,77.7,1020,16,15.4,14.2,3.9,7.0,,,,,,,,,,,,,,,
2016-07-02T03:00:00+00:00,180,WNW,9.1,68.8,1020,18,15.4,14.7,3.5,7.0,,,,,,,,,,,,,,,
2016-07-02T04:00:00+00:00,240,WNW,9.2,72.5,1020,21,15.4,14.0,3.7,8.0,,,,,,,,,,,,,,,
2016-07-02T05:00:00+00:00,300,WNW,9.2,71.2,1020,18,15.4,14.3,3.8,8.0,,,,,,,,,,,,,,,
2016-07-02T06:00:00+00:00,360,W,9.8,72.7,1020,14,15.4,14.6,4.1,8.0,,,,,,,,,,,,,,,
2016-07-02T07:00:00+00:00,420,W,9.5,71.2,1020,16,15.5,14.6,3.6,8.0,4.5,5.7,1.42,0700,24.0,undefined,337.0,0.47,5.2,"July 02, 2016 07:00:00",313.0,9.3,2.8,2016070200.0,4.8
2016-07-02T08:00:00+00:00,480,W,9.4,69.3,1021,16,15.4,14.9,3.7,8.0,,,,,,,,,,,,,,,
2016-07-02T09:00:00+00:00,540,W,9.8,71.7,1021,14,15.3,14.8,3.8,8.0,,,,,,,,,,,,,,,
2016-07-02T10:00:00+00:00,600,W,10.2,73.2,1021,13,15.3,14.9,3.7,8.0,,,,,,,,,,,,,,,
2016-07-02T11:00:00+00:00,660,W,10.7,81.4,1021,11,15.3,13.8,3.7,8.0,,,,,,,,,,,,,,,
2016-07-02T12:00:00+00:00,720,WSW,11.6,81.5,1020,12,15.4,14.7,3.3,7.0,,,,,,,,,,,,,,,
2016-07-02T13:00:00+00:00,780,SW,10.8,79.3,1020,19,15.6,14.3,3.2,8.0,4.7,6.3,1.33,1300,25.0,undefined,337.0,0.38,5.7,"July 02, 2016 13:00:00",310.0,9.3,3.7,2016070200.0,5.2
2016-07-02T14:00:00+00:00,840,SSW,12.7,92.4,1019,18,15.6,13.9,3.1,7.0,,,,,,,,,,,,,,,
2016-07-02T15:00:00+00:00,900,SW,14.5,96.2,1018,20,15.7,15.1,3.0,7.0,,,,,,,,,,,,,,,
2016-07-02T16:00:00+00:00,960,W,14.9,96.3,1018,18,15.7,15.5,3.1,7.0,,,,,,,,,,,,,,,
2016-07-02T17:00:00+00:00,1020,W,15.0,95.6,1018,20,15.5,15.7,3.3,7.0,,,,,,,,,,,,,,,
2016-07-02T18:00:00+00:00,1080,W,15.0,94.9,1018,19,15.4,15.8,3.4,7.0,,,,,,,,,,,,,,,
2016-07-02T19:00:00+00:00,1140,W,14.9,94.4,1018,18,15.4,15.8,3.1,7.0,5.0,9.3,1.23,1900,327.0,undefined,310.0,0.29,7.6,"July 02, 2016 19:00:00",351.0,6.9,4.4,2016070200.0,5.1
