,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,swell_period3,swell_height2,modelCode,swell_period2,surf_min,modelRun,swell_period1,dateStamp,swell_direction3,periodSchedule,swell_direction1,swell_height3,swell_direction2,surf_max
2016-07-02T20:00:00+00:00,1200,W,15.0,94.9,1018,19,15.3,15.8,3.4,7.0,,,,,,,,,,,,,,,
2016-07-02T21:00:00+00:00,1260,W,15.1,95.5,1018,19,15.3,15.8,3.2,7.0,,,,,,,,,,,,,,,
2016-07-02T22:00:00+00:00,1320,W,15.0,96.2,1019,17,15.3,15.6,3.2,6.0,,,,,,,,,,,,,,,
2016-07-02T23:00:00+00:00,1380,W,15.1,96.2,1019,18,15.3,15.7,3.2,7.0,,,,,,,,,,,,,,,
2016-07-03T00:00:00+00:00,0,W,15.1,96.2,1019,18,15.3,15.7,2.9,7.0,,,,,,,,,,,,,,,
2016-07-03T01:00:00+00:00,60,W,15.1,95.5,1019,17,15.4,15.8,2.9,6.0,5.1,6.3,4.8,undefined,9.3,0.18,2016070212.0,6.9,"July 03, 2016 01:00:00",26.0,0100,351.0,4.4,310.0,1.13
2016-07-03T02:00:00+00:00,120,W,15.0,95.6,1019,17,15.4,15.7,2.8,6.0,,,,,,,,,,,,,,,
2016-07-03T03:00:00+00:00,180,W,15.0,96.2,1019,18,15.5,15.6,2.8,6.0,,,,,,,,,,,,,,,
2016-07-03T04:00:00+00:00,240,W,15.1,96.8,1019,17,15.5,15.6,2.8,6.0,,,,,,,,,,,,,,,
2016-07-03T05:00:00+00:00,300,W,15.2,96.8,1019,17,15.4,15.7,3.0,6.0,,,,,,,,,,,,,,,
2016-07-03T06:00:00+00:00,360,W,15.1,96.8,1019,16,15.4,15.6,2.7,6.0,,,,,,,,,,,,,,,
2016-07-03T07:00:00+00:00,420,W,15.2,96.2,1020,15,15.3,15.8,3.0,7.0,5.8,6.3,4.4,undefined,6.9,0.1,2016070300.0,8.4,"July 03, 2016 07:00:00",26.0,0700,317.0,3.7,351.0,1.07
2016-07-03T08:00:00+00:00,480,W,15.1,95.0,1020,14,15.2,15.9,2.7,7.0,,,,,,,,,,,,,,,
2016-07-03T09:00:00+00:00,540,W,15.0,94.9,1021,14,15.3,15.8,3.0,7.0,,,,,,,,,,,,,,,
2016-07-03T10:00:00+00:00,600,W,14.9,95.0,1021,14,15.3,15.7,3.0,7.0,,,,,,,,,,,,,,,
2016-07-03T11:00:00+00:00,660,W,14.8,94.3,1021,13,15.3,15.7,2.7,6.0,,,,,,,,,,,,,,,
2016-07-03T12:00:00+00:00,720,W,15.1,93.7,1021,13,15.3,16.1,2.8,7.0,,,,,,,,,,,,,,,
2016-07-03T13:00:00+00:00,780,W,15.0,94.4,1021,13,15.1,15.9,2.6,6.0,7.4,6.9,3.3,undefined,12.3,0.0,2016070300.0,8.4,"July 03, 2016 13:00:00",25.0,1300,329.0,3.2,336.0,1.0
2016-07-03T14:00:00+00:00,840,W,14.9,94.3,1021,14,15.3,15.8,2.6,6.0,,,,,,,,,,,,,,,
2016-07-03T15:00:00+00:00,900,WSW,14.8,94.3,1021,14,15.4,15.7,2.8,7.0,,,,,,,,,,,,,,,
2016-07-03T16:00:00+00:00,960,WSW,15.2,94.4,1021,14,15.3,16.1,2.6,6.0,,,,,,,,,,,,,,,
2016-07-03T17:00:00+00:00,1020,WSW,15.1,94.3,1021,14,15.5,16.0,2.3,6.0,,,,,,,,,,,,,,,
2016-07-03T18:00:00+00:00,1080,W,15.2,94.9,1021,14,15.4,16.0,2.4,7.0,,,,,,,,,,,,,,,
2016-07-03T19:00:00+00:00,1140,W,15.2,95.6,1021,13,15.3,15.9,2.6,7.0,7.7,6.9,3.9,undefined,12.3,0.0,2016070300.0,8.4,"July 03, 2016 19:00:00",23.0,1900,330.0,2.9,336.0,0.89
