,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_direction1,swell_height1,swell_period2,swell_direction3,swell_period1,swell_direction2,swell_height3,modelRun,dateStamp,swell_period3,modelCode,periodSchedule,swell_height2,surf_max
2016-07-03T20:00:00+00:00,1200,W,15.3,96.2,1021,12,15.3,15.9,2.3,7.0,,,,,,,,,,,,,,,
2016-07-03T21:00:00+00:00,1260,W,15.3,96.2,1021,13,15.3,15.9,2.5,7.0,,,,,,,,,,,,,,,
2016-07-03T22:00:00+00:00,1320,W,15.2,96.8,1022,11,15.1,15.7,2.5,7.0,,,,,,,,,,,,,,,
2016-07-03T23:00:00+00:00,1380,W,15.3,97.5,1022,10,15.1,15.7,2.4,7.0,,,,,,,,,,,,,,,
2016-07-04T00:00:00+00:00,0,W,15.3,97.5,1022,10,15.1,15.7,2.5,7.0,,,,,,,,,,,,,,,
2016-07-04T01:00:00+00:00,60,W,15.3,97.5,1021,10,15.2,15.7,2.6,7.0,0.0,331.0,7.8,11.2,23.0,8.4,334.0,2.9,2016070312.0,"July 04, 2016 01:00:00",6.9,undefined,0100,4.3,0.85
2016-07-04T02:00:00+00:00,120,W,15.2,97.4,1021,11,15.2,15.6,2.4,7.0,,,,,,,,,,,,,,,
2016-07-04T03:00:00+00:00,180,W,15.0,97.4,1020,12,15.2,15.4,2.2,6.0,,,,,,,,,,,,,,,
2016-07-04T04:00:00+00:00,240,WSW,15.1,97.4,1020,12,15.2,15.5,2.3,7.0,,,,,,,,,,,,,,,
2016-07-04T05:00:00+00:00,300,WSW,15.2,97.4,1020,13,15.3,15.6,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T06:00:00+00:00,360,W,14.6,96.8,1020,15,15.2,15.1,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T07:00:00+00:00,420,W,14.6,95.5,1020,14,15.2,15.3,2.2,6.0,0.0,331.0,7.7,11.2,22.0,8.4,333.0,2.7,2016070400.0,"July 04, 2016 07:00:00",6.9,undefined,0700,3.7,0.87
2016-07-04T08:00:00+00:00,480,WSW,14.6,94.9,1020,13,15.2,15.4,2.2,6.0,,,,,,,,,,,,,,,
2016-07-04T09:00:00+00:00,540,WSW,14.5,94.3,1021,14,15.2,15.4,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T10:00:00+00:00,600,WSW,14.7,94.4,1021,14,15.3,15.6,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T11:00:00+00:00,660,WSW,14.8,93.7,1021,16,15.2,15.8,2.2,6.0,,,,,,,,,,,,,,,
2016-07-04T12:00:00+00:00,720,WSW,14.7,93.7,1021,14,15.2,15.7,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T13:00:00+00:00,780,WSW,15.0,94.4,1021,13,15.3,15.9,2.3,6.0,0.0,331.0,8.3,6.9,206.0,10.2,22.0,0.8,2016070400.0,"July 04, 2016 13:00:00",13.5,undefined,1300,2.7,0.82
2016-07-04T14:00:00+00:00,840,W,14.9,94.3,1020,13,15.4,15.8,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T15:00:00+00:00,900,W,15.1,95.5,1020,14,15.3,15.8,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T16:00:00+00:00,960,W,15.4,95.6,1020,13,15.1,16.1,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T17:00:00+00:00,1020,W,15.2,95.6,1020,12,15.3,15.9,2.2,6.0,,,,,,,,,,,,,,,
2016-07-04T18:00:00+00:00,1080,W,15.3,96.2,1021,11,15.3,15.9,2.3,7.0,,,,,,,,,,,,,,,
2016-07-04T19:00:00+00:00,1140,W,15.1,96.2,1021,11,15.3,15.7,2.3,6.0,0.0,331.0,8.0,7.6,206.0,10.2,21.0,0.8,2016070400.0,"July 04, 2016 19:00:00",13.5,undefined,1900,2.4,0.82
