,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,periodSchedule,modelRun,swell_height1,swell_period1,swell_period2,swell_height2,surf_max,modelCode,swell_direction1,swell_direction2,swell_period3,dateStamp,swell_direction3,surf_min,swell_height3
2016-07-04T20:00:00+00:00,1200,W,15.1,96.8,1021,10,15.3,15.6,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T21:00:00+00:00,1260,W,15.2,96.8,1022,10,15.3,15.7,2.0,6.0,,,,,,,,,,,,,,,
2016-07-04T22:00:00+00:00,1320,W,15.1,96.2,1022,8,15.3,15.7,2.1,6.0,,,,,,,,,,,,,,,
2016-07-04T23:00:00+00:00,1380,W,15.1,95.5,1022,13,15.3,15.8,2.0,6.0,,,,,,,,,,,,,,,
2016-07-05T00:00:00+00:00,0,W,14.9,95.5,1022,9,15.3,15.6,2.0,6.0,,,,,,,,,,,,,,,
2016-07-05T01:00:00+00:00,60,W,14.7,93.7,1022,10,15.3,15.7,2.0,6.0,0100,2016070412.0,7.5,9.3,7.6,2.3,0.81,undefined,332.0,20.0,13.5,"July 05, 2016 01:00:00",206.0,0.0,0.8
2016-07-05T02:00:00+00:00,120,WNW,14.6,93.1,1022,11,15.3,15.7,1.9,6.0,,,,,,,,,,,,,,,
2016-07-05T03:00:00+00:00,180,W,14.6,93.7,1022,8,15.4,15.6,1.9,7.0,,,,,,,,,,,,,,,
2016-07-05T04:00:00+00:00,240,W,14.7,94.9,1022,8,15.3,15.5,1.9,6.0,,,,,,,,,,,,,,,
2016-07-05T05:00:00+00:00,300,W,14.9,95.5,1022,7,15.3,15.6,1.8,6.0,,,,,,,,,,,,,,,
2016-07-05T06:00:00+00:00,360,W,14.8,94.9,1023,6,15.4,15.6,2.0,7.0,,,,,,,,,,,,,,,
2016-07-05T07:00:00+00:00,420,W,14.8,94.9,1023,7,15.4,15.6,2.3,7.0,0700,2016070500.0,7.0,9.3,7.6,2.5,0.79,undefined,332.0,22.0,12.3,"July 05, 2016 07:00:00",206.0,0.0,0.8
2016-07-05T08:00:00+00:00,480,W,14.8,94.3,1023,6,15.5,15.7,1.8,7.0,,,,,,,,,,,,,,,
2016-07-05T09:00:00+00:00,540,WSW,14.9,94.3,1024,6,15.4,15.8,1.7,6.0,,,,,,,,,,,,,,,
2016-07-05T10:00:00+00:00,600,WSW,14.9,95.0,1024,7,15.5,15.7,1.7,6.0,,,,,,,,,,,,,,,
2016-07-05T11:00:00+00:00,660,WSW,14.9,95.5,1024,7,15.4,15.6,1.7,6.0,,,,,,,,,,,,,,,
2016-07-05T12:00:00+00:00,720,W,15.6,95.6,1024,8,15.3,16.3,1.8,6.0,,,,,,,,,,,,,,,
2016-07-05T13:00:00+00:00,780,W,15.4,95.0,1024,7,15.7,16.2,1.7,6.0,1300,2016070500.0,6.6,9.3,7.6,2.3,0.76,undefined,331.0,21.0,12.3,"July 05, 2016 13:00:00",206.0,0.0,0.7
2016-07-05T14:00:00+00:00,840,W,15.2,93.8,1024,8,15.6,16.2,1.7,6.0,,,,,,,,,,,,,,,
2016-07-05T15:00:00+00:00,900,WSW,15.5,93.1,1024,6,15.7,16.6,1.7,7.0,,,,,,,,,,,,,,,
2016-07-05T16:00:00+00:00,960,W,15.2,93.8,1025,8,16.0,16.2,1.5,6.0,,,,,,,,,,,,,,,
2016-07-05T17:00:00+00:00,1020,WSW,15.4,92.5,1024,7,16.1,16.6,1.5,6.0,,,,,,,,,,,,,,,
2016-07-05T18:00:00+00:00,1080,WSW,15.3,93.7,1024,5,16.1,16.3,1.5,6.0,,,,,,,,,,,,,,,
2016-07-05T19:00:00+00:00,1140,WSW,15.3,93.7,1024,6,15.9,16.3,1.5,7.0,1900,2016070500.0,6.2,9.3,7.6,2.1,0.72,undefined,331.0,20.0,12.3,"July 05, 2016 19:00:00",206.0,0.0,0.7
