,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelCode,swell_direction3,swell_direction2,swell_direction1,surf_min,swell_height2,dateStamp,swell_height3,swell_period1,surf_max,swell_height1,swell_period2,swell_period3,periodSchedule,modelRun
2016-07-05T20:00:00+00:00,1200,SW,15.4,94.3,1025,5,15.9,16.3,1.4,6.0,,,,,,,,,,,,,,,
2016-07-05T21:00:00+00:00,1260,SSW,15.5,95.0,1025,4,16.0,16.3,1.4,6.0,,,,,,,,,,,,,,,
2016-07-05T22:00:00+00:00,1320,SW,15.6,95.6,1025,6,15.9,16.3,1.4,6.0,,,,,,,,,,,,,,,
2016-07-05T23:00:00+00:00,1380,SSW,15.5,95.5,1024,6,15.9,16.2,1.5,6.0,,,,,,,,,,,,,,,
2016-07-06T00:00:00+00:00,0,SSW,15.5,95.0,1024,5,15.9,16.3,1.3,6.0,,,,,,,,,,,,,,,
2016-07-06T01:00:00+00:00,60,SW,15.6,95.0,1024,7,15.8,16.4,1.3,6.0,undefined,308.0,18.0,332.0,0.0,1.4,"July 06, 2016 01:00:00",0.3,8.4,0.52,5.1,6.9,2.7,0100,2016070518.0
2016-07-06T02:00:00+00:00,120,SSW,15.4,95.0,1023,5,15.7,16.2,1.2,6.0,,,,,,,,,,,,,,,
2016-07-06T03:00:00+00:00,180,S,15.5,93.8,1023,8,15.8,16.5,1.2,6.0,,,,,,,,,,,,,,,
2016-07-06T04:00:00+00:00,240,S,15.4,95.0,1022,9,15.8,16.2,1.3,6.0,,,,,,,,,,,,,,,
2016-07-06T05:00:00+00:00,300,S,15.4,95.0,1022,10,15.7,16.2,1.2,6.0,,,,,,,,,,,,,,,
2016-07-06T06:00:00+00:00,360,S,15.2,93.1,1022,11,15.7,16.3,1.1,6.0,,,,,,,,,,,,,,,
2016-07-06T07:00:00+00:00,420,S,14.8,89.6,1022,11,15.7,16.5,1.1,6.0,undefined,317.0,17.0,333.0,0.0,1.3,"July 06, 2016 07:00:00",0.4,8.4,0.45,4.6,6.9,2.7,0700,2016070600.0
2016-07-06T08:00:00+00:00,480,S,14.5,87.9,1022,10,15.7,16.5,1.1,6.0,,,,,,,,,,,,,,,
2016-07-06T09:00:00+00:00,540,SSW,14.7,88.4,1022,11,15.7,16.6,1.1,5.0,,,,,,,,,,,,,,,
2016-07-06T10:00:00+00:00,600,SSW,14.4,87.3,1022,11,15.7,16.5,1.2,5.0,,,,,,,,,,,,,,,
2016-07-06T11:00:00+00:00,660,SSW,14.6,87.8,1021,13,15.8,16.6,1.2,5.0,,,,,,,,,,,,,,,
2016-07-06T12:00:00+00:00,720,S,14.7,87.9,1021,12,15.7,16.7,1.2,5.0,,,,,,,,,,,,,,,
2016-07-06T13:00:00+00:00,780,SSW,14.2,84.0,1021,14,15.7,16.9,1.2,5.0,undefined,293.0,17.0,333.0,0.0,1.2,"July 06, 2016 13:00:00",0.2,8.4,0.39,4.4,6.9,2.9,1300,2016070606.0
2016-07-06T14:00:00+00:00,840,S,14.1,83.4,1021,15,15.6,16.9,1.2,5.0,,,,,,,,,,,,,,,
2016-07-06T15:00:00+00:00,900,SSW,14.7,87.9,1021,15,15.7,16.7,1.4,4.0,,,,,,,,,,,,,,,
2016-07-06T16:00:00+00:00,960,SSW,14.6,87.9,1021,16,15.8,16.6,1.5,4.0,,,,,,,,,,,,,,,
2016-07-06T17:00:00+00:00,1020,SSW,14.5,86.7,1020,16,15.8,16.7,1.5,5.0,,,,,,,,,,,,,,,
2016-07-06T18:00:00+00:00,1080,SSW,14.6,87.9,1020,16,15.8,16.6,1.6,5.0,,,,,,,,,,,,,,,
2016-07-06T19:00:00+00:00,1140,SSW,14.8,90.1,1020,16,15.8,16.4,1.6,5.0,undefined,206.0,17.0,333.0,0.0,1.2,"July 06, 2016 19:00:00",0.1,7.6,0.43,4.1,6.9,11.2,1900,2016070606.0
