,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,surf_min,dateStamp,modelRun,swell_height1,modelCode,swell_direction1,swell_height2,swell_period3,periodSchedule,swell_direction2,swell_height3,surf_max,swell_period1,swell_period2
2016-07-06T20:00:00+00:00,1200,SSW,15.0,91.4,1019,16,15.8,16.4,2.0,6.0,,,,,,,,,,,,,,,
2016-07-06T21:00:00+00:00,1260,SSW,15.3,92.0,1019,16,15.8,16.6,2.6,7.0,,,,,,,,,,,,,,,
2016-07-06T22:00:00+00:00,1320,SSW,15.4,94.3,1020,17,15.8,16.3,3.1,7.0,,,,,,,,,,,,,,,
2016-07-06T23:00:00+00:00,1380,SSW,15.7,96.2,1020,16,15.8,16.3,3.1,7.0,,,,,,,,,,,,,,,
2016-07-07T00:00:00+00:00,0,SSW,16.0,96.8,1019,16,15.7,16.5,3.2,7.0,,,,,,,,,,,,,,,
2016-07-07T01:00:00+00:00,60,SSW,15.9,97.5,1019,15,15.7,16.3,3.0,7.0,16.0,0.0,"July 07, 2016 01:00:00",2016070618.0,3.0,undefined,344.0,1.9,6.9,0100,310.0,1.0,0.53,7.6,8.4
2016-07-07T02:00:00+00:00,120,SSW,16.1,97.4,1018,16,15.7,16.5,2.9,6.0,,,,,,,,,,,,,,,
2016-07-07T03:00:00+00:00,180,SW,16.0,97.5,1018,15,15.7,16.4,2.3,6.0,,,,,,,,,,,,,,,
2016-07-07T04:00:00+00:00,240,SW,16.0,97.5,1017,11,15.6,16.4,2.1,6.0,,,,,,,,,,,,,,,
2016-07-07T05:00:00+00:00,300,SW,15.9,98.1,1017,12,15.7,16.2,1.8,6.0,,,,,,,,,,,,,,,
2016-07-07T06:00:00+00:00,360,SW,16.1,98.1,1017,10,15.8,16.4,1.6,6.0,,,,,,,,,,,,,,,
2016-07-07T07:00:00+00:00,420,SSW,16.0,98.1,1017,13,15.9,16.3,1.7,6.0,337.0,0.0,"July 07, 2016 07:00:00",2016070700.0,2.4,undefined,344.0,1.5,8.4,0700,305.0,1.2,0.71,6.9,8.4
2016-07-07T08:00:00+00:00,480,SSW,16.2,98.1,1017,14,15.8,16.5,1.7,6.0,,,,,,,,,,,,,,,
2016-07-07T09:00:00+00:00,540,SSW,15.9,98.1,1017,15,15.8,16.2,1.8,6.0,,,,,,,,,,,,,,,
2016-07-07T10:00:00+00:00,600,SSW,15.6,97.5,1018,18,15.8,16.0,2.0,6.0,,,,,,,,,,,,,,,
2016-07-07T11:00:00+00:00,660,WNW,15.9,96.8,1018,8,15.8,16.4,2.2,6.0,,,,,,,,,,,,,,,
2016-07-07T12:00:00+00:00,720,SSW,15.1,90.8,1017,17,15.8,16.6,2.1,6.0,,,,,,,,,,,,,,,
2016-07-07T13:00:00+00:00,780,SSW,14.7,90.8,1017,15,15.8,16.2,1.9,5.0,345.0,0.0,"July 07, 2016 13:00:00",2016070706.0,2.4,undefined,341.0,1.3,8.4,1300,306.0,0.9,0.97,6.9,7.6
2016-07-07T14:00:00+00:00,840,S,15.5,91.4,1017,17,15.7,16.9,1.7,5.0,,,,,,,,,,,,,,,
2016-07-07T15:00:00+00:00,900,SSW,14.7,91.9,1016,17,15.9,16.0,1.8,5.0,,,,,,,,,,,,,,,
2016-07-07T16:00:00+00:00,960,SSW,15.2,93.1,1016,18,16.1,16.3,1.8,5.0,,,,,,,,,,,,,,,
2016-07-07T17:00:00+00:00,1020,SSW,15.8,96.2,1016,17,16.0,16.4,1.9,5.0,,,,,,,,,,,,,,,
2016-07-07T18:00:00+00:00,1080,SW,16.0,96.8,1016,13,16.0,16.5,1.6,5.0,,,,,,,,,,,,,,,
2016-07-07T19:00:00+00:00,1140,W,15.2,96.8,1016,11,16.0,15.7,1.6,5.0,290.0,0.28,"July 07, 2016 19:00:00",2016070706.0,2.1,undefined,336.0,2.0,9.3,1900,345.0,1.5,1.23,4.3,6.3
