,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,swell_direction1,surf_min,dateStamp,swell_direction3,modelCode,swell_period3,periodSchedule,modelRun,swell_period2,swell_height3,swell_height2,swell_direction2,swell_period1,surf_max
2016-07-07T20:00:00+00:00,1200,WNW,14.4,96.8,1016,9,15.9,14.9,1.7,5.0,,,,,,,,,,,,,,,
2016-07-07T21:00:00+00:00,1260,W,14.9,97.4,1017,7,15.9,15.3,1.5,5.0,,,,,,,,,,,,,,,
2016-07-07T22:00:00+00:00,1320,W,15.3,97.5,1018,7,15.9,15.7,1.5,5.0,,,,,,,,,,,,,,,
2016-07-07T23:00:00+00:00,1380,W,15.3,96.2,1018,9,15.9,15.9,1.4,5.0,,,,,,,,,,,,,,,
2016-07-08T00:00:00+00:00,0,W,14.8,94.4,1018,9,16.0,15.7,1.4,6.0,,,,,,,,,,,,,,,
2016-07-08T01:00:00+00:00,60,WSW,14.6,92.5,1018,8,16.0,15.8,1.3,5.0,2.9,342.0,0.6,"July 08, 2016 01:00:00",333.0,undefined,7.6,0100,2016070718.0,9.3,1.2,1.8,288.0,6.3,1.6
2016-07-08T02:00:00+00:00,120,WSW,14.7,91.9,1018,8,16.1,16.0,1.2,5.0,,,,,,,,,,,,,,,
2016-07-08T03:00:00+00:00,180,SW,14.9,92.0,1017,7,16.1,16.2,1.2,5.0,,,,,,,,,,,,,,,
2016-07-08T04:00:00+00:00,240,SW,14.9,92.0,1017,9,16.2,16.2,1.3,5.0,,,,,,,,,,,,,,,
2016-07-08T05:00:00+00:00,300,SW,14.8,91.4,1017,9,16.2,16.2,1.4,5.0,,,,,,,,,,,,,,,
2016-07-08T06:00:00+00:00,360,SW,15.2,92.0,1017,11,16.2,16.5,1.4,6.0,,,,,,,,,,,,,,,
2016-07-08T07:00:00+00:00,420,SSW,15.1,91.9,1017,12,16.1,16.4,1.4,6.0,3.3,342.0,0.65,"July 08, 2016 07:00:00",21.0,undefined,4.7,0700,2016070800.0,9.3,1.7,1.8,287.0,4.7,1.65
2016-07-08T08:00:00+00:00,480,S,15.3,92.5,1017,13,16.2,16.5,1.5,6.0,,,,,,,,,,,,,,,
2016-07-08T09:00:00+00:00,540,S,15.4,93.1,1017,14,16.2,16.5,1.6,6.0,,,,,,,,,,,,,,,
2016-07-08T10:00:00+00:00,600,SSW,15.5,93.1,1018,15,16.2,16.6,1.7,6.0,,,,,,,,,,,,,,,
2016-07-08T11:00:00+00:00,660,SSW,15.5,93.1,1018,15,16.3,16.6,1.6,5.0,,,,,,,,,,,,,,,
2016-07-08T12:00:00+00:00,720,SSW,15.7,92.0,1017,17,16.3,17.0,1.6,5.0,,,,,,,,,,,,,,,
2016-07-08T13:00:00+00:00,780,SSW,15.9,93.2,1017,18,16.5,17.0,1.8,5.0,3.1,343.0,0.77,"July 08, 2016 13:00:00",22.0,undefined,4.7,1300,2016070806.0,8.4,1.8,2.0,286.0,5.2,1.77
2016-07-08T14:00:00+00:00,840,SSW,16.0,94.4,1018,17,16.5,16.9,1.7,5.0,,,,,,,,,,,,,,,
2016-07-08T15:00:00+00:00,900,SW,16.4,95.6,1017,17,16.4,17.1,1.7,5.0,,,,,,,,,,,,,,,
2016-07-08T16:00:00+00:00,960,SW,16.5,95.6,1017,17,16.4,17.2,1.8,5.0,,,,,,,,,,,,,,,
2016-07-08T17:00:00+00:00,1020,SSW,16.4,95.6,1017,17,16.4,17.1,1.7,5.0,,,,,,,,,,,,,,,
2016-07-08T18:00:00+00:00,1080,SSW,16.5,96.9,1017,15,16.3,17.0,1.9,5.0,,,,,,,,,,,,,,,
2016-07-08T19:00:00+00:00,1140,SSW,16.5,97.5,1017,16,16.3,16.9,2.0,5.0,4.1,343.0,0.78,"July 08, 2016 19:00:00",284.0,undefined,8.4,1900,2016070806.0,5.2,2.1,2.4,22.0,5.2,1.78
