,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_direction3,swell_direction2,swell_height3,surf_min,modelRun,swell_height1,swell_height2,surf_max,modelCode,swell_period3,swell_direction1,swell_period1,periodSchedule,swell_period2
2016-07-08T20:00:00+00:00,1200,SSW,16.6,97.5,1017,15,16.2,17.0,2.2,6.0,,,,,,,,,,,,,,,
2016-07-08T21:00:00+00:00,1260,SSW,16.5,97.5,1017,16,16.3,16.9,2.2,6.0,,,,,,,,,,,,,,,
2016-07-08T22:00:00+00:00,1320,SSW,16.7,98.1,1017,16,16.4,17.0,2.4,6.0,,,,,,,,,,,,,,,
2016-07-08T23:00:00+00:00,1380,SSW,16.7,98.1,1017,17,16.5,17.0,2.2,6.0,,,,,,,,,,,,,,,
2016-07-09T00:00:00+00:00,0,SSW,16.7,98.1,1016,18,16.5,17.0,2.7,6.0,,,,,,,,,,,,,,,
2016-07-09T01:00:00+00:00,60,SSW,16.9,98.1,1016,20,16.5,17.2,2.6,6.0,"July 09, 2016 01:00:00",282.0,24.0,1.9,0.69,2016070818.0,4.6,3.4,1.68,undefined,8.4,340.0,5.7,0100,5.7
2016-07-09T02:00:00+00:00,120,SSW,16.9,98.1,1015,21,16.4,17.2,2.4,6.0,,,,,,,,,,,,,,,
2016-07-09T03:00:00+00:00,180,SSW,16.8,98.1,1014,23,16.4,17.1,2.5,5.0,,,,,,,,,,,,,,,
2016-07-09T04:00:00+00:00,240,SSW,16.8,98.1,1014,22,16.4,17.1,2.5,5.0,,,,,,,,,,,,,,,
2016-07-09T05:00:00+00:00,300,SSW,17.0,97.5,1013,24,16.4,17.4,2.7,6.0,,,,,,,,,,,,,,,
2016-07-09T06:00:00+00:00,360,SSW,16.8,97.5,1013,22,16.5,17.2,2.9,6.0,,,,,,,,,,,,,,,
2016-07-09T07:00:00+00:00,420,SSW,16.8,96.9,1012,23,16.4,17.3,3.2,7.0,"July 09, 2016 07:00:00",280.0,26.0,1.7,0.61,2016070900.0,4.0,3.2,1.61,undefined,8.4,340.0,5.7,0700,5.7
2016-07-09T08:00:00+00:00,480,SSW,16.8,96.3,1012,27,16.4,17.4,3.5,7.0,,,,,,,,,,,,,,,
2016-07-09T09:00:00+00:00,540,SSW,16.7,96.9,1012,21,16.4,17.2,3.6,7.0,,,,,,,,,,,,,,,
2016-07-09T10:00:00+00:00,600,SSW,16.8,95.7,1012,18,16.4,17.5,4.5,8.0,,,,,,,,,,,,,,,
2016-07-09T11:00:00+00:00,660,SSW,16.7,95.7,1012,17,16.4,17.4,4.2,8.0,,,,,,,,,,,,,,,
2016-07-09T12:00:00+00:00,720,SSW,16.4,95.0,1012,17,16.3,17.2,4.5,9.0,,,,,,,,,,,,,,,
2016-07-09T13:00:00+00:00,780,SSW,16.5,94.4,1012,17,16.3,17.4,4.9,9.0,"July 09, 2016 13:00:00",280.0,25.0,1.7,0.62,2016070906.0,3.7,3.1,1.62,undefined,8.4,342.0,5.2,1300,5.2
2016-07-09T14:00:00+00:00,840,SW,16.3,93.9,1012,16,16.6,17.3,4.6,8.0,,,,,,,,,,,,,,,
2016-07-09T15:00:00+00:00,900,SW,16.3,93.3,1011,16,16.5,17.4,4.3,9.0,,,,,,,,,,,,,,,
2016-07-09T16:00:00+00:00,960,SW,16.0,93.2,1011,15,16.6,17.1,4.5,8.0,,,,,,,,,,,,,,,
2016-07-09T17:00:00+00:00,1020,SW,16.0,91.4,1011,16,16.4,17.4,4.1,9.0,,,,,,,,,,,,,,,
2016-07-09T18:00:00+00:00,1080,WSW,14.9,85.8,1010,17,16.5,17.3,5.1,10.0,,,,,,,,,,,,,,,
2016-07-09T19:00:00+00:00,1140,SW,14.9,87.4,1010,17,16.6,17.0,4.2,9.0,"July 09, 2016 19:00:00",280.0,25.0,1.5,1.56,2016070906.0,4.7,3.5,2.56,undefined,8.4,339.0,5.7,1900,5.2
