,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_height3,swell_period3,swell_direction2,swell_direction3,modelCode,swell_height1,modelRun,swell_height2,swell_period1,periodSchedule,surf_min,surf_max,swell_direction1,swell_period2
2016-07-09T20:00:00+00:00,1200,SW,14.9,87.4,1010,18,16.6,17.0,5.0,10.0,,,,,,,,,,,,,,,
2016-07-09T21:00:00+00:00,1260,SW,15.1,89.1,1010,18,16.6,16.9,4.6,9.0,,,,,,,,,,,,,,,
2016-07-09T22:00:00+00:00,1320,SW,14.9,88.0,1010,18,16.5,16.9,4.5,9.0,,,,,,,,,,,,,,,
2016-07-09T23:00:00+00:00,1380,SW,15.0,88.0,1010,18,16.5,17.0,4.6,8.0,,,,,,,,,,,,,,,
2016-07-10T00:00:00+00:00,0,SW,15.0,88.5,1009,19,16.5,16.9,4.5,8.0,,,,,,,,,,,,,,,
2016-07-10T01:00:00+00:00,60,SW,14.9,88.5,1009,20,16.4,16.8,4.6,9.0,"July 10, 2016 01:00:00",3.0,14.9,26.0,296.0,undefined,5.0,2016070918.0,3.9,5.7,0100,4.21,5.04,340.0,5.7
2016-07-10T02:00:00+00:00,120,WSW,14.5,85.7,1008,19,16.5,16.9,5.1,9.0,,,,,,,,,,,,,,,
2016-07-10T03:00:00+00:00,180,WSW,14.2,86.3,1008,21,16.4,16.5,4.9,8.0,,,,,,,,,,,,,,,
2016-07-10T04:00:00+00:00,240,WSW,14.2,87.3,1007,20,16.3,16.3,4.6,8.0,,,,,,,,,,,,,,,
2016-07-10T05:00:00+00:00,300,WSW,14.5,87.4,1007,21,16.3,16.6,4.0,8.0,,,,,,,,,,,,,,,
2016-07-10T06:00:00+00:00,360,WSW,13.8,84.0,1007,22,16.3,16.5,4.3,8.0,,,,,,,,,,,,,,,
2016-07-10T07:00:00+00:00,420,WSW,13.6,83.4,1007,21,16.4,16.4,4.0,8.0,"July 10, 2016 07:00:00",3.6,5.7,341.0,25.0,undefined,5.7,2016071000.0,4.6,13.5,0700,5.04,5.88,296.0,5.7
2016-07-10T08:00:00+00:00,480,WSW,13.4,85.0,1007,24,16.3,15.9,4.4,8.0,,,,,,,,,,,,,,,
2016-07-10T09:00:00+00:00,540,WSW,13.5,82.4,1008,22,16.3,16.5,4.7,8.0,,,,,,,,,,,,,,,
2016-07-10T10:00:00+00:00,600,WSW,13.2,82.4,1008,22,16.3,16.2,4.2,8.0,,,,,,,,,,,,,,,
2016-07-10T11:00:00+00:00,660,WSW,12.8,80.8,1008,24,16.3,16.1,4.3,8.0,,,,,,,,,,,,,,,
2016-07-10T12:00:00+00:00,720,W,12.8,81.8,1009,24,16.2,15.9,4.5,8.0,,,,,,,,,,,,,,,
2016-07-10T13:00:00+00:00,780,W,13.3,84.5,1009,23,16.2,15.9,4.9,9.0,"July 10, 2016 13:00:00",3.0,5.7,340.0,24.0,undefined,6.4,2016071006.0,4.0,12.3,1300,5.07,5.65,295.0,5.7
2016-07-10T14:00:00+00:00,840,W,13.8,85.7,1009,21,16.2,16.2,4.8,8.0,,,,,,,,,,,,,,,
2016-07-10T15:00:00+00:00,900,W,14.0,86.8,1010,21,16.2,16.2,4.4,8.0,,,,,,,,,,,,,,,
2016-07-10T16:00:00+00:00,960,W,14.1,87.9,1010,20,16.2,16.1,4.4,8.0,,,,,,,,,,,,,,,
2016-07-10T17:00:00+00:00,1020,W,13.9,86.8,1010,21,16.2,16.1,4.4,7.0,,,,,,,,,,,,,,,
2016-07-10T18:00:00+00:00,1080,W,14.0,87.3,1010,19,16.2,16.1,4.3,8.0,,,,,,,,,,,,,,,
2016-07-10T19:00:00+00:00,1140,W,13.9,86.8,1010,20,16.2,16.1,3.8,7.0,"July 10, 2016 19:00:00",3.0,5.2,340.0,23.0,undefined,6.1,2016071006.0,4.2,12.3,1900,4.37,5.37,293.0,5.7
