,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_direction1,periodSchedule,swell_height2,modelCode,swell_direction3,swell_height1,swell_period2,modelRun,swell_period1,swell_height3,surf_max,dateStamp,swell_direction2,surf_min
2016-07-10T20:00:00+00:00,1200,W,13.9,88.4,1010,18,16.2,15.8,3.7,7.0,,,,,,,,,,,,,,,
2016-07-10T21:00:00+00:00,1260,W,13.8,86.7,1011,19,16.2,16.0,3.4,7.0,,,,,,,,,,,,,,,
2016-07-10T22:00:00+00:00,1320,W,14.0,87.3,1011,19,16.2,16.1,3.5,7.0,,,,,,,,,,,,,,,
2016-07-10T23:00:00+00:00,1380,W,13.4,89.5,1011,21,16.2,15.1,3.7,8.0,,,,,,,,,,,,,,,
2016-07-11T00:00:00+00:00,0,W,13.9,92.5,1011,19,16.1,15.1,3.6,7.0,,,,,,,,,,,,,,,
2016-07-11T01:00:00+00:00,60,W,14.2,93.7,1011,16,16.2,15.2,3.3,7.0,5.2,292.0,0100,3.9,undefined,23.0,5.6,5.2,2016071018.0,11.2,2.9,4.71,"July 11, 2016 01:00:00",341.0,4.45
2016-07-11T02:00:00+00:00,120,W,14.1,91.3,1011,17,16.2,15.5,3.3,7.0,,,,,,,,,,,,,,,
2016-07-11T03:00:00+00:00,180,W,14.2,93.1,1011,17,16.1,15.3,3.1,7.0,,,,,,,,,,,,,,,
2016-07-11T04:00:00+00:00,240,WNW,13.4,90.7,1011,14,16.1,14.9,2.8,7.0,,,,,,,,,,,,,,,
2016-07-11T05:00:00+00:00,300,NW,13.5,90.1,1012,14,16.1,15.1,3.0,7.0,,,,,,,,,,,,,,,
2016-07-11T06:00:00+00:00,360,NW,13.3,86.7,1012,16,16.1,15.5,2.8,6.0,,,,,,,,,,,,,,,
2016-07-11T07:00:00+00:00,420,NW,12.4,83.8,1013,15,16.1,15.1,2.5,6.0,4.7,291.0,0700,3.4,undefined,23.0,5.4,5.2,2016071100.0,11.2,2.4,4.33,"July 11, 2016 07:00:00",340.0,3.35
2016-07-11T08:00:00+00:00,480,NW,12.5,82.7,1013,12,16.0,15.4,2.6,6.0,,,,,,,,,,,,,,,
2016-07-11T09:00:00+00:00,540,WNW,11.9,79.0,1014,15,16.1,15.5,2.6,6.0,,,,,,,,,,,,,,,
2016-07-11T10:00:00+00:00,600,WNW,11.2,75.4,1014,14,16.1,15.5,2.7,6.0,,,,,,,,,,,,,,,
2016-07-11T11:00:00+00:00,660,WNW,10.9,74.9,1015,14,16.1,15.3,2.7,7.0,,,,,,,,,,,,,,,
2016-07-11T12:00:00+00:00,720,WNW,10.9,73.9,1015,12,16.1,15.5,2.9,8.0,,,,,,,,,,,,,,,
2016-07-11T13:00:00+00:00,780,WNW,10.9,73.4,1016,10,16.2,15.6,2.7,6.0,4.7,289.0,1300,3.2,undefined,23.0,5.0,4.7,2016071106.0,10.2,2.3,3.92,"July 11, 2016 13:00:00",339.0,2.95
2016-07-11T14:00:00+00:00,840,WNW,10.3,71.4,1016,11,16.2,15.4,3.0,7.0,,,,,,,,,,,,,,,
2016-07-11T15:00:00+00:00,900,W,9.9,68.2,1016,13,16.1,15.7,3.1,7.0,,,,,,,,,,,,,,,
2016-07-11T16:00:00+00:00,960,W,11.1,73.9,1016,12,16.2,15.7,2.9,7.0,,,,,,,,,,,,,,,
2016-07-11T17:00:00+00:00,1020,W,10.2,70.0,1016,14,16.3,15.6,2.3,6.0,,,,,,,,,,,,,,,
2016-07-11T18:00:00+00:00,1080,WNW,9.9,70.9,1016,14,16.2,15.1,2.4,6.0,,,,,,,,,,,,,,,
2016-07-11T19:00:00+00:00,1140,WNW,10.4,73.3,1016,13,16.2,15.1,2.1,6.0,4.7,288.0,1900,4.1,undefined,24.0,4.4,5.2,2016071106.0,10.2,2.4,3.43,"July 11, 2016 19:00:00",334.0,2.43
