,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,periodSchedule,modelRun,swell_period1,swell_height1,swell_height2,swell_height3,surf_max,surf_min,swell_direction3,dateStamp,modelCode,swell_period3,swell_direction1,swell_period2
2016-07-11T20:00:00+00:00,1200,WNW,10.0,71.3,1017,14,16.2,15.1,2.2,6.0,,,,,,,,,,,,,,,
2016-07-11T21:00:00+00:00,1260,WNW,10.1,71.8,1017,14,16.1,15.1,2.1,6.0,,,,,,,,,,,,,,,
2016-07-11T22:00:00+00:00,1320,WNW,10.0,73.2,1017,14,16.2,14.7,2.1,6.0,,,,,,,,,,,,,,,
2016-07-11T23:00:00+00:00,1380,WNW,10.1,72.7,1018,14,16.2,14.9,2.3,7.0,,,,,,,,,,,,,,,
2016-07-12T00:00:00+00:00,0,WNW,10.3,74.2,1018,14,16.2,14.8,2.0,6.0,,,,,,,,,,,,,,,
2016-07-12T01:00:00+00:00,60,WNW,10.2,74.2,1018,15,16.2,14.7,2.3,6.0,289.0,0100,2016071118.0,5.2,4.1,4.1,2.5,3.0,2.02,25.0,"July 12, 2016 01:00:00",undefined,4.7,335.0,10.2
2016-07-12T02:00:00+00:00,120,WNW,10.2,78.2,1018,14,16.2,13.9,2.2,6.0,,,,,,,,,,,,,,,
2016-07-12T03:00:00+00:00,180,WNW,10.7,77.3,1018,15,16.1,14.6,2.3,6.0,,,,,,,,,,,,,,,
2016-07-12T04:00:00+00:00,240,WNW,10.1,74.6,1018,15,16.1,14.5,2.1,6.0,,,,,,,,,,,,,,,
2016-07-12T05:00:00+00:00,300,NW,10.6,76.2,1018,17,16.1,14.7,2.2,6.0,,,,,,,,,,,,,,,
2016-07-12T06:00:00+00:00,360,NW,9.7,71.3,1019,15,16.1,14.8,2.1,6.0,,,,,,,,,,,,,,,
2016-07-12T07:00:00+00:00,420,NW,10.9,77.3,1019,16,16.1,14.8,2.2,6.0,289.0,0700,2016071200.0,5.2,4.5,3.7,2.8,2.6,1.63,25.0,"July 12, 2016 07:00:00",undefined,5.2,335.0,9.3
2016-07-12T08:00:00+00:00,480,WNW,9.9,72.7,1020,15,16.1,14.7,2.0,6.0,,,,,,,,,,,,,,,
2016-07-12T09:00:00+00:00,540,WNW,9.7,71.7,1020,16,16.1,14.7,2.2,6.0,,,,,,,,,,,,,,,
2016-07-12T10:00:00+00:00,600,NNW,10.4,75.2,1021,14,16.1,14.7,1.9,6.0,,,,,,,,,,,,,,,
2016-07-12T11:00:00+00:00,660,WNW,9.7,73.6,1021,12,16.2,14.3,1.9,5.0,,,,,,,,,,,,,,,
2016-07-12T12:00:00+00:00,720,NW,10.7,75.8,1021,17,16.3,14.9,1.9,6.0,,,,,,,,,,,,,,,
2016-07-12T13:00:00+00:00,780,WNW,10.7,73.8,1022,16,16.2,15.3,2.0,6.0,291.0,1300,2016071206.0,5.7,4.9,3.4,3.2,2.31,1.33,25.0,"July 12, 2016 13:00:00",undefined,5.2,337.0,9.3
2016-07-12T14:00:00+00:00,840,NW,10.2,71.8,1022,17,16.3,15.2,2.0,5.0,,,,,,,,,,,,,,,
2016-07-12T15:00:00+00:00,900,NW,10.4,72.7,1022,17,16.3,15.2,2.1,6.0,,,,,,,,,,,,,,,
2016-07-12T16:00:00+00:00,960,NW,10.6,72.8,1023,17,16.5,15.4,2.1,6.0,,,,,,,,,,,,,,,
2016-07-12T17:00:00+00:00,1020,NW,10.3,71.8,1023,17,16.3,15.3,2.3,6.0,,,,,,,,,,,,,,,
2016-07-12T18:00:00+00:00,1080,NW,10.0,70.3,1024,17,16.4,15.3,2.1,5.0,,,,,,,,,,,,,,,
2016-07-12T19:00:00+00:00,1140,NW,9.8,69.8,1024,17,16.4,15.2,2.2,6.0,24.0,1900,2016071206.0,6.3,6.1,3.5,2.3,2.07,1.07,279.0,"July 12, 2016 19:00:00",undefined,9.3,334.0,5.7
