,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,dateStamp,modelCode,modelRun,swell_period1,swell_height2,swell_period3,surf_max,swell_period2,swell_direction3,swell_direction2,swell_height1,periodSchedule,swell_height3,surf_min
2016-07-12T20:00:00+00:00,1200,NW,9.9,71.2,1024,16,16.3,15.0,2.1,6.0,,,,,,,,,,,,,,,
2016-07-12T21:00:00+00:00,1260,NW,10.2,72.2,1025,14,16.3,15.1,2.2,6.0,,,,,,,,,,,,,,,
2016-07-12T22:00:00+00:00,1320,NW,9.8,71.7,1025,13,16.3,14.8,2.1,6.0,,,,,,,,,,,,,,,
2016-07-12T23:00:00+00:00,1380,NNW,10.2,73.6,1025,13,16.3,14.8,1.8,6.0,,,,,,,,,,,,,,,
2016-07-13T00:00:00+00:00,0,NW,9.4,68.8,1026,14,16.3,15.0,1.9,6.0,,,,,,,,,,,,,,,
2016-07-13T01:00:00+00:00,60,NW,9.0,66.9,1026,13,16.3,15.0,1.8,6.0,335.0,"July 13, 2016 01:00:00",undefined,2016071218.0,6.3,3.8,9.3,1.69,5.7,279.0,25.0,6.5,0100,2.1,0.73
2016-07-13T02:00:00+00:00,120,NW,9.1,67.8,1026,12,16.3,14.9,2.0,6.0,,,,,,,,,,,,,,,
2016-07-13T03:00:00+00:00,180,NW,9.1,68.3,1026,10,16.3,14.8,1.8,6.0,,,,,,,,,,,,,,,
2016-07-13T04:00:00+00:00,240,NW,9.1,67.4,1026,11,16.2,15.0,2.0,6.0,,,,,,,,,,,,,,,
2016-07-13T05:00:00+00:00,300,NNW,9.8,72.6,1026,13,16.2,14.6,1.9,6.0,,,,,,,,,,,,,,,
2016-07-13T06:00:00+00:00,360,NW,9.6,70.7,1027,12,16.1,14.8,1.9,5.0,,,,,,,,,,,,,,,
2016-07-13T07:00:00+00:00,420,NW,9.1,68.3,1027,10,16.1,14.8,2.0,6.0,334.0,"July 13, 2016 07:00:00",undefined,2016071300.0,6.9,4.3,0.0,1.37,6.3,0.0,26.0,7.3,0700,0.0,0.39
2016-07-13T08:00:00+00:00,480,NW,8.4,64.6,1027,8,16.1,14.9,1.8,5.0,,,,,,,,,,,,,,,
2016-07-13T09:00:00+00:00,540,WNW,8.8,65.1,1028,9,16.1,15.2,1.9,6.0,,,,,,,,,,,,,,,
2016-07-13T10:00:00+00:00,600,WNW,8.4,63.0,1028,8,16.1,15.3,1.7,6.0,,,,,,,,,,,,,,,
2016-07-13T11:00:00+00:00,660,WNW,7.6,60.0,1028,7,16.2,15.2,1.8,6.0,,,,,,,,,,,,,,,
2016-07-13T12:00:00+00:00,720,W,7.7,60.5,1023,6,16.1,15.2,1.6,6.0,,,,,,,,,,,,,,,
2016-07-13T13:00:00+00:00,780,WSW,7.5,58.4,1024,4,16.5,15.5,1.7,6.0,337.0,"July 13, 2016 13:00:00",undefined,2016071306.0,6.9,4.4,19.8,1.09,6.9,210.0,25.0,7.4,1300,0.1,0.09
2016-07-13T14:00:00+00:00,840,W,7.3,58.4,1025,6,16.5,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-07-13T15:00:00+00:00,900,W,7.7,60.0,1022,6,16.6,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-07-13T16:00:00+00:00,960,WSW,8.5,63.4,1024,5,16.7,15.3,1.6,6.0,,,,,,,,,,,,,,,
2016-07-13T17:00:00+00:00,1020,W,9.0,63.6,1017,5,16.8,15.8,1.6,6.0,,,,,,,,,,,,,,,
2016-07-13T18:00:00+00:00,1080,SW,8.8,63.1,1028,5,16.8,15.7,1.7,6.0,,,,,,,,,,,,,,,
2016-07-13T19:00:00+00:00,1140,SW,9.6,67.0,1028,6,17.0,15.6,1.6,6.0,339.0,"July 13, 2016 19:00:00",undefined,2016071306.0,6.9,4.4,19.8,0.86,6.9,206.0,24.0,7.9,1900,0.1,0.0
