,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_height3,dateStamp,periodSchedule,swell_direction1,swell_period1,surf_min,swell_period2,swell_direction3,modelRun,swell_height1,swell_height2,surf_max,modelCode,swell_period3
2016-07-13T20:00:00+00:00,1200,SSW,9.5,66.1,1028,5,16.7,15.7,1.6,7.0,,,,,,,,,,,,,,,
2016-07-13T21:00:00+00:00,1260,SSW,9.5,66.6,1028,6,16.7,15.6,1.7,7.0,,,,,,,,,,,,,,,
2016-07-13T22:00:00+00:00,1320,SSW,10.1,68.5,1028,7,16.6,15.8,1.6,7.0,,,,,,,,,,,,,,,
2016-07-13T23:00:00+00:00,1380,SSW,10.1,69.0,1025,7,16.7,15.7,1.6,7.0,,,,,,,,,,,,,,,
2016-07-14T00:00:00+00:00,0,S,10.8,71.3,1028,8,16.7,15.9,1.5,7.0,,,,,,,,,,,,,,,
2016-07-14T01:00:00+00:00,60,S,11.0,72.3,1028,9,16.7,15.9,1.4,6.0,24.0,0.1,"July 14, 2016 01:00:00",0100,340.0,7.6,0.0,6.9,206.0,2016071312.0,7.7,4.6,0.68,undefined,18.0
2016-07-14T02:00:00+00:00,120,S,11.8,75.8,1027,10,16.6,16.0,1.3,6.0,,,,,,,,,,,,,,,
2016-07-14T03:00:00+00:00,180,S,11.4,73.4,1027,9,16.5,16.1,1.3,6.0,,,,,,,,,,,,,,,
2016-07-14T04:00:00+00:00,240,S,11.3,72.9,1027,9,16.6,16.1,1.5,6.0,,,,,,,,,,,,,,,
2016-07-14T05:00:00+00:00,300,SSE,11.5,73.4,1027,10,16.5,16.2,1.3,6.0,,,,,,,,,,,,,,,
2016-07-14T06:00:00+00:00,360,S,11.5,73.9,1027,12,16.5,16.1,1.5,6.0,,,,,,,,,,,,,,,
2016-07-14T07:00:00+00:00,420,SSE,12.5,77.4,1027,12,16.4,16.4,1.4,6.0,25.0,0.2,"July 14, 2016 07:00:00",0700,339.0,6.9,0.0,6.9,210.0,2016071318.0,6.2,3.6,0.53,undefined,18.0
2016-07-14T08:00:00+00:00,480,S,12.8,78.5,1027,13,16.4,16.5,1.3,5.0,,,,,,,,,,,,,,,
2016-07-14T09:00:00+00:00,540,S,12.6,77.5,1027,13,16.4,16.5,1.3,5.0,,,,,,,,,,,,,,,
2016-07-14T10:00:00+00:00,600,S,13.0,78.5,1027,12,16.4,16.7,1.2,5.0,,,,,,,,,,,,,,,
2016-07-14T11:00:00+00:00,660,S,13.3,79.6,1027,12,16.3,16.8,1.2,5.0,,,,,,,,,,,,,,,
2016-07-14T12:00:00+00:00,720,S,13.7,81.2,1027,14,16.6,16.9,1.2,5.0,,,,,,,,,,,,,,,
2016-07-14T13:00:00+00:00,780,S,14.1,83.4,1027,12,16.7,16.9,1.2,5.0,25.0,0.8,"July 14, 2016 13:00:00",1300,340.0,7.6,0.0,6.9,278.0,2016071400.0,5.5,2.8,0.5,undefined,8.4
2016-07-14T14:00:00+00:00,840,S,14.5,84.0,1027,13,16.7,17.2,1.4,5.0,,,,,,,,,,,,,,,
2016-07-14T15:00:00+00:00,900,S,14.6,85.7,1027,13,16.7,17.0,1.5,5.0,,,,,,,,,,,,,,,
2016-07-14T16:00:00+00:00,960,S,14.7,86.2,1027,14,16.7,17.0,1.5,5.0,,,,,,,,,,,,,,,
2016-07-14T17:00:00+00:00,1020,S,15.0,86.8,1026,15,16.5,17.2,1.6,5.0,,,,,,,,,,,,,,,
2016-07-14T18:00:00+00:00,1080,S,14.9,86.7,1027,15,16.6,17.1,1.5,5.0,,,,,,,,,,,,,,,
2016-07-14T19:00:00+00:00,1140,SSW,15.0,87.3,1027,14,16.6,17.1,1.5,5.0,22.0,0.8,"July 14, 2016 19:00:00",1900,340.0,6.9,0.0,6.9,277.0,2016071400.0,4.9,2.1,0.43,undefined,8.4
