,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,swell_period2,surf_min,modelCode,swell_height1,modelRun,surf_max,swell_period3,swell_direction2,swell_direction1,swell_height3,periodSchedule,swell_height2,dateStamp,swell_period1
2016-07-14T20:00:00+00:00,1200,SSW,15.0,87.3,1027,15,16.6,17.1,1.5,5.0,,,,,,,,,,,,,,,
2016-07-14T21:00:00+00:00,1260,SSW,15.3,90.2,1027,14,16.6,16.9,1.4,5.0,,,,,,,,,,,,,,,
2016-07-14T22:00:00+00:00,1320,S,15.5,92.5,1027,14,16.7,16.7,1.5,5.0,,,,,,,,,,,,,,,
2016-07-14T23:00:00+00:00,1380,SSW,15.5,94.4,1027,14,16.5,16.4,1.4,5.0,,,,,,,,,,,,,,,
2016-07-15T00:00:00+00:00,0,SSW,15.8,95.6,1027,14,16.6,16.5,1.4,5.0,,,,,,,,,,,,,,,
2016-07-15T01:00:00+00:00,60,SSW,15.9,95.6,1027,16,16.6,16.6,1.5,5.0,15.0,4.7,0.0,undefined,4.6,2016071412.0,0.45,6.3,24.0,341.0,1.0,0100,1.6,"July 15, 2016 01:00:00",6.9
2016-07-15T02:00:00+00:00,120,S,15.7,95.6,1026,15,16.6,16.4,1.5,5.0,,,,,,,,,,,,,,,
2016-07-15T03:00:00+00:00,180,S,15.8,94.9,1026,15,16.6,16.6,1.4,5.0,,,,,,,,,,,,,,,
2016-07-15T04:00:00+00:00,240,SSW,15.7,93.7,1026,15,16.6,16.7,1.4,5.0,,,,,,,,,,,,,,,
2016-07-15T05:00:00+00:00,300,SSW,15.6,93.2,1026,15,16.6,16.7,1.4,5.0,,,,,,,,,,,,,,,
2016-07-15T06:00:00+00:00,360,SSW,15.5,92.5,1026,15,16.6,16.7,1.5,4.0,,,,,,,,,,,,,,,
2016-07-15T07:00:00+00:00,420,SSW,15.5,91.3,1026,13,16.6,16.9,1.4,5.0,277.0,6.3,0.0,undefined,4.0,2016071500.0,0.54,8.4,24.0,342.0,0.8,0700,1.6,"July 15, 2016 07:00:00",6.9
2016-07-15T08:00:00+00:00,480,SSW,15.5,92.0,1026,11,16.5,16.8,1.2,5.0,,,,,,,,,,,,,,,
2016-07-15T09:00:00+00:00,540,SSW,15.6,94.4,1027,11,16.6,16.5,1.3,5.0,,,,,,,,,,,,,,,
2016-07-15T10:00:00+00:00,600,SSW,15.7,95.6,1027,13,16.5,16.4,1.2,5.0,,,,,,,,,,,,,,,
2016-07-15T11:00:00+00:00,660,SSW,15.9,96.2,1027,12,16.6,16.5,1.2,5.0,,,,,,,,,,,,,,,
2016-07-15T12:00:00+00:00,720,SSW,16.2,95.6,1027,9,16.7,16.9,1.2,5.0,,,,,,,,,,,,,,,
2016-07-15T13:00:00+00:00,780,SSW,15.9,93.8,1027,10,16.9,16.9,1.2,5.0,289.0,6.3,0.0,undefined,3.6,2016071506.0,0.77,10.2,21.0,343.0,0.8,1300,1.2,"July 15, 2016 13:00:00",6.9
2016-07-15T14:00:00+00:00,840,S,15.9,92.5,1027,11,17.0,17.1,1.2,5.0,,,,,,,,,,,,,,,
2016-07-15T15:00:00+00:00,900,SSW,15.5,90.8,1027,11,17.0,17.0,1.1,5.0,,,,,,,,,,,,,,,
2016-07-15T16:00:00+00:00,960,S,15.5,90.2,1027,12,16.8,17.1,1.1,5.0,,,,,,,,,,,,,,,
2016-07-15T17:00:00+00:00,1020,SSW,15.2,89.6,1027,10,16.9,16.9,1.1,5.0,,,,,,,,,,,,,,,
2016-07-15T18:00:00+00:00,1080,SSW,15.5,89.7,1027,10,16.9,17.2,1.1,5.0,,,,,,,,,,,,,,,
2016-07-15T19:00:00+00:00,1140,SSW,15.4,89.6,1027,9,16.9,17.1,1.1,5.0,19.0,9.3,0.0,undefined,3.4,2016071506.0,0.92,5.2,284.0,344.0,0.7,1900,1.2,"July 15, 2016 19:00:00",7.6
