,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_period1,swell_direction2,swell_period3,swell_direction1,swell_direction3,modelRun,swell_height3,swell_height1,periodSchedule,modelCode,surf_max,swell_period2,swell_height2,surf_min
2016-07-15T20:00:00+00:00,1200,SSW,15.6,90.8,1027,9,16.8,17.1,1.0,5.0,,,,,,,,,,,,,,,
2016-07-15T21:00:00+00:00,1260,S,15.8,92.0,1027,9,16.9,17.1,0.9,4.0,,,,,,,,,,,,,,,
2016-07-15T22:00:00+00:00,1320,SSW,15.7,91.3,1027,8,16.8,17.1,0.9,5.0,,,,,,,,,,,,,,,
2016-07-15T23:00:00+00:00,1380,SSW,15.7,92.0,1027,7,16.8,17.0,0.8,5.0,,,,,,,,,,,,,,,
2016-07-16T00:00:00+00:00,0,SSW,15.8,92.0,1027,7,16.9,17.1,0.9,5.0,,,,,,,,,,,,,,,
2016-07-16T01:00:00+00:00,60,S,15.6,92.0,1027,7,16.9,16.9,0.9,6.0,"July 16, 2016 01:00:00",7.6,284.0,6.3,346.0,117.0,2016071518.0,0.7,3.2,0100,undefined,1.15,9.3,1.4,0.15
2016-07-16T02:00:00+00:00,120,S,15.6,92.0,1026,7,16.8,16.9,0.9,5.0,,,,,,,,,,,,,,,
2016-07-16T03:00:00+00:00,180,SSW,15.5,92.5,1026,6,16.8,16.7,1.0,6.0,,,,,,,,,,,,,,,
2016-07-16T04:00:00+00:00,240,SSW,15.3,91.4,1026,7,16.8,16.7,1.0,6.0,,,,,,,,,,,,,,,
2016-07-16T05:00:00+00:00,300,S,15.3,91.4,1026,7,16.8,16.7,1.1,6.0,,,,,,,,,,,,,,,
2016-07-16T06:00:00+00:00,360,S,15.4,91.9,1026,6,16.8,16.7,1.2,6.0,,,,,,,,,,,,,,,
2016-07-16T07:00:00+00:00,420,S,15.4,92.5,1026,6,16.8,16.6,1.4,6.0,"July 16, 2016 07:00:00",7.6,284.0,6.3,348.0,123.0,2016071600.0,1.3,2.6,0700,undefined,1.24,8.4,1.5,0.24
2016-07-16T08:00:00+00:00,480,S,15.4,90.8,1027,6,16.9,16.9,1.4,6.0,,,,,,,,,,,,,,,
2016-07-16T09:00:00+00:00,540,S,15.3,90.2,1026,7,16.9,16.9,1.7,7.0,,,,,,,,,,,,,,,
2016-07-16T10:00:00+00:00,600,S,15.2,89.6,1026,7,17.2,16.9,1.6,7.0,,,,,,,,,,,,,,,
2016-07-16T11:00:00+00:00,660,S,15.0,87.9,1027,7,17.2,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-07-16T12:00:00+00:00,720,S,14.8,85.6,1027,6,17.2,17.2,1.5,7.0,,,,,,,,,,,,,,,
2016-07-16T13:00:00+00:00,780,S,14.9,85.1,1027,5,17.5,17.4,1.5,8.0,"July 16, 2016 13:00:00",7.6,285.0,6.3,349.0,124.0,2016071606.0,1.5,2.1,1300,undefined,1.36,8.4,1.6,0.36
2016-07-16T14:00:00+00:00,840,S,14.6,84.5,1026,5,17.6,17.2,1.7,8.0,,,,,,,,,,,,,,,
2016-07-16T15:00:00+00:00,900,S,14.5,82.4,1026,4,17.9,17.5,1.6,8.0,,,,,,,,,,,,,,,
2016-07-16T16:00:00+00:00,960,SSE,14.3,81.3,1026,4,17.5,17.5,1.8,8.0,,,,,,,,,,,,,,,
2016-07-16T17:00:00+00:00,1020,S,14.5,80.8,1026,4,17.8,17.8,1.9,8.0,,,,,,,,,,,,,,,
2016-07-16T18:00:00+00:00,1080,S,14.1,79.8,1026,2,18.1,17.6,2.0,8.0,,,,,,,,,,,,,,,
2016-07-16T19:00:00+00:00,1140,SSE,13.7,75.7,1025,2,17.9,18.0,1.9,8.0,"July 16, 2016 19:00:00",8.4,123.0,6.3,287.0,353.0,2016071606.0,1.3,1.9,1900,undefined,1.6,6.9,1.4,0.6
