,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_height1,swell_period2,swell_direction1,periodSchedule,swell_direction3,modelRun,surf_max,swell_direction2,swell_height2,swell_height3,dateStamp,swell_period3,modelCode,swell_period1
2016-07-16T20:00:00+00:00,1200,SSE,13.8,79.7,1025,2,17.8,17.3,2.0,8.0,,,,,,,,,,,,,,,
2016-07-16T21:00:00+00:00,1260,SE,14.1,81.3,1025,2,18.0,17.3,1.9,8.0,,,,,,,,,,,,,,,
2016-07-16T22:00:00+00:00,1320,NNE,14.3,82.9,1026,2,18.1,17.2,1.9,7.0,,,,,,,,,,,,,,,
2016-07-16T23:00:00+00:00,1380,NE,14.3,82.4,1025,3,17.9,17.3,2.0,8.0,,,,,,,,,,,,,,,
2016-07-17T00:00:00+00:00,0,NE,14.1,82.3,1026,4,17.9,17.1,1.8,7.0,,,,,,,,,,,,,,,
2016-07-17T01:00:00+00:00,60,ENE,14.1,82.9,1025,4,17.8,17.0,1.9,8.0,0.85,1.7,12.3,344.0,0100,281.0,2016071618.0,1.85,299.0,1.7,1.6,"July 17, 2016 01:00:00",10.2,undefined,3.6
2016-07-17T02:00:00+00:00,120,ENE,14.3,83.4,1025,4,17.9,17.1,1.9,8.0,,,,,,,,,,,,,,,
2016-07-17T03:00:00+00:00,180,E,14.4,84.5,1025,5,17.6,17.0,2.1,8.0,,,,,,,,,,,,,,,
2016-07-17T04:00:00+00:00,240,ESE,14.3,85.1,1024,5,17.5,16.8,1.9,8.0,,,,,,,,,,,,,,,
2016-07-17T05:00:00+00:00,300,SE,14.3,85.1,1024,6,17.4,16.8,2.2,8.0,,,,,,,,,,,,,,,
2016-07-17T06:00:00+00:00,360,ESE,14.5,85.6,1024,6,17.4,16.9,2.5,9.0,,,,,,,,,,,,,,,
2016-07-17T07:00:00+00:00,420,E,14.3,83.4,1024,4,17.5,17.1,2.3,9.0,0.95,2.7,3.9,292.0,0700,122.0,2016071700.0,1.95,343.0,1.6,1.2,"July 17, 2016 07:00:00",6.9,undefined,11.2
2016-07-17T08:00:00+00:00,480,E,14.1,83.4,1024,4,17.2,16.9,2.3,8.0,,,,,,,,,,,,,,,
2016-07-17T09:00:00+00:00,540,E,14.3,84.5,1024,4,17.9,16.9,2.4,8.0,,,,,,,,,,,,,,,
2016-07-17T10:00:00+00:00,600,E,14.4,84.5,1024,5,17.5,17.0,2.2,8.0,,,,,,,,,,,,,,,
2016-07-17T11:00:00+00:00,660,E,14.2,82.3,1024,5,17.9,17.2,2.0,7.0,,,,,,,,,,,,,,,
2016-07-17T12:00:00+00:00,720,E,14.1,79.8,1024,6,17.9,17.6,2.3,8.0,,,,,,,,,,,,,,,
2016-07-17T13:00:00+00:00,780,E,14.0,77.7,1024,6,18.4,17.9,2.2,8.0,0.94,2.9,3.9,292.0,1300,123.0,2016071706.0,1.94,342.0,1.3,1.1,"July 17, 2016 13:00:00",6.9,undefined,10.2
2016-07-17T14:00:00+00:00,840,E,13.9,77.7,1023,6,18.4,17.8,2.1,8.0,,,,,,,,,,,,,,,
2016-07-17T15:00:00+00:00,900,E,14.4,81.3,1023,6,18.5,17.6,1.9,9.0,,,,,,,,,,,,,,,
2016-07-17T16:00:00+00:00,960,E,14.5,80.3,1023,7,18.4,17.9,2.0,8.0,,,,,,,,,,,,,,,
2016-07-17T17:00:00+00:00,1020,E,14.6,80.8,1022,7,18.5,17.9,1.8,8.0,,,,,,,,,,,,,,,
2016-07-17T18:00:00+00:00,1080,E,14.9,84.1,1022,7,18.7,17.6,2.1,8.0,,,,,,,,,,,,,,,
2016-07-17T19:00:00+00:00,1140,E,15.3,84.6,1022,7,18.5,17.9,1.8,8.0,0.9,2.8,3.9,291.0,1900,122.0,2016071706.0,1.9,336.0,1.6,1.0,"July 17, 2016 19:00:00",6.3,undefined,10.2
