,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_period2,swell_height1,modelRun,swell_period3,surf_min,periodSchedule,swell_period1,swell_direction2,swell_direction3,swell_direction1,modelCode,surf_max,swell_height3,swell_height2
2016-07-17T20:00:00+00:00,1200,E,15.6,86.3,1022,8,18.2,17.9,1.8,8.0,,,,,,,,,,,,,,,
2016-07-17T21:00:00+00:00,1260,E,15.9,88.5,1022,8,18.3,17.8,1.8,8.0,,,,,,,,,,,,,,,
2016-07-17T22:00:00+00:00,1320,E,15.8,89.1,1022,9,18.3,17.6,1.9,7.0,,,,,,,,,,,,,,,
2016-07-17T23:00:00+00:00,1380,ESE,15.6,86.3,1022,9,18.2,17.9,1.6,7.0,,,,,,,,,,,,,,,
2016-07-18T00:00:00+00:00,0,ESE,15.2,84.1,1021,10,18.2,17.9,1.7,7.0,,,,,,,,,,,,,,,
2016-07-18T01:00:00+00:00,60,ESE,15.6,86.9,1021,9,18.1,17.8,1.7,7.0,"July 18, 2016 01:00:00",4.7,2.8,2016071718.0,6.3,0.83,0100,10.2,341.0,118.0,291.0,undefined,1.81,0.9,0.9
2016-07-18T02:00:00+00:00,120,ESE,14.7,81.9,1020,6,18.0,17.8,1.7,7.0,,,,,,,,,,,,,,,
2016-07-18T03:00:00+00:00,180,ESE,14.3,79.3,1020,6,17.9,17.9,1.6,7.0,,,,,,,,,,,,,,,
2016-07-18T04:00:00+00:00,240,E,14.8,81.9,1019,6,18.0,17.9,1.5,7.0,,,,,,,,,,,,,,,
2016-07-18T05:00:00+00:00,300,ESE,15.4,85.8,1019,7,17.9,17.8,1.5,6.0,,,,,,,,,,,,,,,
2016-07-18T06:00:00+00:00,360,E,16.0,88.6,1019,7,17.9,17.9,1.4,7.0,,,,,,,,,,,,,,,
2016-07-18T07:00:00+00:00,420,E,16.4,89.2,1019,7,17.9,18.2,1.5,6.0,"July 18, 2016 07:00:00",4.7,2.8,2016071800.0,6.3,0.76,0700,9.3,334.0,122.0,291.0,undefined,1.72,0.9,1.1
2016-07-18T08:00:00+00:00,480,ESE,16.1,89.1,1018,8,18.0,17.9,1.5,6.0,,,,,,,,,,,,,,,
2016-07-18T09:00:00+00:00,540,E,16.4,89.7,1018,6,17.8,18.1,1.4,6.0,,,,,,,,,,,,,,,
2016-07-18T10:00:00+00:00,600,E,16.5,89.8,1018,5,18.0,18.2,1.3,6.0,,,,,,,,,,,,,,,
2016-07-18T11:00:00+00:00,660,ENE,16.5,89.8,1018,6,18.1,18.2,1.2,6.0,,,,,,,,,,,,,,,
2016-07-18T12:00:00+00:00,720,E,16.8,90.9,1018,7,18.4,18.3,1.4,7.0,,,,,,,,,,,,,,,
2016-07-18T13:00:00+00:00,780,E,16.7,90.3,1017,7,18.5,18.3,1.3,7.0,"July 18, 2016 13:00:00",6.3,2.8,2016071806.0,4.7,0.64,1300,9.3,123.0,333.0,293.0,undefined,1.59,1.0,1.0
2016-07-18T14:00:00+00:00,840,ENE,16.8,90.4,1017,7,18.6,18.4,1.2,6.0,,,,,,,,,,,,,,,
2016-07-18T15:00:00+00:00,900,ENE,16.7,88.6,1017,7,18.9,18.6,1.2,6.0,,,,,,,,,,,,,,,
2016-07-18T16:00:00+00:00,960,ENE,16.5,87.0,1016,8,19.0,18.7,1.2,6.0,,,,,,,,,,,,,,,
2016-07-18T17:00:00+00:00,1020,ENE,16.1,86.9,1015,10,18.7,18.3,1.1,6.0,,,,,,,,,,,,,,,
2016-07-18T18:00:00+00:00,1080,ENE,16.3,88.0,1015,9,18.4,18.3,1.1,6.0,,,,,,,,,,,,,,,
2016-07-18T19:00:00+00:00,1140,NE,16.2,88.5,1015,7,18.5,18.1,1.1,6.0,"July 18, 2016 19:00:00",5.7,2.8,2016071806.0,4.7,0.48,1900,9.3,125.0,335.0,296.0,undefined,1.43,0.8,1.1
