,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,surf_max,swell_period1,dateStamp,swell_height2,surf_min,swell_direction1,swell_direction3,swell_height1,swell_period2,swell_period3,swell_height3,periodSchedule,modelRun,modelCode
2016-07-18T20:00:00+00:00,1200,NE,16.7,90.3,1015,8,18.3,18.3,1.1,6.0,,,,,,,,,,,,,,,
2016-07-18T21:00:00+00:00,1260,NE,16.8,91.5,1015,7,18.5,18.2,1.1,6.0,,,,,,,,,,,,,,,
2016-07-18T22:00:00+00:00,1320,NE,16.6,92.6,1015,8,18.6,17.8,1.0,6.0,,,,,,,,,,,,,,,
2016-07-18T23:00:00+00:00,1380,NE,16.5,94.4,1015,7,18.5,17.4,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T00:00:00+00:00,0,NE,16.4,95.6,1014,7,18.4,17.1,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T01:00:00+00:00,60,NNE,16.2,96.2,1014,6,18.5,16.8,1.1,6.0,126.0,1.3,9.3,"July 19, 2016 01:00:00",1.0,0.37,299.0,337.0,2.8,5.7,4.7,0.7,0100,2016071818.0,undefined
2016-07-19T02:00:00+00:00,120,NNE,16.4,96.9,1013,5,18.5,16.9,1.1,6.0,,,,,,,,,,,,,,,
2016-07-19T03:00:00+00:00,180,N,16.1,96.8,1013,6,18.4,16.6,1.1,6.0,,,,,,,,,,,,,,,
2016-07-19T04:00:00+00:00,240,NW,16.1,96.8,1012,7,18.4,16.6,1.1,6.0,,,,,,,,,,,,,,,
2016-07-19T05:00:00+00:00,300,NNW,16.0,96.8,1012,9,18.3,16.5,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T06:00:00+00:00,360,NNW,15.8,96.8,1012,9,18.3,16.3,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T07:00:00+00:00,420,NNW,15.6,96.8,1013,10,18.3,16.1,1.0,7.0,326.0,1.12,8.4,"July 19, 2016 07:00:00",1.7,0.19,289.0,126.0,2.1,9.3,5.7,0.9,0700,2016071900.0,undefined
2016-07-19T08:00:00+00:00,480,NW,15.3,96.2,1013,9,18.3,15.9,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T09:00:00+00:00,540,N,15.5,95.0,1013,5,18.4,16.3,1.1,6.0,,,,,,,,,,,,,,,
2016-07-19T10:00:00+00:00,600,NNW,15.4,93.7,1013,3,18.5,16.4,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T11:00:00+00:00,660,WNW,15.2,90.8,1013,4,18.3,16.7,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T12:00:00+00:00,720,W,15.6,89.7,1013,5,18.8,17.3,1.0,6.0,,,,,,,,,,,,,,,
2016-07-19T13:00:00+00:00,780,WNW,16.4,90.3,1013,7,18.5,18.0,1.0,7.0,332.0,1.02,8.4,"July 19, 2016 13:00:00",1.4,0.07,294.0,126.0,2.2,9.3,5.7,0.8,1300,2016071906.0,undefined
2016-07-19T14:00:00+00:00,840,W,16.0,88.6,1013,6,18.5,17.9,0.9,6.0,,,,,,,,,,,,,,,
2016-07-19T15:00:00+00:00,900,W,16.1,89.2,1013,3,18.9,17.9,1.0,7.0,,,,,,,,,,,,,,,
2016-07-19T16:00:00+00:00,960,WSW,16.1,88.0,1012,5,18.9,18.1,0.9,6.0,,,,,,,,,,,,,,,
2016-07-19T17:00:00+00:00,1020,W,16.5,88.1,1012,7,18.8,18.5,1.0,7.0,,,,,,,,,,,,,,,
2016-07-19T18:00:00+00:00,1080,W,16.8,87.6,1012,8,19.0,18.9,1.0,7.0,,,,,,,,,,,,,,,
2016-07-19T19:00:00+00:00,1140,W,17.0,89.8,1012,6,19.1,18.7,0.9,6.0,326.0,0.94,8.4,"July 19, 2016 19:00:00",1.7,0.01,288.0,127.0,1.8,8.4,5.7,0.5,1900,2016071906.0,undefined
