,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,swell_height1,swell_period3,periodSchedule,modelRun,modelCode,swell_height3,swell_direction1,swell_direction2,swell_height2,swell_period1,swell_period2,dateStamp,surf_min,surf_max
2016-07-19T20:00:00+00:00,1200,WNW,16.9,90.4,1013,12,18.9,18.5,0.9,7.0,,,,,,,,,,,,,,,
2016-07-19T21:00:00+00:00,1260,NW,15.9,87.5,1013,12,18.8,18.0,1.0,5.0,,,,,,,,,,,,,,,
2016-07-19T22:00:00+00:00,1320,WNW,14.9,81.5,1014,12,18.7,18.1,1.2,6.0,,,,,,,,,,,,,,,
2016-07-19T23:00:00+00:00,1380,WNW,14.2,79.9,1014,12,18.6,17.7,1.2,5.0,,,,,,,,,,,,,,,
2016-07-20T00:00:00+00:00,0,WNW,13.5,76.8,1014,12,18.6,17.6,1.2,5.0,,,,,,,,,,,,,,,
2016-07-20T01:00:00+00:00,60,WNW,13.7,78.3,1014,10,18.6,17.5,1.2,5.0,324.0,2.5,8.4,0100,2016071918.0,undefined,1.6,330.0,295.0,1.8,3.6,8.4,"July 20, 2016 01:00:00",0.0,0.92
2016-07-20T02:00:00+00:00,120,WNW,14.3,84.1,1014,13,18.7,17.0,1.2,5.0,,,,,,,,,,,,,,,
2016-07-20T03:00:00+00:00,180,WNW,13.7,80.8,1014,13,18.6,17.0,1.2,5.0,,,,,,,,,,,,,,,
2016-07-20T04:00:00+00:00,240,WNW,12.9,75.2,1014,14,18.4,17.3,1.3,5.0,,,,,,,,,,,,,,,
2016-07-20T05:00:00+00:00,300,WNW,11.8,71.3,1014,12,18.3,17.0,1.3,5.0,,,,,,,,,,,,,,,
2016-07-20T06:00:00+00:00,360,WNW,11.6,71.2,1014,12,18.2,16.8,1.3,5.0,,,,,,,,,,,,,,,
2016-07-20T07:00:00+00:00,420,W,11.9,71.2,1014,12,18.1,17.1,1.4,6.0,295.0,2.1,7.6,0700,2016072000.0,undefined,1.5,333.0,317.0,1.9,3.9,11.2,"July 20, 2016 07:00:00",0.0,0.92
2016-07-20T08:00:00+00:00,480,W,11.4,68.9,1015,11,18.2,17.1,1.6,6.0,,,,,,,,,,,,,,,
2016-07-20T09:00:00+00:00,540,WSW,12.2,71.8,1015,11,18.1,17.3,1.6,6.0,,,,,,,,,,,,,,,
2016-07-20T10:00:00+00:00,600,WSW,13.3,76.7,1015,13,18.4,17.4,1.8,6.0,,,,,,,,,,,,,,,
2016-07-20T11:00:00+00:00,660,WSW,13.3,75.8,1016,13,18.2,17.6,1.9,6.0,,,,,,,,,,,,,,,
2016-07-20T12:00:00+00:00,720,WSW,13.7,77.8,1016,16,18.1,17.6,1.9,6.0,,,,,,,,,,,,,,,
2016-07-20T13:00:00+00:00,780,SW,14.5,80.4,1016,16,18.3,17.9,1.7,5.0,23.0,2.4,3.9,1300,2016072006.0,undefined,1.6,340.0,313.0,2.0,4.3,10.2,"July 20, 2016 13:00:00",0.0,0.92
2016-07-20T14:00:00+00:00,840,SW,14.3,79.8,1015,16,18.3,17.8,2.0,5.0,,,,,,,,,,,,,,,
2016-07-20T15:00:00+00:00,900,SW,14.5,81.4,1015,15,18.3,17.7,2.2,5.0,,,,,,,,,,,,,,,
2016-07-20T16:00:00+00:00,960,SW,14.6,81.4,1015,15,18.4,17.8,2.0,6.0,,,,,,,,,,,,,,,
2016-07-20T17:00:00+00:00,1020,SW,15.3,84.1,1015,17,18.3,18.0,1.9,6.0,,,,,,,,,,,,,,,
2016-07-20T18:00:00+00:00,1080,SW,15.1,82.5,1015,17,18.3,18.1,1.8,5.0,,,,,,,,,,,,,,,
2016-07-20T19:00:00+00:00,1140,SSW,15.4,85.2,1014,15,18.3,17.9,1.9,5.0,22.0,3.0,4.3,1900,2016072006.0,undefined,1.8,337.0,310.0,2.0,4.3,10.2,"July 20, 2016 19:00:00",0.0,0.83
