,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_max,swell_direction2,swell_period1,periodSchedule,dateStamp,swell_height1,swell_period3,swell_period2,surf_min,swell_direction1,modelRun,modelCode,swell_direction3,swell_height3,swell_height2
2016-07-20T20:00:00+00:00,1200,SSW,15.5,85.2,1014,18,18.2,18.0,2.0,6.0,,,,,,,,,,,,,,,
2016-07-20T21:00:00+00:00,1260,SSW,15.7,86.3,1014,15,18.2,18.0,2.0,6.0,,,,,,,,,,,,,,,
2016-07-20T22:00:00+00:00,1320,S,16.0,86.4,1014,16,18.1,18.3,1.8,6.0,,,,,,,,,,,,,,,
2016-07-20T23:00:00+00:00,1380,S,15.9,86.9,1014,17,18.1,18.1,1.8,5.0,,,,,,,,,,,,,,,
2016-07-21T00:00:00+00:00,0,S,16.1,88.6,1013,17,18.0,18.0,2.0,5.0,,,,,,,,,,,,,,,
2016-07-21T01:00:00+00:00,60,S,15.9,86.4,1013,18,17.9,18.2,1.9,5.0,0.75,308.0,4.3,0100,"July 21, 2016 01:00:00",2.8,4.3,9.3,0.0,338.0,2016072018.0,undefined,22.0,1.9,2.0
2016-07-21T02:00:00+00:00,120,S,16.2,87.5,1012,18,17.9,18.3,1.9,5.0,,,,,,,,,,,,,,,
2016-07-21T03:00:00+00:00,180,S,16.5,92.1,1011,18,17.9,17.8,2.1,5.0,,,,,,,,,,,,,,,
2016-07-21T04:00:00+00:00,240,SSW,16.3,93.3,1011,18,18.0,17.4,1.9,5.0,,,,,,,,,,,,,,,
2016-07-21T05:00:00+00:00,300,S,16.9,95.7,1010,18,18.0,17.6,2.0,5.0,,,,,,,,,,,,,,,
2016-07-21T06:00:00+00:00,360,S,17.0,95.0,1011,17,18.0,17.8,2.0,5.0,,,,,,,,,,,,,,,
2016-07-21T07:00:00+00:00,420,SW,16.4,95.0,1011,7,17.9,17.2,2.0,5.0,0.77,26.0,4.7,0700,"July 21, 2016 07:00:00",2.7,9.3,4.3,0.0,338.0,2016072100.0,undefined,307.0,2.0,2.2
2016-07-21T08:00:00+00:00,480,WSW,16.7,93.2,1011,9,17.9,17.8,2.0,6.0,,,,,,,,,,,,,,,
2016-07-21T09:00:00+00:00,540,SW,16.7,92.6,1012,10,17.9,17.9,2.0,6.0,,,,,,,,,,,,,,,
2016-07-21T10:00:00+00:00,600,SW,16.6,91.5,1012,9,18.0,18.0,1.7,6.0,,,,,,,,,,,,,,,
2016-07-21T11:00:00+00:00,660,SW,16.9,91.5,1012,10,18.0,18.3,1.8,6.0,,,,,,,,,,,,,,,
2016-07-21T12:00:00+00:00,720,SW,16.6,91.5,1012,11,18.1,18.0,1.8,6.0,,,,,,,,,,,,,,,
2016-07-21T13:00:00+00:00,780,SW,16.5,90.9,1012,10,18.0,18.0,1.6,6.0,0.86,305.0,4.7,1300,"July 21, 2016 13:00:00",2.6,4.3,9.3,0.0,339.0,2016072106.0,undefined,24.0,1.9,2.2
2016-07-21T14:00:00+00:00,840,WSW,16.9,93.8,1013,9,18.2,17.9,1.8,6.0,,,,,,,,,,,,,,,
2016-07-21T15:00:00+00:00,900,WNW,16.2,90.9,1013,11,18.1,17.7,1.6,6.0,,,,,,,,,,,,,,,
2016-07-21T16:00:00+00:00,960,NW,15.7,89.2,1014,13,18.1,17.5,1.7,6.0,,,,,,,,,,,,,,,
2016-07-21T17:00:00+00:00,1020,NNW,15.3,90.8,1014,19,18.1,16.8,1.7,6.0,,,,,,,,,,,,,,,
2016-07-21T18:00:00+00:00,1080,NNW,14.6,86.2,1015,19,18.0,16.9,1.9,6.0,,,,,,,,,,,,,,,
2016-07-21T19:00:00+00:00,1140,NNW,14.4,86.2,1016,19,17.9,16.7,1.9,5.0,0.85,336.0,4.3,1900,"July 21, 2016 19:00:00",2.1,8.4,4.7,0.0,336.0,2016072106.0,undefined,296.0,1.8,2.0
