,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelCode,surf_min,modelRun,swell_direction1,swell_period3,swell_direction3,swell_period1,surf_max,dateStamp,swell_height2,swell_height1,periodSchedule,swell_direction2,swell_height3,swell_period2
2016-07-21T20:00:00+00:00,1200,NW,13.3,79.7,1017,17,17.8,16.8,2.2,5.0,,,,,,,,,,,,,,,
2016-07-21T21:00:00+00:00,1260,NW,12.4,76.0,1018,15,17.8,16.6,2.1,5.0,,,,,,,,,,,,,,,
2016-07-21T22:00:00+00:00,1320,NNW,12.0,72.6,1019,14,17.8,16.9,2.1,6.0,,,,,,,,,,,,,,,
2016-07-21T23:00:00+00:00,1380,NNW,13.2,79.7,1019,14,17.8,16.7,2.0,6.0,,,,,,,,,,,,,,,
2016-07-22T00:00:00+00:00,0,NNW,12.4,75.5,1020,13,17.7,16.7,2.1,6.0,,,,,,,,,,,,,,,
2016-07-22T01:00:00+00:00,60,WNW,12.1,73.1,1020,16,17.8,16.9,2.2,6.0,undefined,0.07,2016072118.0,307.0,4.3,20.0,9.3,0.89,"July 22, 2016 01:00:00",2.4,2.8,0100,340.0,1.3,4.3
2016-07-22T02:00:00+00:00,120,NW,12.2,74.0,1020,12,17.8,16.8,2.3,6.0,,,,,,,,,,,,,,,
2016-07-22T03:00:00+00:00,180,NW,12.7,82.2,1020,14,17.8,15.7,2.1,5.0,,,,,,,,,,,,,,,
2016-07-22T04:00:00+00:00,240,NW,12.2,77.5,1020,15,17.8,16.1,2.2,6.0,,,,,,,,,,,,,,,
2016-07-22T05:00:00+00:00,300,NW,12.1,75.5,1021,11,17.7,16.4,2.2,6.0,,,,,,,,,,,,,,,
2016-07-22T06:00:00+00:00,360,NW,11.8,75.5,1021,14,17.8,16.1,2.1,6.0,,,,,,,,,,,,,,,
2016-07-22T07:00:00+00:00,420,NW,12.3,79.5,1022,12,17.8,15.8,2.2,6.0,undefined,0.0,2016072200.0,308.0,4.3,20.0,9.3,0.88,"July 22, 2016 07:00:00",2.7,2.8,0700,339.0,1.7,4.3
2016-07-22T08:00:00+00:00,480,NW,12.4,78.5,1022,7,17.7,16.1,2.2,6.0,,,,,,,,,,,,,,,
2016-07-22T09:00:00+00:00,540,W,12.6,82.7,1023,15,17.8,15.5,2.1,6.0,,,,,,,,,,,,,,,
2016-07-22T10:00:00+00:00,600,WNW,12.3,77.0,1023,10,17.8,16.3,1.9,6.0,,,,,,,,,,,,,,,
2016-07-22T11:00:00+00:00,660,W,11.4,70.2,1023,10,17.8,16.8,1.9,6.0,,,,,,,,,,,,,,,
2016-07-22T12:00:00+00:00,720,W,11.7,71.6,1023,8,17.8,16.8,1.8,6.0,,,,,,,,,,,,,,,
2016-07-22T13:00:00+00:00,780,W,11.7,71.6,1023,10,17.9,16.8,1.9,6.0,undefined,0.0,2016072206.0,333.0,4.3,22.0,4.3,0.87,"July 22, 2016 13:00:00",2.6,3.0,1300,309.0,1.8,8.4
2016-07-22T14:00:00+00:00,840,WSW,12.2,72.6,1023,9,17.9,17.1,1.7,6.0,,,,,,,,,,,,,,,
2016-07-22T15:00:00+00:00,900,SW,13.0,77.6,1023,12,18.0,16.9,1.7,6.0,,,,,,,,,,,,,,,
2016-07-22T16:00:00+00:00,960,SW,13.2,84.9,1023,14,18.0,15.7,1.6,6.0,,,,,,,,,,,,,,,
2016-07-22T17:00:00+00:00,1020,SW,14.3,91.9,1022,14,17.9,15.6,1.8,5.0,,,,,,,,,,,,,,,
2016-07-22T18:00:00+00:00,1080,SSW,14.9,94.3,1021,15,18.0,15.8,1.7,6.0,,,,,,,,,,,,,,,
2016-07-22T19:00:00+00:00,1140,SSW,16.1,96.2,1021,17,17.9,16.7,1.8,5.0,undefined,0.0,2016072206.0,332.0,4.7,22.0,5.2,0.99,"July 22, 2016 19:00:00",2.5,4.3,1900,309.0,2.2,8.4
