,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_height3,surf_max,swell_period3,modelCode,swell_direction1,swell_direction3,swell_height1,periodSchedule,surf_min,swell_period1,swell_period2,swell_height2,modelRun,dateStamp
2016-07-23T20:00:00+00:00,1200,WSW,17.4,95.0,1022,14,18.0,18.2,1.5,5.0,,,,,,,,,,,,,,,
2016-07-23T21:00:00+00:00,1260,WSW,17.4,95.6,1021,13,17.9,18.1,1.4,5.0,,,,,,,,,,,,,,,
2016-07-23T22:00:00+00:00,1320,WSW,17.5,96.9,1022,15,17.8,18.0,1.5,5.0,,,,,,,,,,,,,,,
2016-07-23T23:00:00+00:00,1380,WSW,17.5,97.5,1022,15,17.7,17.9,1.7,5.0,,,,,,,,,,,,,,,
2016-07-24T00:00:00+00:00,0,WSW,17.4,96.8,1021,15,17.8,17.9,1.6,5.0,,,,,,,,,,,,,,,
2016-07-24T01:00:00+00:00,60,WSW,17.4,97.4,1021,14,17.7,17.8,1.7,5.0,25.0,0.0,0.4,0.0,undefined,338.0,0.0,6.4,0100,0.0,7.6,6.9,3.4,2016072318.0,"July 24, 2016 01:00:00"
2016-07-24T02:00:00+00:00,120,WSW,17.3,97.5,1020,15,17.6,17.7,1.8,5.0,,,,,,,,,,,,,,,
2016-07-24T03:00:00+00:00,180,WSW,17.4,97.4,1020,15,17.6,17.8,1.9,5.0,,,,,,,,,,,,,,,
2016-07-24T04:00:00+00:00,240,WSW,17.4,97.4,1020,14,17.6,17.8,1.7,5.0,,,,,,,,,,,,,,,
2016-07-24T05:00:00+00:00,300,W,17.2,97.5,1020,14,17.6,17.6,1.6,5.0,,,,,,,,,,,,,,,
2016-07-24T06:00:00+00:00,360,WNW,17.3,97.5,1020,10,17.8,17.7,1.6,5.0,,,,,,,,,,,,,,,
2016-07-24T07:00:00+00:00,420,NW,16.2,95.6,1020,15,17.9,16.9,1.5,5.0,26.0,0.0,0.33,0.0,undefined,338.0,0.0,5.8,0700,0.0,7.6,6.9,3.0,2016072400.0,"July 24, 2016 07:00:00"
2016-07-24T08:00:00+00:00,480,WNW,15.4,88.0,1021,16,17.8,17.4,1.5,5.0,,,,,,,,,,,,,,,
2016-07-24T09:00:00+00:00,540,WNW,14.3,82.9,1021,14,17.7,17.2,1.6,5.0,,,,,,,,,,,,,,,
2016-07-24T10:00:00+00:00,600,WNW,14.3,82.4,1021,13,17.7,17.3,1.5,5.0,,,,,,,,,,,,,,,
2016-07-24T11:00:00+00:00,660,W,14.4,82.9,1022,14,17.6,17.3,1.5,5.0,,,,,,,,,,,,,,,
2016-07-24T12:00:00+00:00,720,W,14.4,82.4,1022,13,17.8,17.4,1.7,5.0,,,,,,,,,,,,,,,
2016-07-24T13:00:00+00:00,780,W,14.2,81.3,1023,14,17.8,17.4,1.7,5.0,24.0,0.0,0.3,0.0,undefined,338.0,0.0,5.1,1300,0.0,6.9,6.9,2.2,2016072406.0,"July 24, 2016 13:00:00"
2016-07-24T14:00:00+00:00,840,W,13.8,79.7,1023,13,17.9,17.3,1.7,5.0,,,,,,,,,,,,,,,
2016-07-24T15:00:00+00:00,900,WNW,13.6,79.2,1023,13,17.8,17.2,1.6,5.0,,,,,,,,,,,,,,,
2016-07-24T16:00:00+00:00,960,W,14.0,79.3,1023,14,17.8,17.6,1.5,5.0,,,,,,,,,,,,,,,
2016-07-24T17:00:00+00:00,1020,W,14.0,78.2,1023,14,17.9,17.8,1.7,5.0,,,,,,,,,,,,,,,
2016-07-24T18:00:00+00:00,1080,W,14.3,80.3,1023,14,17.8,17.7,1.6,5.0,,,,,,,,,,,,,,,
2016-07-24T19:00:00+00:00,1140,W,14.3,81.4,1023,14,17.9,17.5,1.6,5.0,21.0,0.2,0.23,5.2,undefined,338.0,123.0,4.5,1900,0.0,6.9,6.3,1.7,2016072406.0,"July 24, 2016 19:00:00"
