,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_direction3,swell_height2,modelRun,swell_height1,swell_direction1,surf_min,modelCode,periodSchedule,swell_direction2,swell_period2,surf_max,dateStamp,swell_period1,swell_height3
2016-07-24T20:00:00+00:00,1200,W,14.3,80.8,1023,15,18.0,17.6,1.7,5.0,,,,,,,,,,,,,,,
2016-07-24T21:00:00+00:00,1260,W,14.7,83.0,1023,14,18.0,17.6,1.8,5.0,,,,,,,,,,,,,,,
2016-07-24T22:00:00+00:00,1320,W,14.8,84.1,1024,13,18.1,17.5,1.7,6.0,,,,,,,,,,,,,,,
2016-07-24T23:00:00+00:00,1380,W,14.7,83.6,1024,14,18.0,17.5,1.7,6.0,,,,,,,,,,,,,,,
2016-07-25T00:00:00+00:00,0,W,14.5,85.1,1024,16,17.9,17.0,1.6,5.0,,,,,,,,,,,,,,,
2016-07-25T01:00:00+00:00,60,W,15.1,87.9,1024,11,17.9,17.1,1.8,6.0,6.3,16.0,1.3,2016072418.0,4.2,339.0,0.0,undefined,0100,23.0,4.3,0.26,"July 25, 2016 01:00:00",6.9,1.0
2016-07-25T02:00:00+00:00,120,WNW,14.2,81.3,1023,12,18.0,17.4,1.8,5.0,,,,,,,,,,,,,,,
2016-07-25T03:00:00+00:00,180,W,14.4,83.5,1023,12,18.0,17.2,1.6,5.0,,,,,,,,,,,,,,,
2016-07-25T04:00:00+00:00,240,W,14.1,81.8,1023,12,17.9,17.2,1.5,5.0,,,,,,,,,,,,,,,
2016-07-25T05:00:00+00:00,300,WNW,13.7,80.8,1023,14,18.0,17.0,1.7,5.0,,,,,,,,,,,,,,,
2016-07-25T06:00:00+00:00,360,WNW,12.5,75.5,1023,13,17.9,16.8,1.7,5.0,,,,,,,,,,,,,,,
2016-07-25T07:00:00+00:00,420,WNW,12.8,76.1,1024,14,17.9,17.0,1.7,5.0,5.7,121.0,1.8,2016072500.0,4.3,339.0,0.0,undefined,0700,22.0,6.3,0.31,"July 25, 2016 07:00:00",6.9,0.6
2016-07-25T08:00:00+00:00,480,NW,12.2,74.0,1024,13,17.8,16.8,1.9,5.0,,,,,,,,,,,,,,,
2016-07-25T09:00:00+00:00,540,WNW,12.3,75.0,1024,11,17.8,16.7,1.8,6.0,,,,,,,,,,,,,,,
2016-07-25T10:00:00+00:00,600,WNW,12.0,73.0,1024,11,17.9,16.8,1.7,6.0,,,,,,,,,,,,,,,
2016-07-25T11:00:00+00:00,660,WNW,12.0,74.0,1024,10,17.9,16.6,1.9,6.0,,,,,,,,,,,,,,,
2016-07-25T12:00:00+00:00,720,W,12.5,77.0,1025,11,18.0,16.5,2.0,6.0,,,,,,,,,,,,,,,
2016-07-25T13:00:00+00:00,780,WNW,12.9,77.1,1025,10,17.8,16.9,1.9,6.0,5.7,120.0,1.8,2016072506.0,4.5,338.0,0.0,undefined,1300,21.0,6.3,0.31,"July 25, 2016 13:00:00",6.9,0.7
2016-07-25T14:00:00+00:00,840,W,12.3,74.0,1025,10,18.1,16.9,1.8,6.0,,,,,,,,,,,,,,,
2016-07-25T15:00:00+00:00,900,W,12.5,73.1,1025,12,17.9,17.3,1.9,6.0,,,,,,,,,,,,,,,
2016-07-25T16:00:00+00:00,960,W,12.8,74.1,1025,11,17.8,17.4,1.7,5.0,,,,,,,,,,,,,,,
2016-07-25T17:00:00+00:00,1020,W,13.2,76.7,1025,13,18.0,17.3,1.5,5.0,,,,,,,,,,,,,,,
2016-07-25T18:00:00+00:00,1080,WNW,13.4,78.1,1025,14,17.9,17.2,1.7,5.0,,,,,,,,,,,,,,,
2016-07-25T19:00:00+00:00,1140,W,14.0,80.2,1025,11,18.0,17.4,1.6,6.0,6.3,119.0,1.7,2016072506.0,4.7,338.0,0.0,undefined,1900,20.0,6.3,0.32,"July 25, 2016 19:00:00",6.9,0.6
