,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_height1,swell_period2,periodSchedule,surf_max,dateStamp,swell_direction2,swell_direction1,swell_height3,swell_period1,surf_min,modelCode,swell_direction3,modelRun,swell_period3
2016-07-26T20:00:00+00:00,1200,W,17.1,94.4,1023,15,18.0,18.0,1.9,5.0,,,,,,,,,,,,,,,
2016-07-26T21:00:00+00:00,1260,W,16.9,93.8,1023,17,18.0,17.9,1.8,5.0,,,,,,,,,,,,,,,
2016-07-26T22:00:00+00:00,1320,W,16.9,95.0,1023,16,18.0,17.7,1.6,5.0,,,,,,,,,,,,,,,
2016-07-26T23:00:00+00:00,1380,W,16.9,96.3,1023,18,18.0,17.5,1.9,5.0,,,,,,,,,,,,,,,
2016-07-27T00:00:00+00:00,0,W,16.9,96.3,1023,16,18.0,17.5,1.8,6.0,,,,,,,,,,,,,,,
2016-07-27T01:00:00+00:00,60,W,17.1,96.2,1023,17,18.0,17.7,1.9,5.0,3.1,7.4,6.9,0100,0.66,"July 27, 2016 01:00:00",21.0,337.0,0.1,7.6,0.0,undefined,210.0,2016072618.0,13.5
2016-07-27T02:00:00+00:00,120,W,17.0,96.2,1023,16,18.0,17.6,1.9,5.0,,,,,,,,,,,,,,,
2016-07-27T03:00:00+00:00,180,W,17.0,96.2,1022,16,17.9,17.6,1.8,5.0,,,,,,,,,,,,,,,
2016-07-27T04:00:00+00:00,240,W,17.1,96.2,1022,16,18.0,17.7,2.1,5.0,,,,,,,,,,,,,,,
2016-07-27T05:00:00+00:00,300,W,17.0,96.2,1022,15,18.0,17.6,2.1,6.0,,,,,,,,,,,,,,,
2016-07-27T06:00:00+00:00,360,W,16.9,96.3,1022,17,17.9,17.5,2.0,5.0,,,,,,,,,,,,,,,
2016-07-27T07:00:00+00:00,420,WNW,16.9,96.3,1022,16,17.9,17.5,2.0,5.0,3.1,7.5,7.6,0700,0.62,"July 27, 2016 07:00:00",21.0,336.0,0.1,7.6,0.0,undefined,210.0,2016072700.0,13.5
2016-07-27T08:00:00+00:00,480,WNW,17.0,96.2,1022,15,17.9,17.6,2.0,5.0,,,,,,,,,,,,,,,
2016-07-27T09:00:00+00:00,540,WNW,16.9,95.6,1023,15,17.9,17.6,1.8,5.0,,,,,,,,,,,,,,,
2016-07-27T10:00:00+00:00,600,WNW,16.8,95.0,1023,14,17.9,17.6,1.9,5.0,,,,,,,,,,,,,,,
2016-07-27T11:00:00+00:00,660,WNW,16.7,93.8,1023,13,18.0,17.7,1.8,5.0,,,,,,,,,,,,,,,
2016-07-27T12:00:00+00:00,720,WNW,16.8,93.8,1023,13,17.9,17.8,1.8,6.0,,,,,,,,,,,,,,,
2016-07-27T13:00:00+00:00,780,WNW,16.9,93.2,1023,12,18.0,18.0,1.8,6.0,3.5,7.9,7.6,1300,0.59,"July 27, 2016 13:00:00",21.0,338.0,0.1,7.6,0.0,undefined,210.0,2016072706.0,12.3
2016-07-27T14:00:00+00:00,840,W,16.9,93.2,1023,12,17.9,18.0,1.9,6.0,,,,,,,,,,,,,,,
2016-07-27T15:00:00+00:00,900,W,16.9,94.4,1023,14,18.0,17.8,1.8,6.0,,,,,,,,,,,,,,,
2016-07-27T16:00:00+00:00,960,W,16.8,93.8,1022,14,18.0,17.8,1.9,5.0,,,,,,,,,,,,,,,
2016-07-27T17:00:00+00:00,1020,W,16.7,92.6,1022,14,18.1,17.9,1.9,5.0,,,,,,,,,,,,,,,
2016-07-27T18:00:00+00:00,1080,W,16.5,92.0,1022,14,18.0,17.8,1.8,5.0,,,,,,,,,,,,,,,
2016-07-27T19:00:00+00:00,1140,W,16.8,93.8,1022,15,18.0,17.8,1.9,5.0,3.7,8.4,7.6,1900,0.53,"July 27, 2016 19:00:00",20.0,338.0,0.1,8.4,0.0,undefined,208.0,2016072706.0,12.3
