,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelCode,swell_period1,swell_height3,swell_height2,surf_min,swell_height1,swell_direction1,swell_direction3,modelRun,swell_period3,swell_direction2,periodSchedule,swell_period2,dateStamp,surf_max
2016-07-27T20:00:00+00:00,1200,W,16.7,94.4,1021,16,18.0,17.6,1.6,5.0,,,,,,,,,,,,,,,
2016-07-27T21:00:00+00:00,1260,WSW,16.8,95.7,1021,16,18.0,17.5,1.7,5.0,,,,,,,,,,,,,,,
2016-07-27T22:00:00+00:00,1320,W,16.7,95.1,1021,17,18.0,17.5,1.8,5.0,,,,,,,,,,,,,,,
2016-07-27T23:00:00+00:00,1380,W,16.8,95.0,1021,16,18.0,17.6,1.8,5.0,,,,,,,,,,,,,,,
2016-07-28T00:00:00+00:00,0,W,17.1,96.2,1020,17,18.0,17.7,1.8,5.0,,,,,,,,,,,,,,,
2016-07-28T01:00:00+00:00,60,W,17.3,96.9,1020,17,18.0,17.8,1.9,5.0,undefined,8.4,0.2,3.8,0.0,8.3,339.0,208.0,2016072718.0,13.5,21.0,0100,7.6,"July 28, 2016 01:00:00",0.53
2016-07-28T02:00:00+00:00,120,W,16.9,95.6,1020,18,18.0,17.6,2.1,5.0,,,,,,,,,,,,,,,
2016-07-28T03:00:00+00:00,180,W,17.2,96.2,1019,18,18.0,17.8,2.0,5.0,,,,,,,,,,,,,,,
2016-07-28T04:00:00+00:00,240,W,17.3,96.9,1019,18,18.0,17.8,2.1,5.0,,,,,,,,,,,,,,,
2016-07-28T05:00:00+00:00,300,W,17.2,96.8,1018,19,17.9,17.7,2.1,5.0,,,,,,,,,,,,,,,
2016-07-28T06:00:00+00:00,360,W,17.3,95.6,1018,16,17.9,18.0,2.1,5.0,,,,,,,,,,,,,,,
2016-07-28T07:00:00+00:00,420,W,16.9,93.8,1018,18,18.0,17.9,2.0,5.0,undefined,8.4,0.2,3.8,0.0,7.4,339.0,207.0,2016072800.0,13.5,21.0,0700,7.6,"July 28, 2016 07:00:00",0.51
2016-07-28T08:00:00+00:00,480,W,16.7,94.4,1018,19,18.0,17.6,2.1,5.0,,,,,,,,,,,,,,,
2016-07-28T09:00:00+00:00,540,W,16.2,92.1,1018,19,17.9,17.5,2.2,5.0,,,,,,,,,,,,,,,
2016-07-28T10:00:00+00:00,600,W,16.3,92.6,1018,19,17.9,17.5,2.3,5.0,,,,,,,,,,,,,,,
2016-07-28T11:00:00+00:00,660,WNW,15.8,88.5,1018,17,17.9,17.7,2.4,6.0,,,,,,,,,,,,,,,
2016-07-28T12:00:00+00:00,720,WNW,15.3,86.9,1018,17,17.9,17.5,2.6,6.0,,,,,,,,,,,,,,,
2016-07-28T13:00:00+00:00,780,W,15.1,89.0,1018,17,17.9,16.9,2.5,6.0,undefined,7.6,0.1,3.4,0.0,6.6,340.0,206.0,2016072806.0,13.5,21.0,1300,7.6,"July 28, 2016 13:00:00",0.5
2016-07-28T14:00:00+00:00,840,WNW,15.0,85.2,1018,18,18.1,17.5,2.3,6.0,,,,,,,,,,,,,,,
2016-07-28T15:00:00+00:00,900,W,14.5,82.0,1018,18,18.1,17.6,2.3,6.0,,,,,,,,,,,,,,,
2016-07-28T16:00:00+00:00,960,W,14.5,82.0,1018,20,18.1,17.6,2.4,6.0,,,,,,,,,,,,,,,
2016-07-28T17:00:00+00:00,1020,WNW,14.6,82.5,1018,18,18.0,17.6,2.5,6.0,,,,,,,,,,,,,,,
2016-07-28T18:00:00+00:00,1080,WNW,14.0,79.8,1018,19,18.0,17.5,2.5,6.0,,,,,,,,,,,,,,,
2016-07-28T19:00:00+00:00,1140,W,14.6,82.5,1018,17,18.0,17.6,2.3,6.0,undefined,7.6,0.1,2.7,0.0,5.8,340.0,205.0,2016072806.0,11.2,20.0,1900,7.6,"July 28, 2016 19:00:00",0.5
