,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,swell_direction2,swell_direction3,swell_height3,modelCode,swell_height1,periodSchedule,surf_max,swell_height2,surf_min,swell_period1,swell_period2,swell_period3,modelRun,dateStamp
2016-07-28T20:00:00+00:00,1200,W,13.9,79.3,1017,18,18.0,17.5,2.5,6.0,,,,,,,,,,,,,,,
2016-07-28T21:00:00+00:00,1260,WNW,14.2,81.3,1017,16,18.0,17.4,2.5,6.0,,,,,,,,,,,,,,,
2016-07-28T22:00:00+00:00,1320,WNW,14.5,83.5,1017,16,18.0,17.3,2.5,6.0,,,,,,,,,,,,,,,
2016-07-28T23:00:00+00:00,1380,WNW,14.5,86.8,1017,17,17.9,16.7,2.5,6.0,,,,,,,,,,,,,,,
2016-07-29T00:00:00+00:00,0,WNW,14.0,86.8,1017,16,17.9,16.2,2.5,6.0,,,,,,,,,,,,,,,
2016-07-29T01:00:00+00:00,60,WNW,14.3,86.7,1017,17,17.9,16.5,2.6,6.0,339.0,19.0,208.0,0.1,undefined,5.1,0100,0.5,2.2,0.0,7.6,6.9,11.2,2016072818.0,"July 29, 2016 01:00:00"
2016-07-29T02:00:00+00:00,120,WNW,13.3,80.2,1017,17,17.9,16.7,2.6,6.0,,,,,,,,,,,,,,,
2016-07-29T03:00:00+00:00,180,W,14.5,88.4,1016,17,17.9,16.4,2.7,6.0,,,,,,,,,,,,,,,
2016-07-29T04:00:00+00:00,240,W,14.6,90.8,1016,18,17.8,16.1,2.5,6.0,,,,,,,,,,,,,,,
2016-07-29T05:00:00+00:00,300,W,14.7,91.4,1016,15,17.8,16.1,2.5,6.0,,,,,,,,,,,,,,,
2016-07-29T06:00:00+00:00,360,WNW,14.0,88.4,1016,17,17.8,15.9,2.4,6.0,,,,,,,,,,,,,,,
2016-07-29T07:00:00+00:00,420,WNW,13.9,87.2,1016,17,17.8,16.0,2.4,6.0,338.0,19.0,206.0,0.1,undefined,4.9,0700,0.47,1.9,0.0,6.9,6.9,12.3,2016072900.0,"July 29, 2016 07:00:00"
2016-07-29T08:00:00+00:00,480,NW,14.1,90.7,1016,17,17.8,15.6,2.3,6.0,,,,,,,,,,,,,,,
2016-07-29T09:00:00+00:00,540,NW,13.9,82.9,1016,11,17.8,16.8,2.2,6.0,,,,,,,,,,,,,,,
2016-07-29T10:00:00+00:00,600,WNW,14.6,88.4,1016,12,17.8,16.5,2.2,6.0,,,,,,,,,,,,,,,
2016-07-29T11:00:00+00:00,660,WNW,14.7,86.8,1017,14,17.8,16.9,2.3,6.0,,,,,,,,,,,,,,,
2016-07-29T12:00:00+00:00,720,NW,15.3,90.2,1017,13,17.9,16.9,2.3,6.0,,,,,,,,,,,,,,,
2016-07-29T13:00:00+00:00,780,NNW,14.7,87.9,1017,12,17.7,16.7,2.2,6.0,338.0,18.0,323.0,0.4,undefined,4.9,1300,0.42,1.8,0.0,6.9,6.9,2.4,2016072906.0,"July 29, 2016 13:00:00"
2016-07-29T14:00:00+00:00,840,NNW,14.7,86.2,1017,12,17.9,17.0,2.4,6.0,,,,,,,,,,,,,,,
2016-07-29T15:00:00+00:00,900,NNW,14.6,85.7,1017,12,17.8,17.0,2.2,6.0,,,,,,,,,,,,,,,
2016-07-29T16:00:00+00:00,960,N,14.2,85.1,1017,11,18.0,16.7,2.1,6.0,,,,,,,,,,,,,,,
2016-07-29T17:00:00+00:00,1020,N,14.4,86.7,1017,13,17.8,16.6,2.1,6.0,,,,,,,,,,,,,,,
2016-07-29T18:00:00+00:00,1080,N,14.2,85.6,1018,12,17.7,16.6,1.9,6.0,,,,,,,,,,,,,,,
2016-07-29T19:00:00+00:00,1140,N,14.0,85.0,1018,8,17.8,16.5,1.9,6.0,339.0,18.0,323.0,0.4,undefined,4.8,1900,0.41,1.7,0.0,6.9,6.9,2.4,2016072906.0,"July 29, 2016 19:00:00"
