,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,swell_period2,dateStamp,periodSchedule,surf_max,modelRun,swell_direction3,swell_height1,surf_min,modelCode,swell_direction1,swell_period3,swell_height2,swell_period1,swell_direction2
2016-07-29T20:00:00+00:00,1200,N,13.7,83.3,1018,8,17.8,16.5,1.9,6.0,,,,,,,,,,,,,,,
2016-07-29T21:00:00+00:00,1260,N,13.0,79.6,1018,11,17.9,16.5,1.7,6.0,,,,,,,,,,,,,,,
2016-07-29T22:00:00+00:00,1320,N,12.4,76.5,1019,10,17.8,16.5,1.6,5.0,,,,,,,,,,,,,,,
2016-07-29T23:00:00+00:00,1380,N,11.1,71.1,1018,11,17.9,16.3,1.8,6.0,,,,,,,,,,,,,,,
2016-07-30T00:00:00+00:00,0,N,11.3,70.6,1019,9,17.8,16.6,1.6,6.0,,,,,,,,,,,,,,,
2016-07-30T01:00:00+00:00,60,NNW,10.4,66.9,1018,6,17.8,16.5,1.6,6.0,0.4,6.9,"July 30, 2016 01:00:00",0100,0.55,2016072918.0,323.0,4.8,0.0,undefined,339.0,2.4,1.7,7.6,19.0
2016-07-30T02:00:00+00:00,120,N,11.3,70.6,1018,5,17.7,16.6,1.6,6.0,,,,,,,,,,,,,,,
2016-07-30T03:00:00+00:00,180,NNW,11.9,80.5,1018,9,17.8,15.2,1.6,6.0,,,,,,,,,,,,,,,
2016-07-30T04:00:00+00:00,240,N,12.9,87.7,1018,5,17.6,14.9,1.6,6.0,,,,,,,,,,,,,,,
2016-07-30T05:00:00+00:00,300,N,13.1,90.0,1018,7,17.6,14.7,1.4,6.0,,,,,,,,,,,,,,,
2016-07-30T06:00:00+00:00,360,N,12.8,84.3,1018,6,17.5,15.4,1.6,6.0,,,,,,,,,,,,,,,
2016-07-30T07:00:00+00:00,420,NNE,12.4,83.2,1019,6,17.6,15.2,1.4,5.0,0.4,6.9,"July 30, 2016 07:00:00",0700,0.7,2016073000.0,320.0,4.6,0.0,undefined,337.0,2.4,1.6,6.9,19.0
2016-07-30T08:00:00+00:00,480,N,10.6,69.6,1019,8,17.6,16.1,1.4,5.0,,,,,,,,,,,,,,,
2016-07-30T09:00:00+00:00,540,N,10.6,70.0,1019,8,17.5,16.0,1.4,6.0,,,,,,,,,,,,,,,
2016-07-30T10:00:00+00:00,600,N,9.9,66.4,1019,8,17.5,16.1,1.4,6.0,,,,,,,,,,,,,,,
2016-07-30T11:00:00+00:00,660,NNW,9.8,65.5,1020,7,17.7,16.2,1.2,5.0,,,,,,,,,,,,,,,
2016-07-30T12:00:00+00:00,720,NNW,10.4,66.0,1020,6,17.5,16.7,1.4,6.0,,,,,,,,,,,,,,,
2016-07-30T13:00:00+00:00,780,N,11.1,72.9,1020,10,17.8,15.9,1.3,5.0,0.4,6.3,"July 30, 2016 13:00:00",1300,0.79,2016073006.0,320.0,4.4,0.0,undefined,333.0,2.4,1.5,6.9,18.0
2016-07-30T14:00:00+00:00,840,NNW,10.4,67.7,1020,7,17.9,16.3,1.3,5.0,,,,,,,,,,,,,,,
2016-07-30T15:00:00+00:00,900,NW,11.0,71.0,1020,8,17.7,16.2,1.2,5.0,,,,,,,,,,,,,,,
2016-07-30T16:00:00+00:00,960,NNW,10.7,69.6,1020,7,18.0,16.2,1.2,6.0,,,,,,,,,,,,,,,
2016-07-30T17:00:00+00:00,1020,NW,11.3,72.5,1020,6,18.0,16.2,1.2,6.0,,,,,,,,,,,,,,,
2016-07-30T18:00:00+00:00,1080,NW,11.4,71.1,1021,8,17.9,16.6,1.2,6.0,,,,,,,,,,,,,,,
2016-07-30T19:00:00+00:00,1140,NNW,11.6,72.5,1021,9,18.0,16.5,1.1,5.0,0.2,6.3,"July 30, 2016 19:00:00",1900,0.82,2016073006.0,22.0,4.2,0.0,undefined,329.0,2.7,1.2,6.9,17.0
