,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_direction3,swell_period2,surf_min,swell_period3,swell_height2,modelCode,swell_direction1,swell_height3,periodSchedule,swell_height1,swell_period1,dateStamp,swell_direction2,surf_max
2016-07-30T20:00:00+00:00,1200,NNW,12.4,78.0,1021,9,17.9,16.2,1.1,5.0,,,,,,,,,,,,,,,
2016-07-30T21:00:00+00:00,1260,NNW,12.2,77.0,1021,8,17.9,16.2,1.2,5.0,,,,,,,,,,,,,,,
2016-07-30T22:00:00+00:00,1320,NNW,11.8,74.9,1022,9,18.0,16.2,1.2,5.0,,,,,,,,,,,,,,,
2016-07-30T23:00:00+00:00,1380,NW,12.0,75.5,1022,7,18.0,16.3,1.1,5.0,,,,,,,,,,,,,,,
2016-07-31T00:00:00+00:00,0,NW,12.1,75.9,1022,8,18.0,16.3,1.1,5.0,,,,,,,,,,,,,,,
2016-07-31T01:00:00+00:00,60,NNW,12.1,75.5,1022,11,18.0,16.4,1.0,5.0,2016073018.0,336.0,8.4,0.0,4.3,2.3,undefined,341.0,1.9,0100,2.6,6.9,"July 31, 2016 01:00:00",307.0,0.91
2016-07-31T02:00:00+00:00,120,NNW,8.9,59.2,1021,9,18.0,16.8,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T03:00:00+00:00,180,NW,9.4,61.3,1021,9,17.9,16.8,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T04:00:00+00:00,240,NW,10.7,68.3,1021,7,17.9,16.5,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T05:00:00+00:00,300,WNW,11.1,69.7,1021,9,17.8,16.6,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T06:00:00+00:00,360,W,11.1,68.8,1022,9,17.8,16.8,1.1,5.0,,,,,,,,,,,,,,,
2016-07-31T07:00:00+00:00,420,NW,11.7,72.1,1022,8,17.9,16.7,1.0,5.0,2016073100.0,15.0,4.3,0.0,5.7,1.2,undefined,328.0,0.5,0700,3.6,7.6,"July 31, 2016 07:00:00",21.0,0.9
2016-07-31T08:00:00+00:00,480,WNW,11.2,68.4,1022,7,17.8,17.0,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T09:00:00+00:00,540,W,10.4,65.6,1022,4,17.8,16.8,1.1,5.0,,,,,,,,,,,,,,,
2016-07-31T10:00:00+00:00,600,W,12.3,76.4,1023,13,17.8,16.4,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T11:00:00+00:00,660,SSW,11.1,70.1,1023,11,17.9,16.5,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T12:00:00+00:00,720,W,11.6,74.9,1023,7,17.9,16.0,0.9,5.0,,,,,,,,,,,,,,,
2016-07-31T13:00:00+00:00,780,SW,10.9,69.6,1023,3,18.0,16.4,0.9,5.0,2016073106.0,20.0,4.3,0.0,3.9,1.7,undefined,320.0,1.3,1300,2.9,7.6,"July 31, 2016 13:00:00",350.0,0.88
2016-07-31T14:00:00+00:00,840,WSW,11.7,70.2,1023,5,18.1,17.1,0.9,5.0,,,,,,,,,,,,,,,
2016-07-31T15:00:00+00:00,900,SW,12.1,71.7,1022,9,18.2,17.2,0.9,6.0,,,,,,,,,,,,,,,
2016-07-31T16:00:00+00:00,960,SW,11.8,70.3,1022,12,18.3,17.2,0.8,5.0,,,,,,,,,,,,,,,
2016-07-31T17:00:00+00:00,1020,SW,12.1,69.9,1022,13,18.2,17.6,1.0,5.0,,,,,,,,,,,,,,,
2016-07-31T18:00:00+00:00,1080,SSW,12.0,69.0,1021,13,18.1,17.7,1.0,4.0,,,,,,,,,,,,,,,
2016-07-31T19:00:00+00:00,1140,SSW,13.1,76.2,1021,14,18.1,17.3,1.1,4.0,2016073106.0,312.0,4.7,0.0,7.6,1.6,undefined,334.0,1.5,1900,3.6,4.7,"July 31, 2016 19:00:00",21.0,0.81
