,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_max,swell_height1,swell_height3,swell_period3,modelRun,swell_direction1,dateStamp,swell_period2,swell_height2,swell_direction2,swell_period1,modelCode,surf_min,periodSchedule,swell_direction3
2016-07-31T20:00:00+00:00,1200,SW,14.3,83.4,1021,12,18.1,17.1,1.2,4.0,,,,,,,,,,,,,,,
2016-07-31T21:00:00+00:00,1260,SSW,14.9,83.0,1021,15,18.0,17.8,1.2,4.0,,,,,,,,,,,,,,,
2016-07-31T22:00:00+00:00,1320,SSW,15.0,83.5,1020,16,18.0,17.8,1.3,4.0,,,,,,,,,,,,,,,
2016-07-31T23:00:00+00:00,1380,S,15.1,83.5,1020,16,18.0,17.9,1.4,4.0,,,,,,,,,,,,,,,
2016-08-01T00:00:00+00:00,0,SSW,15.7,90.8,1019,19,18.0,17.2,1.5,5.0,,,,,,,,,,,,,,,
2016-08-01T01:00:00+00:00,60,SSW,16.4,95.0,1018,19,17.9,17.2,1.6,4.0,0.72,3.9,0.7,8.4,2016073118.0,334.0,"August 01, 2016 01:00:00",4.7,2.1,23.0,4.7,undefined,0.0,0100,282.0
2016-08-01T02:00:00+00:00,120,SSW,17.4,96.8,1017,19,17.9,17.9,1.7,5.0,,,,,,,,,,,,,,,
2016-08-01T03:00:00+00:00,180,SW,17.6,96.3,1016,22,17.9,18.2,2.1,5.0,,,,,,,,,,,,,,,
2016-08-01T04:00:00+00:00,240,SW,17.8,96.9,1015,20,17.9,18.3,2.0,5.0,,,,,,,,,,,,,,,
2016-08-01T05:00:00+00:00,300,WSW,17.9,96.9,1016,21,17.9,18.4,2.0,5.0,,,,,,,,,,,,,,,
2016-08-01T06:00:00+00:00,360,WSW,17.8,96.9,1015,19,17.9,18.3,1.9,5.0,,,,,,,,,,,,,,,
2016-08-01T07:00:00+00:00,420,WSW,17.8,96.9,1016,19,18.0,18.3,2.1,5.0,0.62,3.8,0.6,8.4,2016080100.0,333.0,"August 01, 2016 07:00:00",4.7,2.0,24.0,5.2,undefined,0.0,0700,282.0
2016-08-01T08:00:00+00:00,480,WSW,18.0,97.5,1016,18,17.9,18.4,2.0,5.0,,,,,,,,,,,,,,,
2016-08-01T09:00:00+00:00,540,SW,17.9,96.9,1016,18,17.9,18.4,2.0,5.0,,,,,,,,,,,,,,,
2016-08-01T10:00:00+00:00,600,SW,17.8,96.9,1016,19,17.8,18.3,2.1,5.0,,,,,,,,,,,,,,,
2016-08-01T11:00:00+00:00,660,WSW,17.8,96.9,1016,17,17.9,18.3,2.2,5.0,,,,,,,,,,,,,,,
2016-08-01T12:00:00+00:00,720,WSW,18.0,95.7,1016,16,17.9,18.7,2.0,5.0,,,,,,,,,,,,,,,
2016-08-01T13:00:00+00:00,780,SW,17.6,93.8,1015,19,17.9,18.6,1.9,5.0,0.54,4.3,0.0,0.0,2016080106.0,333.0,"August 01, 2016 13:00:00",5.2,2.1,23.0,5.2,undefined,0.0,1300,0.0
2016-08-01T14:00:00+00:00,840,SW,17.3,90.9,1015,20,17.9,18.8,2.0,5.0,,,,,,,,,,,,,,,
2016-08-01T15:00:00+00:00,900,WSW,17.2,90.4,1015,21,17.9,18.8,2.3,6.0,,,,,,,,,,,,,,,
2016-08-01T16:00:00+00:00,960,SW,17.0,89.8,1015,21,18.0,18.7,2.5,5.0,,,,,,,,,,,,,,,
2016-08-01T17:00:00+00:00,1020,SW,17.3,89.8,1014,21,18.0,19.0,2.5,6.0,,,,,,,,,,,,,,,
2016-08-01T18:00:00+00:00,1080,SW,17.2,90.4,1014,21,18.0,18.8,2.5,6.0,,,,,,,,,,,,,,,
2016-08-01T19:00:00+00:00,1140,SW,17.3,90.9,1014,22,18.0,18.8,2.9,6.0,0.52,5.5,0.0,0.0,2016080106.0,335.0,"August 01, 2016 19:00:00",5.7,2.6,21.0,5.7,undefined,0.0,1900,0.0
