,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_direction1,swell_direction2,surf_min,swell_direction3,surf_max,swell_period1,swell_height2,modelRun,periodSchedule,modelCode,swell_period2,swell_height3,swell_height1,dateStamp
2016-08-01T20:00:00+00:00,1200,SW,17.4,91.0,1013,21,18.0,18.9,2.7,6.0,,,,,,,,,,,,,,,
2016-08-01T21:00:00+00:00,1260,SW,17.5,90.9,1014,22,18.0,19.0,3.1,6.0,,,,,,,,,,,,,,,
2016-08-01T22:00:00+00:00,1320,SW,17.5,90.9,1014,21,18.0,19.0,2.9,6.0,,,,,,,,,,,,,,,
2016-08-01T23:00:00+00:00,1380,SW,17.6,91.5,1013,22,18.0,19.0,2.7,6.0,,,,,,,,,,,,,,,
2016-08-02T00:00:00+00:00,0,WSW,17.6,93.3,1013,22,17.9,18.7,2.9,6.0,,,,,,,,,,,,,,,
2016-08-02T01:00:00+00:00,60,SW,17.9,93.9,1013,21,17.8,18.9,2.8,6.0,0.0,337.0,22.0,0.0,0.0,0.51,6.3,3.4,2016080118.0,0100,undefined,6.3,0.0,6.4,"August 02, 2016 01:00:00"
2016-08-02T02:00:00+00:00,120,SW,17.7,93.9,1012,23,17.8,18.7,3.1,6.0,,,,,,,,,,,,,,,
2016-08-02T03:00:00+00:00,180,SW,17.7,94.4,1012,23,17.8,18.6,3.1,6.0,,,,,,,,,,,,,,,
2016-08-02T04:00:00+00:00,240,WSW,17.8,95.7,1011,22,17.8,18.5,3.4,7.0,,,,,,,,,,,,,,,
2016-08-02T05:00:00+00:00,300,WSW,17.9,95.7,1012,22,17.8,18.6,3.7,7.0,,,,,,,,,,,,,,,
2016-08-02T06:00:00+00:00,360,SW,17.7,96.2,1011,21,17.8,18.3,3.6,7.0,,,,,,,,,,,,,,,
2016-08-02T07:00:00+00:00,420,SW,17.9,96.3,1012,21,17.9,18.5,3.3,6.0,0.0,337.0,22.0,0.0,0.0,0.43,6.9,3.2,2016080200.0,0700,undefined,6.3,0.0,6.0,"August 02, 2016 07:00:00"
2016-08-02T08:00:00+00:00,480,SW,17.9,96.3,1012,20,17.9,18.5,3.5,7.0,,,,,,,,,,,,,,,
2016-08-02T09:00:00+00:00,540,SW,18.0,96.3,1012,19,17.9,18.6,3.3,6.0,,,,,,,,,,,,,,,
2016-08-02T10:00:00+00:00,600,SW,18.0,96.3,1012,19,17.9,18.6,3.5,7.0,,,,,,,,,,,,,,,
2016-08-02T11:00:00+00:00,660,SW,18.0,96.3,1012,19,17.9,18.6,3.2,6.0,,,,,,,,,,,,,,,
2016-08-02T12:00:00+00:00,720,WSW,18.1,95.7,1012,18,17.9,18.8,3.3,7.0,,,,,,,,,,,,,,,
2016-08-02T13:00:00+00:00,780,SW,17.9,96.3,1012,17,17.9,18.5,2.9,7.0,11.2,338.0,21.0,0.0,360.0,0.44,6.3,2.8,2016080206.0,1300,undefined,6.3,0.1,5.2,"August 02, 2016 13:00:00"
2016-08-02T14:00:00+00:00,840,WSW,17.9,96.3,1012,17,17.8,18.5,3.0,7.0,,,,,,,,,,,,,,,
2016-08-02T15:00:00+00:00,900,WSW,17.9,95.7,1012,15,17.7,18.6,3.0,7.0,,,,,,,,,,,,,,,
2016-08-02T16:00:00+00:00,960,W,17.6,94.5,1012,17,17.9,18.5,3.0,7.0,,,,,,,,,,,,,,,
2016-08-02T17:00:00+00:00,1020,W,16.9,92.1,1012,15,17.8,18.2,3.1,7.0,,,,,,,,,,,,,,,
2016-08-02T18:00:00+00:00,1080,W,16.5,90.9,1012,15,17.9,18.0,2.6,7.0,,,,,,,,,,,,,,,
2016-08-02T19:00:00+00:00,1140,WSW,16.5,90.3,1012,14,18.0,18.1,2.7,6.0,10.2,339.0,21.0,0.0,360.0,0.52,6.3,3.2,2016080206.0,1900,undefined,6.3,0.2,6.0,"August 02, 2016 19:00:00"
