,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_direction3,swell_height1,swell_height3,dateStamp,swell_period2,swell_period1,swell_direction1,swell_height2,swell_period3,modelCode,swell_direction2,periodSchedule,surf_max,surf_min
2016-08-02T20:00:00+00:00,1200,WSW,16.2,89.2,1013,15,18.0,18.0,3.1,7.0,,,,,,,,,,,,,,,
2016-08-02T21:00:00+00:00,1260,WSW,16.2,89.2,1013,15,17.9,18.0,2.8,7.0,,,,,,,,,,,,,,,
2016-08-02T22:00:00+00:00,1320,WSW,16.2,89.2,1013,15,18.0,18.0,2.8,6.0,,,,,,,,,,,,,,,
2016-08-02T23:00:00+00:00,1380,WSW,16.0,87.4,1013,17,17.9,18.1,2.8,7.0,,,,,,,,,,,,,,,
2016-08-03T00:00:00+00:00,0,W,15.7,86.3,1013,18,17.9,18.0,2.8,7.0,,,,,,,,,,,,,,,
2016-08-03T01:00:00+00:00,60,W,15.1,84.2,1013,19,17.9,17.8,2.9,6.0,2016080218.0,319.0,6.3,0.1,"August 03, 2016 01:00:00",6.3,6.3,340.0,3.9,13.5,undefined,22.0,0100,0.65,0.0
2016-08-03T02:00:00+00:00,120,W,15.2,84.6,1012,17,17.9,17.8,2.9,7.0,,,,,,,,,,,,,,,
2016-08-03T03:00:00+00:00,180,W,14.9,82.5,1012,20,18.0,17.9,2.8,7.0,,,,,,,,,,,,,,,
2016-08-03T04:00:00+00:00,240,W,15.1,85.2,1012,19,17.9,17.6,3.0,6.0,,,,,,,,,,,,,,,
2016-08-03T05:00:00+00:00,300,W,13.8,78.3,1012,21,17.9,17.6,3.0,6.0,,,,,,,,,,,,,,,
2016-08-03T06:00:00+00:00,360,W,13.2,75.3,1012,22,17.9,17.6,3.2,6.0,,,,,,,,,,,,,,,
2016-08-03T07:00:00+00:00,420,W,13.5,76.8,1012,21,17.9,17.6,3.1,6.0,2016080300.0,317.0,5.6,0.9,"August 03, 2016 07:00:00",6.3,6.3,338.0,3.5,12.3,undefined,22.0,0700,1.03,0.03
2016-08-03T08:00:00+00:00,480,W,13.6,77.8,1013,22,17.8,17.5,3.4,6.0,,,,,,,,,,,,,,,
2016-08-03T09:00:00+00:00,540,W,14.1,78.8,1013,20,17.5,17.8,3.3,6.0,,,,,,,,,,,,,,,
2016-08-03T10:00:00+00:00,600,W,13.3,76.8,1013,20,17.8,17.4,3.4,7.0,,,,,,,,,,,,,,,
2016-08-03T11:00:00+00:00,660,W,13.4,75.8,1014,20,17.6,17.7,3.2,7.0,,,,,,,,,,,,,,,
2016-08-03T12:00:00+00:00,720,W,13.3,77.2,1014,20,17.3,17.3,3.4,7.0,,,,,,,,,,,,,,,
2016-08-03T13:00:00+00:00,780,W,13.7,77.8,1014,18,17.5,17.6,3.6,7.0,2016080306.0,313.0,5.4,2.2,"August 03, 2016 13:00:00",6.3,6.3,336.0,3.3,11.2,undefined,22.0,1300,1.51,0.51
2016-08-03T14:00:00+00:00,840,W,13.5,76.8,1014,18,17.6,17.6,3.6,7.0,,,,,,,,,,,,,,,
2016-08-03T15:00:00+00:00,900,W,13.6,78.2,1014,17,17.4,17.4,3.1,7.0,,,,,,,,,,,,,,,
2016-08-03T16:00:00+00:00,960,W,13.1,75.7,1013,16,17.5,17.4,3.5,7.0,,,,,,,,,,,,,,,
2016-08-03T17:00:00+00:00,1020,W,13.8,79.8,1014,17,17.5,17.3,3.6,8.0,,,,,,,,,,,,,,,
2016-08-03T18:00:00+00:00,1080,W,14.6,81.4,1014,17,17.6,17.8,3.6,8.0,,,,,,,,,,,,,,,
2016-08-03T19:00:00+00:00,1140,W,14.2,81.3,1014,15,17.6,17.4,3.3,7.0,2016080306.0,321.0,3.7,3.6,"August 03, 2016 19:00:00",11.2,6.3,350.0,3.6,5.7,undefined,308.0,1900,1.74,0.82
