,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelCode,modelRun,swell_direction3,swell_period3,swell_height1,swell_height2,surf_min,dateStamp,periodSchedule,swell_period2,surf_max,swell_direction2,swell_period1,swell_height3,swell_direction1
2016-08-03T20:00:00+00:00,1200,W,14.9,85.2,1014,13,17.6,17.4,3.5,7.0,,,,,,,,,,,,,,,
2016-08-03T21:00:00+00:00,1260,W,14.8,83.6,1014,13,17.6,17.6,3.3,7.0,,,,,,,,,,,,,,,
2016-08-03T22:00:00+00:00,1320,W,14.5,82.5,1015,15,17.6,17.5,3.1,7.0,,,,,,,,,,,,,,,
2016-08-03T23:00:00+00:00,1380,W,14.6,84.1,1014,13,17.5,17.3,2.8,7.0,,,,,,,,,,,,,,,
2016-08-04T00:00:00+00:00,0,WSW,14.3,80.9,1014,15,17.6,17.6,3.0,7.0,,,,,,,,,,,,,,,
2016-08-04T01:00:00+00:00,60,WSW,14.6,82.5,1014,16,17.6,17.6,2.7,7.0,undefined,2016080318.0,21.0,5.2,4.3,3.6,1.02,"August 04, 2016 01:00:00",0100,5.2,2.02,339.0,10.2,2.1,306.0
2016-08-04T02:00:00+00:00,120,WSW,15.2,85.8,1013,15,17.6,17.6,2.6,7.0,,,,,,,,,,,,,,,
2016-08-04T03:00:00+00:00,180,W,14.5,86.8,1013,13,17.6,16.7,2.5,6.0,,,,,,,,,,,,,,,
2016-08-04T04:00:00+00:00,240,WNW,14.3,88.5,1013,11,17.6,16.2,2.4,6.0,,,,,,,,,,,,,,,
2016-08-04T05:00:00+00:00,300,WNW,13.7,84.0,1013,10,17.5,16.4,2.5,7.0,,,,,,,,,,,,,,,
2016-08-04T06:00:00+00:00,360,WNW,13.7,81.8,1013,10,17.5,16.8,2.6,7.0,,,,,,,,,,,,,,,
2016-08-04T07:00:00+00:00,420,W,13.4,80.8,1014,11,17.6,16.7,2.6,7.0,undefined,2016080400.0,21.0,4.7,4.3,2.7,1.12,"August 04, 2016 07:00:00",0700,4.7,2.12,339.0,10.2,1.5,303.0
2016-08-04T08:00:00+00:00,480,WNW,14.2,85.1,1014,10,17.6,16.7,2.7,7.0,,,,,,,,,,,,,,,
2016-08-04T09:00:00+00:00,540,WNW,14.0,82.4,1015,11,17.6,17.0,2.6,7.0,,,,,,,,,,,,,,,
2016-08-04T10:00:00+00:00,600,NW,13.9,81.9,1015,10,17.7,17.0,2.7,7.0,,,,,,,,,,,,,,,
2016-08-04T11:00:00+00:00,660,WNW,13.6,80.3,1016,7,17.6,17.0,2.4,6.0,,,,,,,,,,,,,,,
2016-08-04T12:00:00+00:00,720,WNW,13.6,78.7,1017,7,17.7,17.3,2.5,7.0,,,,,,,,,,,,,,,
2016-08-04T13:00:00+00:00,780,W,13.3,75.7,1017,8,17.9,17.6,2.3,6.0,undefined,2016080406.0,20.0,4.3,4.2,2.4,1.19,"August 04, 2016 13:00:00",1300,4.3,2.19,338.0,9.3,1.2,301.0
2016-08-04T14:00:00+00:00,840,W,14.1,80.4,1017,8,18.0,17.5,2.1,6.0,,,,,,,,,,,,,,,
2016-08-04T15:00:00+00:00,900,WSW,14.4,80.4,1017,9,18.0,17.8,2.1,6.0,,,,,,,,,,,,,,,
2016-08-04T16:00:00+00:00,960,WSW,14.2,79.8,1017,10,18.1,17.7,2.0,7.0,,,,,,,,,,,,,,,
2016-08-04T17:00:00+00:00,1020,SW,14.8,81.9,1018,9,18.3,17.9,2.1,7.0,,,,,,,,,,,,,,,
2016-08-04T18:00:00+00:00,1080,SW,15.4,83.6,1018,9,18.0,18.2,1.9,6.0,,,,,,,,,,,,,,,
2016-08-04T19:00:00+00:00,1140,WSW,15.1,84.6,1018,10,18.1,17.7,2.3,7.0,undefined,2016080406.0,349.0,4.3,4.0,1.9,1.21,"August 04, 2016 19:00:00",1900,4.3,2.2,324.0,9.3,1.8,298.0
