,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,swell_period1,swell_direction3,swell_height2,surf_min,periodSchedule,modelRun,swell_period2,dateStamp,modelCode,surf_max,swell_period3,swell_direction1,swell_direction2,swell_height3
2016-08-04T20:00:00+00:00,1200,W,15.4,84.6,1019,10,18.0,18.0,1.9,7.0,,,,,,,,,,,,,,,
2016-08-04T21:00:00+00:00,1260,W,15.1,84.1,1019,10,18.0,17.8,2.0,6.0,,,,,,,,,,,,,,,
2016-08-04T22:00:00+00:00,1320,WSW,15.0,84.1,1020,11,17.9,17.7,1.9,7.0,,,,,,,,,,,,,,,
2016-08-04T23:00:00+00:00,1380,W,14.7,83.0,1020,11,18.0,17.6,2.1,7.0,,,,,,,,,,,,,,,
2016-08-05T00:00:00+00:00,0,W,14.5,82.5,1020,9,17.9,17.5,2.1,7.0,,,,,,,,,,,,,,,
2016-08-05T01:00:00+00:00,60,WSW,14.6,83.5,1020,8,17.9,17.4,1.8,6.0,3.8,9.3,18.0,2.2,1.18,0100,2016080418.0,3.9,"August 05, 2016 01:00:00",undefined,2.17,3.6,297.0,336.0,0.9
2016-08-05T02:00:00+00:00,120,SW,14.9,84.1,1020,9,17.8,17.6,1.9,7.0,,,,,,,,,,,,,,,
2016-08-05T03:00:00+00:00,180,SW,15.1,85.1,1020,8,17.8,17.6,1.8,6.0,,,,,,,,,,,,,,,
2016-08-05T04:00:00+00:00,240,SW,15.7,87.4,1020,8,17.8,17.8,1.8,6.0,,,,,,,,,,,,,,,
2016-08-05T05:00:00+00:00,300,SSW,16.2,90.3,1019,7,17.9,17.8,1.6,6.0,,,,,,,,,,,,,,,
2016-08-05T06:00:00+00:00,360,SSW,16.5,91.4,1020,6,17.8,17.9,1.6,6.0,,,,,,,,,,,,,,,
2016-08-05T07:00:00+00:00,420,S,16.8,92.6,1020,5,17.8,18.0,1.8,6.0,3.6,9.3,23.0,2.9,1.06,0700,2016080500.0,4.3,"August 05, 2016 07:00:00",undefined,2.05,3.9,296.0,337.0,1.6
2016-08-05T08:00:00+00:00,480,S,16.5,93.9,1021,6,17.8,17.5,1.7,6.0,,,,,,,,,,,,,,,
2016-08-05T09:00:00+00:00,540,S,16.8,94.4,1021,5,17.8,17.7,1.7,6.0,,,,,,,,,,,,,,,
2016-08-05T10:00:00+00:00,600,WSW,16.9,95.0,1022,3,17.9,17.7,1.6,6.0,,,,,,,,,,,,,,,
2016-08-05T11:00:00+00:00,660,SSW,16.7,92.6,1022,5,18.0,17.9,1.7,6.0,,,,,,,,,,,,,,,
2016-08-05T12:00:00+00:00,720,S,16.6,92.0,1022,6,18.0,17.9,1.5,6.0,,,,,,,,,,,,,,,
2016-08-05T13:00:00+00:00,780,S,16.3,89.1,1022,5,18.1,18.1,1.5,6.0,3.5,4.7,24.0,3.4,0.92,1300,2016080506.0,8.4,"August 05, 2016 13:00:00",undefined,1.89,4.7,337.0,295.0,2.1
2016-08-05T14:00:00+00:00,840,S,16.2,88.5,1023,7,18.2,18.1,1.5,6.0,,,,,,,,,,,,,,,
2016-08-05T15:00:00+00:00,900,S,16.6,92.6,1023,5,18.2,17.8,1.4,6.0,,,,,,,,,,,,,,,
2016-08-05T16:00:00+00:00,960,SSE,17.1,94.4,1023,7,18.3,18.0,1.3,7.0,,,,,,,,,,,,,,,
2016-08-05T17:00:00+00:00,1020,SSE,17.5,93.9,1022,7,18.5,18.5,1.4,6.0,,,,,,,,,,,,,,,
2016-08-05T18:00:00+00:00,1080,S,17.7,93.3,1022,7,18.2,18.8,1.3,6.0,,,,,,,,,,,,,,,
2016-08-05T19:00:00+00:00,1140,SSE,17.6,94.5,1023,5,18.4,18.5,1.3,6.0,4.6,5.2,24.0,3.0,0.79,1900,2016080506.0,8.4,"August 05, 2016 19:00:00",undefined,1.74,5.2,337.0,292.0,2.6
