,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,swell_height1,swell_direction1,periodSchedule,swell_direction3,swell_period2,surf_max,swell_height2,modelRun,swell_direction2,modelCode,swell_period3,surf_min,dateStamp,swell_period1
2016-08-05T20:00:00+00:00,1200,SE,17.9,95.7,1023,6,18.4,18.6,1.3,6.0,,,,,,,,,,,,,,,
2016-08-05T21:00:00+00:00,1260,SE,18.0,96.3,1024,6,18.5,18.6,1.3,6.0,,,,,,,,,,,,,,,
2016-08-05T22:00:00+00:00,1320,SE,18.1,96.9,1024,7,18.4,18.6,1.3,6.0,,,,,,,,,,,,,,,
2016-08-05T23:00:00+00:00,1380,SE,18.1,96.9,1024,9,18.5,18.6,1.2,6.0,,,,,,,,,,,,,,,
2016-08-06T00:00:00+00:00,0,SSE,18.2,97.5,1024,8,18.5,18.6,1.2,6.0,,,,,,,,,,,,,,,
2016-08-06T01:00:00+00:00,60,S,18.1,97.5,1024,9,18.5,18.5,1.1,5.0,2.8,4.7,338.0,0100,291.0,5.2,1.6,3.0,2016080518.0,25.0,undefined,8.4,0.65,"August 06, 2016 01:00:00",5.7
2016-08-06T02:00:00+00:00,120,S,17.9,97.5,1024,10,18.5,18.3,1.1,6.0,,,,,,,,,,,,,,,
2016-08-06T03:00:00+00:00,180,S,18.2,98.1,1023,10,18.4,18.5,1.1,6.0,,,,,,,,,,,,,,,
2016-08-06T04:00:00+00:00,240,S,18.1,97.5,1023,10,18.4,18.5,1.1,6.0,,,,,,,,,,,,,,,
2016-08-06T05:00:00+00:00,300,SSW,18.1,98.1,1023,12,18.3,18.4,1.1,6.0,,,,,,,,,,,,,,,
2016-08-06T06:00:00+00:00,360,SSW,18.0,98.1,1023,14,18.3,18.3,1.1,5.0,,,,,,,,,,,,,,,
2016-08-06T07:00:00+00:00,420,SSW,18.1,98.1,1023,12,18.3,18.4,1.2,5.0,2.5,4.1,338.0,0700,290.0,5.7,1.42,2.7,2016080600.0,25.0,undefined,8.4,0.49,"August 06, 2016 07:00:00",5.7
2016-08-06T08:00:00+00:00,480,SSW,17.8,97.5,1024,14,18.2,18.2,1.2,5.0,,,,,,,,,,,,,,,
2016-08-06T09:00:00+00:00,540,SW,17.7,97.5,1024,17,18.3,18.1,1.3,4.0,,,,,,,,,,,,,,,
2016-08-06T10:00:00+00:00,600,SSW,17.8,97.5,1024,14,18.2,18.2,1.4,5.0,,,,,,,,,,,,,,,
2016-08-06T11:00:00+00:00,660,SW,17.9,97.5,1025,15,18.3,18.3,1.4,5.0,,,,,,,,,,,,,,,
2016-08-06T12:00:00+00:00,720,SW,17.9,97.5,1025,15,18.6,18.3,1.5,4.0,,,,,,,,,,,,,,,
2016-08-06T13:00:00+00:00,780,SW,18.2,96.9,1025,14,18.4,18.7,1.5,5.0,1.9,3.6,337.0,1300,24.0,7.6,1.28,2.2,2016080606.0,290.0,undefined,5.7,0.33,"August 06, 2016 13:00:00",5.7
2016-08-06T14:00:00+00:00,840,SSW,18.4,96.9,1026,14,18.4,18.9,1.3,4.0,,,,,,,,,,,,,,,
2016-08-06T15:00:00+00:00,900,SSW,18.5,96.2,1026,13,18.4,19.1,1.3,5.0,,,,,,,,,,,,,,,
2016-08-06T16:00:00+00:00,960,SW,18.6,96.3,1026,14,18.6,19.2,1.3,4.0,,,,,,,,,,,,,,,
2016-08-06T17:00:00+00:00,1020,SW,18.9,95.7,1026,13,18.3,19.6,1.2,5.0,,,,,,,,,,,,,,,
2016-08-06T18:00:00+00:00,1080,WSW,18.5,95.1,1026,12,18.5,19.3,1.3,5.0,,,,,,,,,,,,,,,
2016-08-06T19:00:00+00:00,1140,SW,18.6,95.1,1026,11,18.5,19.4,1.2,5.0,1.4,3.5,337.0,1900,21.0,7.6,1.12,2.0,2016080606.0,289.0,undefined,5.7,0.17,"August 06, 2016 19:00:00",6.3
