,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelCode,swell_period3,swell_direction1,dateStamp,surf_min,swell_direction2,swell_height1,periodSchedule,swell_period2,swell_period1,swell_height3,swell_direction3,modelRun,swell_height2,surf_max
2016-08-06T20:00:00+00:00,1200,SW,18.4,94.5,1027,12,18.4,19.3,1.2,5.0,,,,,,,,,,,,,,,
2016-08-06T21:00:00+00:00,1260,WSW,18.4,95.7,1028,10,18.4,19.1,1.2,5.0,,,,,,,,,,,,,,,
2016-08-06T22:00:00+00:00,1320,WSW,17.9,93.9,1028,10,18.4,18.9,1.2,5.0,,,,,,,,,,,,,,,
2016-08-06T23:00:00+00:00,1380,WSW,17.5,92.0,1028,10,18.4,18.8,1.2,5.0,,,,,,,,,,,,,,,
2016-08-07T00:00:00+00:00,0,WSW,16.7,88.0,1026,12,18.5,18.7,1.3,5.0,,,,,,,,,,,,,,,
2016-08-07T01:00:00+00:00,60,WSW,16.3,86.9,1026,11,18.4,18.5,1.5,6.0,undefined,3.9,334.0,"August 07, 2016 01:00:00",0.16,282.0,3.8,0100,7.6,6.9,1.2,24.0,2016080618.0,1.5,1.12
2016-08-07T02:00:00+00:00,120,W,15.9,84.1,1021,10,18.4,18.6,2.4,9.0,,,,,,,,,,,,,,,
2016-08-07T03:00:00+00:00,180,W,15.1,80.4,1024,12,18.4,18.5,2.9,10.0,,,,,,,,,,,,,,,
2016-08-07T04:00:00+00:00,240,W,15.4,83.0,1026,11,18.3,18.3,3.5,10.0,,,,,,,,,,,,,,,
2016-08-07T05:00:00+00:00,300,W,15.2,81.9,1028,13,18.3,18.3,3.7,11.0,,,,,,,,,,,,,,,
2016-08-07T06:00:00+00:00,360,W,14.9,81.9,1028,12,18.4,18.0,4.2,11.0,,,,,,,,,,,,,,,
2016-08-07T07:00:00+00:00,420,W,14.4,78.3,1026,12,18.3,18.2,3.7,10.0,undefined,7.6,333.0,"August 07, 2016 07:00:00",0.09,24.0,3.8,0700,5.2,6.9,1.4,282.0,2016080700.0,1.5,1.09
2016-08-07T08:00:00+00:00,480,W,14.1,77.2,1029,12,18.3,18.1,3.9,10.0,,,,,,,,,,,,,,,
2016-08-07T09:00:00+00:00,540,WSW,14.4,79.2,1029,13,18.3,18.0,3.9,9.0,,,,,,,,,,,,,,,
2016-08-07T10:00:00+00:00,600,W,13.6,74.2,1029,14,18.4,18.2,3.9,10.0,,,,,,,,,,,,,,,
2016-08-07T11:00:00+00:00,660,WSW,14.1,77.2,1029,14,18.2,18.1,3.8,9.0,,,,,,,,,,,,,,,
2016-08-07T12:00:00+00:00,720,W,14.0,77.1,1029,13,18.5,18.0,4.6,9.0,,,,,,,,,,,,,,,
2016-08-07T13:00:00+00:00,780,W,14.3,76.8,1029,16,18.3,18.4,4.2,9.0,undefined,6.3,327.0,"August 07, 2016 13:00:00",0.67,20.0,4.1,1300,5.7,6.9,0.8,122.0,2016080706.0,1.1,1.67
2016-08-07T14:00:00+00:00,840,W,13.5,74.2,1029,15,18.4,18.1,4.3,9.0,,,,,,,,,,,,,,,
2016-08-07T15:00:00+00:00,900,W,13.7,74.7,1029,15,18.5,18.2,3.8,8.0,,,,,,,,,,,,,,,
2016-08-07T16:00:00+00:00,960,W,14.9,78.8,1029,17,18.6,18.6,3.9,8.0,,,,,,,,,,,,,,,
2016-08-07T17:00:00+00:00,1020,W,13.9,74.8,1028,17,18.5,18.4,3.6,8.0,,,,,,,,,,,,,,,
2016-08-07T18:00:00+00:00,1080,W,14.7,79.9,1020,16,18.5,18.2,3.3,7.0,,,,,,,,,,,,,,,
2016-08-07T19:00:00+00:00,1140,W,14.7,80.3,1025,16,18.5,18.1,3.2,8.0,undefined,9.3,336.0,"August 07, 2016 19:00:00",2.8,296.0,4.1,1900,14.9,6.9,1.4,283.0,2016080706.0,2.3,3.35
